rank	username	minecraft:dropped/minecraft:diamond_shovel
199	LeeMcGee30	2
199	Steelynan	2
199	mobunni	2
199	Quotary	2
199	Nicserso	2
199	FelixPSY375	2
199	The_SlideV5	2
199	Teebone15	2
199	JohnPrice	2
199	JayToe	2
199	FishisTTV	2
199	h2p_emrld	2
199	00000000-0000-0000-0009-01ff0c3e5e4f	2
294	MunkaKris	1
294	ShowRegent	1
294	pintsizedrogue	1
294	HBA00_	1
294	MuffinManzz	1
294	seanitoo	1
294	peachfuzz1267	1
