rank	username	minecraft:dropped/minecraft:birch_sapling
141	NinjaKnifeKill	8
141	Simon_Lowell	8
141	Ssor69	8
141	crying_wolf_13	8
141	Zythose	8
141	Onennon	8
141	Shiirazu	8
141	TheShyPig	8
141	Kura2218	8
141	djancak	8
141	Quotary	8
154	fr0stss	7
154	__TheNorseMan__	7
154	mimbo1211	7
154	PeteO1995	7
154	jewbacaman	7
154	SkyHighSkier	7
154	yulgur1	7
154	Travka100	7
154	RadarHz	7
154	bladeefan2009	7
154	Jordan_R	7
154	diggydog67	7
166	seanitoo	6
166	Bandito_Roamer	6
166	IronArshXS	6
166	Killercatty78	6
166	Dogbound	6
166	T045RTY	6
166	Whiterooster001	6
166	uhm__okay	6
166	picardred	6
166	LILI_G_F_2007	6
166	lorpus	6
166	surfinggiraffejp	6
166	ItzYaBoiPicard	6
166	Touched_Bread	6
166	Truckoss	6
166	natajimi	6
166	wobn	6
166	MinuteMira	6
166	handsome_strong	6
166	EtherealEspresso	6
166	Ossem	6
166	Soplight	6
166	lcvezra	6
189	I_Am_Mushkin	5
189	Sebaschan__	5
189	oreee	5
189	fade_emerge78823	5
189	LeauVox4921	5
189	TheDankPlatypus	5
189	Jonafrog99	5
189	Werbe	5
189	RobotMinion101	5
189	Kynigito	5
189	DanielMmm	5
189	Tyrannosplart	5
189	WyngGoy	5
189	Cocoamallows	5
189	layabout100	5
189	Rainaldus	5
189	Powowowow	5
189	coobert42	5
189	JayToe	5
208	jjettii	4
208	Ev0luti0nz	4
208	6king6colt6	4
208	ImpavidArcher	4
208	elmer1234	4
208	ATrojansLegend	4
208	Yirtle	4
208	prizm_	4
208	Donutt	4
208	XeroByMyth	4
208	KliBeast21	4
208	ChocolatePepsi	4
208	Nycteus_	4
208	Matorz	4
208	SkateboardR6	4
208	Vorlice	4
208	LetsDoItLive	4
208	RealGroot	4
208	gusstationwerker	4
208	Luigipunch989	4
208	Sheldor097	4
208	smogfrog	4
230	Krasnal1337	3
230	RosaDoesMC	3
230	SDW_Insanity	3
230	pintsizedrogue	3
230	_stets	3
230	FroggoTheDoggo	3
230	Sleek_Storm_721	3
230	BlancoFlaco	3
230	Caystelly	3
230	Natty	3
230	lotarp	3
230	SDMNAEK	3
230	CliffEmAll	3
230	Fullut	3
230	set67	3
230	hcb238	3
230	Stiar	3
230	r123moore	3
230	CarltheCuck	3
230	Chromary	3
230	Rocco_Lane	3
230	SvenskaSara	3
230	cedric72	3
230	groofles	3
230	binman420	3
230	DarkS0L	3
230	Beagle_Boy	3
230	NameGenerat0r	3
230	Deerfoot	3
230	BigCronkin	3
230	censorsheep	3
230	Xclax101	3
230	_k2x	3
230	ChronoSounds	3
230	Yahir091	3
230	sadvavilloso	3
230	tsitrawhy	3
230	CalebDHawk	3
230	jcool7	3
230	monolu	3
230	Skippeh	3
230	xolstoi	3
230	fastPREDATOR	3
273	MunkaKris	2
273	Dilshooter	2
273	PrpleFunkyMonkey	2
273	1ochi	2
273	dudcreeper	2
273	AuroraValkyrie	2
273	EkkoTraveler	2
273	Esme_1	2
273	hm947	2
273	EvenMina	2
273	InfernalMound	2
273	xPixelRainx	2
273	Cryptacity	2
273	Enigma0251	2
273	Gingayy	2
273	TableTim	2
273	BlueZabu	2
273	WET_WET_WET	2
273	ibarker21	2
273	impossibleteapot	2
273	_Buffo	2
273	Parcc	2
273	Nosretep	2
273	Jeteight	2
273	Smussa	2
273	zToasty69z	2
273	Maenara	2
273	IamCL4SSY	2
