rank	username	minecraft:dropped/minecraft:lever
130	ClemenPine	2
130	dezxalo	2
130	groofles	2
130	Leyna3	2
130	Wowful	2
130	TheSeismicDuck	2
130	Deathkob	2
130	LexMakesHistory	2
130	DanTheBuilderino	2
130	fluddd	2
130	Racengan	2
130	Th6masss	2
130	07shiny	2
130	UCP_TheKingK	2
130	Kubeusz2010	2
130	VentiHilton	2
130	Nicserso	2
130	MeetTheWollo	2
130	JayToe	2
130	h2p_emrld	2
171	Jovaphobic	1
171	abramgray	1
171	Cowison	1
171	ItsColin11	1
171	Drlzyy	1
171	LovelyDane	1
171	q_wq	1
171	I_Am_Mushkin	1
171	diamondgolem35	1
171	itburb	1
171	ShedJr_	1
171	Ssor69	1
171	FirsTimeGamingTV	1
171	Euclidoris	1
171	jacxhadow	1
171	Rich_Kat	1
171	ABUSNA1996	1
171	ProfessorBee	1
171	boog4loo	1
171	AngalexikCZ	1
171	GLLogan2	1
171	set67	1
171	paranoid_plant	1
171	Scathra	1
171	Awyrlas	1
171	Uzbeki_John	1
171	Patwannabegamer	1
171	hcb238	1
171	theonlymagikarp	1
171	gcaisawesome	1
171	eiC_	1
171	Kubelz	1
171	DermeinUser	1
171	TheDankPlatypus	1
171	M_Patata	1
171	BlueZabu	1
171	CollinMH06	1
171	Marbz_	1
171	SuperPooch06	1
171	Snowflowe	1
171	AlexStrange	1
171	DAD_1996	1
171	ApophisNova	1
171	TheWildMateo	1
171	Shiirazuku	1
171	StormPool	1
171	SvenskaAlvar	1
171	TheShyPig	1
171	Maenara	1
171	Austinizzle	1
171	audiocracked	1
171	masskedman	1
171	valkam13	1
171	Inbefour	1
171	Gryglu583	1
171	madderfall	1
171	DemTechAlpha	1
171	Soap_Bender	1
171	claivin	1
171	EfficientC52	1
171	El_Jalapeno	1
171	Nycteus_	1
171	Barlycorn	1
171	Matorz	1
171	MasterNueve	1
171	Bonzaidalek	1
171	ItsDeltaMC	1
171	ayamefag	1
171	pixelviolin	1
171	yatsuta	1
171	LilcoinXX	1
171	stahouo	1
171	lcvezra	1
171	obzii	1
171	Moetis	1
171	Sheldor097	1
171	xX_Stalin69_Xx	1
171	Dreamdbr14	1
171	Rainaldus	1
171	MyNamaSheff	1
171	Enderslayerxz3	1
171	PlasticOtari	1
171	Sral7	1
171	kinas45y5	1
171	The_SlideV5	1
171	camando92	1
171	EcksDofficial	1
171	FishisTTV	1
171	Wanjibon	1
