rank	username	minecraft:dropped/minecraft:cobbled_deepslate
184	NiveauSubmarine	64
184	Eraxa	64
184	BungalowBeet	64
189	zOnlyKroks	63
190	HoltGrim	61
191	LeDuctTape	55
192	censorsheep	54
193	H_O_M_H	51
194	RebelAndroid	49
194	noful	49
196	MinttyFressh	48
197	dimitri0s	47
197	Valoth	47
199	MrQuanQuan	43
200	NoobyandApple	42
201	Blackberry1310	41
202	bagel980	38
203	SyntheticSurgeon	36
204	YairZaki	31
205	Rocco_Lane	30
205	Skylord_Luke	30
207	Inchef	27
207	AppleJacks	27
209	RatatJuice	26
209	MilleGrug	26
211	KingEgg1	25
211	RaiaMala_	25
213	IKeepDying	22
213	ZA07	22
213	Veillax135	22
216	alderban107	21
216	00000000-0000-0000-0009-01fc3bb26159	21
218	longappendage	19
219	FishisTTV	18
220	Silvo614	17
221	SmashingPump	16
221	teslawolf38	16
221	Mythic1130	16
224	nopekk	15
224	TerraVl	15
224	Solar_Power	15
224	LazySupport00	15
228	CloroxBleach385	11
229	joethahobo	10
229	MNMann44	10
231	Legendosh	9
231	PlasticOtari	9
233	Creativebuilder2	8
233	Ithaca19	8
233	Btabtab	8
233	00000000-0000-0000-0009-01f53dff86f7	8
237	TheDankPlatypus	7
238	_HoneySlime_	6
238	smarticuno	6
238	PigDab	6
238	_Dri_	6
242	ZaneABrain	5
242	TAKrules	5
242	Winklepicker279	5
242	kyouma777	5
242	Skippeh	5
247	Ev0luti0nz	4
247	NotRemets	4
247	Ryker	4
247	Prismyst	4
247	ITDV	4
247	Cellcorgi649	4
247	CollinMH06	4
247	DanTheBuilderino	4
255	Deu_Stew	3
255	ImpavidArcher	3
255	CoffeeNoir	3
255	tlal002	3
255	SteveCraftBlocks	3
255	breadbowlgamer	3
255	videogames_	3
255	dartwaffle	3
255	yulgur1	3
255	NomadicRobin_	3
255	Tiktola01	3
255	Ze_BaronKrigler	3
255	PortlyPete69	3
268	MattieHD	2
268	ARandomHedge	2
268	XboxPanda	2
268	Leonidas2k17	2
268	Not_Insom	2
268	Vegvisir	2
268	Superdays	2
268	WYFYoyo	2
276	FazeObama69	1
276	I_Moose	1
276	fuyyuu_oke	1
276	stickymonkeyboy	1
276	Kakolbus	1
276	Kondzik2008	1
276	HyperCave	1
276	parodypatient	1
276	aldplaysmc	1
276	EveryonesUncle	1
276	CalebDHawk	1
276	fffMike	1
276	2bolx_	1
