rank	username	minecraft:dropped/minecraft:basalt
119	shadowthemonkey	92
120	Druid95	89
121	thescout7	88
121	Hermanni__	88
123	Nicserso	85
124	PazinGaming	82
125	hm947	81
126	joethahobo	79
126	luseis	79
128	NATE_the_HALO	78
129	Z3braYTIL	77
130	SaphLaseer	75
130	Mahoose	75
132	groofles	71
133	Moofyman	70
134	Chromary	69
134	CACTUSLAD	69
136	Secret_Canary	67
136	CollinMH06	67
136	StinkyDiplomat	67
139	CoffeeNoir	65
139	Kubeusz2010	65
141	AuroraValkyrie	64
141	rarrq	64
141	Masssonnn	64
141	mariominejedi	64
141	Solar_Power	64
141	Erased_Identity	64
147	WET_WET_WET	60
147	SvenskaHugo	60
149	ITDV	57
150	MS_Pryxx	56
151	remmisrat	55
152	I_Am_Mushkin	53
153	THEKINGLyric10	52
154	Fullut	45
154	Zoeyfortnite	45
156	yheece	44
157	Flores991	43
157	LeGold	43
159	Marbz_	42
159	DarkS0L	42
159	MilleGrug	42
162	BPTY4618	38
162	MinttyFressh	38
164	ganyuganyu	37
164	Strangemonkey71	37
166	pintsizedrogue	36
166	drunkeeez	36
166	tartanboy	36
169	Megarboh	35
169	Mattesco	35
169	CalebDHawk	35
172	soundad	31
172	Razzgriz	31
174	Creativebuilder2	30
174	TheSecondLord	30
174	00000000-0000-0000-0009-01ff0c3e5e4f	30
177	SquadMonster	28
178	ShedJr_	27
178	excelsionprime	27
178	GravitySaint	27
181	JohnnyFyes	25
181	Akoot_	25
183	__tomato	23
184	Wwamess	21
184	Paint	21
184	Legendosh	21
187	Raspberry_Sodas	20
187	4774	20
187	Cellcorgi649	20
187	Touched_Bread	20
191	shineh10	19
192	ApophisNova	18
192	MyNamaSheff	18
194	Cowison	16
194	masskedman	16
194	SingedBread	16
194	xzvu	16
198	Boboczus	15
198	sp00ky_ghost977	15
200	Haficzeq6984	14
200	500am	14
200	KeruNatsema	14
200	RadarHz	14
200	diggydog67	14
205	SmashingPump	13
205	imcombxt	13
205	Gab4101	13
208	Huwulling	12
209	SyntheticSurgeon	11
209	ChronoSounds	11
209	MirielThePastor	11
212	Sheldor097	10
213	benediktine1	8
213	GooseWithin	8
213	501g	8
213	HesDemonPants	8
213	PlasticOtari	8
213	Biites	8
219	Jindong	7
219	Hisiste	7
219	pixelviolin	7
222	r123moore	6
223	EMC_	5
223	livingdaydreams	5
223	Myszoaz	5
223	m_be9	5
223	ReSynced	5
223	EveryonesUncle	5
223	HellsSponge	5
223	Vorlice	5
223	Optiprimus	5
232	Prismyst	4
232	TheFlfthHorseman	4
232	Krowuss	4
232	Manaateee	4
232	aruzs	4
232	Skippeh	4
238	DinoDoctor_	3
238	MattieHD	3
238	fade_emerge78823	3
238	ReverendSmith	3
238	weabis	3
238	MAns_44	3
238	TheImperial	3
238	Ze_BaronKrigler	3
238	Steelynan	3
238	00000000-0000-0000-0009-01faf4342590	3
248	CLG_Kata	2
248	q_wq	2
248	AshleeCW	2
248	rachcl	2
248	Incinere	2
248	Historical_Sand	2
248	Swexti	2
248	Tiberonus	2
248	Xalithia	2
248	TheShyPig	2
248	DanTheBuilderino	2
248	CheifJumbo	2
248	Aryamanee	2
248	Jimb0nat0r	2
262	NatalieTW	1
262	_Virify_	1
262	Apollo_993	1
262	teslawolf38	1
262	dragonsleger	1
262	Killercatty78	1
262	ausrctten	1
262	IgnoredBee	1
262	Jakobo1337	1
262	Kamflame10	1
262	ARandomHedge	1
262	XboxPanda	1
262	corpsecity	1
262	JitteryJared2	1
262	TheWildMateo	1
262	Kokeech	1
262	Dakar_	1
262	Airem_Core	1
262	DracZSenpai	1
262	Dreamdbr14	1
262	jnp_gaming	1
