rank	username	minecraft:dropped/minecraft:cod
95	ProbsNotNova	37
96	Hermanni__	34
97	PortlyPete69	33
98	eiC_	32
98	CalebDHawk	32
100	EMC_	30
100	mimbo1211	30
100	Xclax101	30
103	YungMaki	29
104	Furiuosbeast0404	28
105	masskedman	23
106	500am	20
106	lizardfightclub	20
106	TheTrueClipse	20
109	pintsizedrogue	19
109	seanitoo	19
111	gaziter10	18
111	whoaluv	18
113	NoChumpChange	17
113	obzii	17
115	eviltunix	16
115	Sky_light_KING	16
115	Inbefour	16
115	MeetTheWollo	16
119	Hyugo	15
119	tramizu	15
119	slkiey	15
119	TheShyPig	15
119	the_russell1611	15
124	Wooptey	14
124	M_Patata	14
124	fallingemma	14
124	fr_ser	14
124	MasterNueve	14
124	stellarjay	14
130	_Virify_	13
130	RebelAndroid	13
130	SokaOtaku	13
130	Rasmanden	13
130	Lord_Jord	13
130	OverallConcept	13
130	HesDemonPants	13
137	PhantomsGhost_	12
137	Firecracker320	12
137	Ao_Ken	12
137	StanceTB	12
137	MangoTheFish	12
137	Akoot_	12
137	Eczbek	12
144	diamondgolem35	11
144	Reamdin	11
144	pumpfonzo	11
144	domagawha	11
148	I_Am_Mushkin	10
148	Arceus1975	10
148	Jiminie	10
148	DarlaMeow	10
148	vandmanden	10
153	Sleek_Storm_721	9
153	Iagoku	9
153	ShedJr_	9
153	Swexti	9
153	Flapjacker687	9
153	Chromary	9
153	fxiryglitch	9
153	Stephenpoling	9
153	BumbleBeever	9
153	Ashton1242	9
153	MissCeleste7	9
164	Groovy_MoonBird	8
164	AuroraValkyrie	8
164	teslawolf38	8
164	_Boipl_	8
164	ApophisNova	8
164	_Karmaa	8
164	stahouo	8
164	PlzNoBM	8
164	monolu	8
164	BreadBacon	8
164	MyNamaSheff	8
175	Rebytre	7
175	Onennon	7
175	XeroByMyth	7
175	RodSerlingCringe	7
175	fw3xywashere	7
175	Toiton	7
175	HELLO_I_AM_BEAR	7
175	layabout100	7
175	33sudo	7
175	Crows_Dome	7
175	Oxygen16	7
186	Kalimbaaaa	6
186	seba070c	6
186	urbeans	6
186	Prodiginus	6
186	GiantPoop100	6
186	Nach0Bear	6
186	surfinggiraffejp	6
186	Fuhrer_Teemo	6
186	DolphinLaugh	6
186	Luigipunch989	6
186	Njensen7	6
186	Quotary	6
198	T045RTY	5
198	Historical_Sand	5
198	YungJakobo	5
198	_8man	5
198	Hiryu27	5
198	yulgur1	5
198	fluddd	5
198	pixelviolin	5
198	kinas45y5	5
198	JayToe	5
208	Bruh77	4
208	livingdaydreams	4
208	Seyaboy	4
208	buss081	4
208	2Stout	4
208	xxPipperDipperxx	4
208	SHAOBADMAN	4
208	fred870d	4
208	TTNG	4
208	_naturell	4
208	FishyBoy3811	4
208	NomadicRobin_	4
208	Bismarck_KMS	4
208	NameGenerat0r	4
208	Spenduh	4
208	TheOuterCore	4
208	Miko_Fullbuster	4
225	Froste131	3
225	Ze1ig	3
225	error10101	3
225	Batman922	3
225	Myszoaz	3
225	titanlax	3
225	BobDeBouwer1337	3
225	Guillemet	3
225	_Dean_123	3
225	SlayerCrypto	3
225	WarMachina	3
225	Voxin2K	3
225	proxivitoid	3
225	claivin	3
225	MAns_44	3
225	_TCARREIRA_	3
225	Poppy235	3
225	Steelynan	3
225	alderban107	3
225	Legendosh	3
225	EcksDofficial	3
225	aao001	3
225	FishisTTV	3
248	Jovaphobic	2
248	daisnny	2
248	The_Great_Jake	2
248	Merv__	2
248	KingFaenor	2
248	Wolf_Mauler_73	2
248	EkkoTraveler	2
248	BlancoFlaco	2
248	SaucyDark	2
248	Da_Boss_Rani	2
248	heckface	2
248	ElFi66	2
248	_Nuf	2
248	sandmire	2
248	Motsaro	2
248	Mewar	2
248	John6970	2
248	SeverianTheLame	2
248	SuperPooch06	2
248	burbankbuilder28	2
248	GreedyFern8581	2
248	AnnieBathory	2
248	MonitorLizards	2
248	Ender_Souls	2
248	SpookyDraggin	2
248	_Bguette_	2
248	majlin16	2
248	Soap_Bender	2
248	MustaLoordi	2
248	DarkLawD	2
248	LetsDoItLive	2
248	IdeallyGrey	2
248	KingMatthew506	2
248	Kubeusz2010	2
248	SirBreadward	2
248	anbbang	2
248	2blox	2
248	Kateesaur	2
248	diggydog67	2
287	MunkaKris	1
287	dudcreeper	1
287	Lotheburgh	1
287	dabloons	1
287	pZygh0st	1
287	milkedit	1
287	KarlKaek	1
287	Begformurrcy	1
287	Dedalus36	1
287	hm947	1
287	Flores991	1
287	_Razar	1
287	CoffeeNoir	1
287	Simon_Lowell	1
