rank	username	minecraft:dropped/minecraft:spruce_log
250	Masssonnn	63
250	thebaddruid	63
253	RedcatVII	62
254	DinoDoctor_	61
254	MrQuanQuan	61
254	valkam13	61
254	TheOuterCore	61
254	AltnumberF4	61
259	Myrosia	60
259	drumine	60
261	gabukun_	59
262	NotKaden_	58
263	Druid95	57
264	Jorrdi	54
264	MonitorLizards	54
264	lava124	54
264	LordSpeed37	54
268	BPTY4618	53
268	DenizSmille	53
270	claivin	52
270	MAns_44	52
272	00000000-0000-0000-0009-01ff0c3e5e4f	51
273	Killercatty78	50
273	blackmage426	50
275	Minimize501	49
276	SpartanNamor	48
276	Sleepy_Evelyn	48
276	NotMeanttoChange	48
276	olliebollie48	48
276	Benzito07	48
276	DarkS0L	48
276	brofrickcheaters	48
283	Ryan_GEMS	47
283	Jackster03	47
283	ogoa	47
286	Deathkob	46
287	_havick	45
288	ItsDeltaMC	44
288	Spenduh	44
288	UrbanPlanningEx	44
288	Teebone15	44
292	SpicyMeatballs	42
293	Da_Boss_Rani	41
293	CollinMH06	41
293	True_Clipse	41
296	maxdacatv2	38
296	XboxPanda	38
296	Dabatha	38
299	crashomon	37
300	SPUDonSTEROIDS	36
