rank	username	minecraft:dropped/minecraft:torch
92	Kakolbus	326
93	DarlaMeow	324
94	Zythose	317
95	6king6colt6	315
96	Hoid_the_Roamer	314
97	alderban107	296
98	Fullut	291
99	silverpopcorn	290
100	MightyWertu	284
101	Winston_Ingram	276
102	Tyrannosplart	269
103	TheThomas69	266
104	ImpavidArcher	265
105	Merv__	264
105	Hermanni__	264
107	Krasnal1337	263
108	PazinGaming	262
109	SaucyDark	259
110	teslawolf38	258
110	I_Am_Mushkin	258
112	_Nuf	253
112	bladeefan2009	253
114	CalebDHawk	252
115	MysticalKitty139	249
116	OfficerAnvil	246
117	RoofTyler	239
118	Smashic	234
118	CattSoup	234
120	cichy096	232
121	Hiryu27	231
122	Esme_1	230
123	IamCL4SSY	229
124	Ecplosive	227
124	Lord_Jord	227
126	UCP_TheKingK	224
127	LeeMcGee30	223
128	Mattesco	220
128	LeGold	220
130	Warlord324	219
131	DemTechAlpha	217
132	Cocoamallows	216
132	xolstoi	216
134	Euclidoris	215
134	XboxPanda	215
136	eviltunix	211
137	BlancoFlaco	208
137	MyNameIsJobo	208
139	Skippeh	202
140	monky_irl	201
140	Kateesaur	201
142	sadvavilloso	198
143	FirsTimeGamingTV	192
143	pumpfonzo	192
145	ooga47	190
145	MakeHistory157	190
145	AltnumberF4	190
148	12Magner05	189
148	stavgod	189
150	Chromary	187
150	lcvezra	187
152	500am	185
153	benediktine1	181
154	MattieHD	179
155	Tolhart	177
155	Awyrlas	177
157	Bumpy419	176
158	mihimihimihi	171
159	intropass	163
160	Jij0	160
161	EveryonesUncle	159
162	TheDankPlatypus	158
163	ElKaySVK	157
164	SkateboardR6	155
165	KliBeast21	154
165	Freedrik	154
167	burbankbuilder28	153
168	T045RTY	152
169	CoffeeNoir	150
170	Yirtle	149
171	picardred	147
172	TheWildMateo	146
173	sammidk	145
174	censorsheep	144
175	AuroraValkyrie	142
176	Elastiq	141
176	non089	141
178	MOSS000	140
178	_Dean_123	140
180	AlphaWolfPlaysMC	139
180	__Auspicious	139
182	Onennon	138
183	Voxin2K	137
183	Luigipunch989	137
185	KingMatthew506	136
186	NatalieTW	135
187	Swexti	134
187	ProbsNotNova	134
189	Moetis	133
190	diamondgolem35	132
191	Marbz_	131
192	Tobinator_007	130
193	Hamsanders	128
193	2Stout	128
193	QueenCamilla	128
193	Syropatathe	128
197	Mewar	127
198	SmashingPump	126
198	LeDuctTape	126
198	bloodbiter	126
198	himak1	126
198	Quaintster	126
203	lizardfightclub	125
204	ROY4LE	123
205	Wowful	122
206	SaintJosie	120
206	lolpoottoot	120
206	h2p_emrld	120
209	Arceus1975	119
210	bigstankyy	118
210	Sral7	118
212	Razzgriz	116
212	JayToe	116
214	TheShyPig	115
215	FallenCorps	114
216	Alteriity	113
217	Jimb0nat0r	112
218	BlueZabu	111
219	tsohomie	110
219	Rumpletaezer	110
221	NinjaKnifeKill	109
222	fluddd	106
223	SSytex_X	105
224	k_ce	104
224	John6970	104
224	PortlyPete69	104
227	MineMaster0012	101
228	EfficientC52	100
228	Mythic1130	100
230	THEKINGLyric10	93
231	ThePoliteG	92
232	CadenSteele	91
233	seanitoo	90
233	Kouridragon	90
235	nattybears	88
235	CrookedKaptain	88
237	surfinggiraffejp	87
237	AlexxO_o	87
239	whoaluv	86
239	Maenara	86
239	LexMakesHistory	86
242	gabriels543	85
242	Rebytre	85
244	q_wq	84
244	bndo	84
246	Vizzoid	83
246	Secret_Canary	83
246	Mistruth	83
249	FazeObama69	82
249	DeeDeeThonk	82
251	mimbo1211	81
251	Kyrum2169	81
253	Prodiginus	80
253	SvenskaHugo	80
253	brofrickcheaters	80
256	lorpus	79
256	AlexStrange	79
256	cedric72	79
259	Quotary	78
259	WinterYoke	78
261	VentiHilton	77
261	Faart	77
263	MinttyFressh	76
263	Barlycorn	76
265	slkiey	75
266	fr0stss	74
266	cheerytomato	74
266	TJawesome09	74
266	Zoeyfortnite	74
270	lotarp	73
270	fw3xywashere	73
270	MAns_44	73
270	sp00ky_ghost977	73
270	Dogcorn69420	73
275	Incinere	72
275	SpaceGrenadier	72
275	Deerfoot	72
278	ThiccExotic	71
278	ratglock	71
278	Inbefour	71
278	Sheldor097	71
282	MentheMan09	70
283	ShowRegent	69
283	Myszoaz	69
283	stuy9	69
283	audiocracked	69
287	jacxhadow	67
287	AJplaysMC_	67
289	soundad	66
289	Touched_Bread	66
289	Kubelz	66
289	Leyna3	66
289	IAmTheWalrus910	66
294	legal_tax_evader	65
294	Fuhrer_Teemo	65
294	GravitySaint	65
294	MovingFish7	65
294	deenobeeno	65
299	thatbeanyboi	64
299	Queen_Jalapeno	64
