rank	username	minecraft:dropped/minecraft:leather_boots
101	stavgod	7
101	ayamefag	7
101	Kubeusz2010	7
101	Enderxz3	7
101	Legendosh	7
101	Zoeyfortnite	7
115	MunkaKris	6
115	Froste131	6
115	Cowison	6
115	Ryker	6
115	jacxhadow	6
115	_Nuf	6
115	500am	6
115	crashomon	6
115	shadowthemonkey	6
115	BronkerBrum	6
115	ReSynced	6
115	Lord_Zacler	6
115	Deathkob	6
115	Tyrannosplart	6
115	Deerfoot	6
115	Barlycorn	6
115	wwwwinnebagoooo	6
115	mihimihimihi	6
115	_i_ERROR_i_	6
115	Iamthejo	6
115	annebolyn	6
136	CoffeeNoir	5
136	Myszoaz	5
136	fr0stss	5
136	teqilas	5
136	MattieHD	5
136	Secret_Canary	5
136	4774	5
136	eviltunix	5
136	xxPipperDipperxx	5
136	platinumzero	5
136	CollinMH06	5
136	Jonafrog99	5
136	Rumpletaezer	5
136	Mattesco	5
136	thgrocks	5
136	ebanana	5
136	GravitySaint	5
136	sp00ky_ghost977	5
136	_TCARREIRA_	5
136	fffMike	5
136	jcool7	5
136	cichy096	5
136	jnp_gaming	5
136	2blox_	5
160	k_ce	4
160	PhantomsGhost_	4
160	SmashingPump	4
160	Merv__	4
160	teslawolf38	4
160	I_Am_Mushkin	4
160	tuckerdoodle	4
160	Franco093	4
160	livingdaydreams	4
160	Alteriity	4
160	NinjaKnifeKill	4
160	SpaceGrenadier	4
160	dopplexd	4
160	Crowman1	4
160	12Magner05	4
160	catandmoose	4
160	corvidpartyfor6	4
160	mwrty	4
160	yheece	4
160	Hoid_the_Roamer	4
160	jewbacaman	4
160	KeruNatsema	4
160	LilLizardWizard	4
160	IamCL4SSY	4
160	1442	4
160	_Karmaa	4
160	NameGenerat0r	4
160	DanTheBuilderino	4
160	MightyWertu	4
160	ProfessorDiaper	4
160	SkateboardR6	4
160	Kura2218	4
160	MrShojo	4
160	Luigipunch989	4
160	PortlyPete69	4
160	CalebDHawk	4
160	Njensen7	4
160	BreadBacon	4
198	H0UNDFRMH3LL	3
198	seanitoo	3
198	ECstardust	3
198	Killercatty78	3
198	Hpdinosaur	3
198	Wooptey	3
198	T045RTY	3
198	Huwulling	3
198	Morgf	3
198	SquadMonster	3
198	FirsTimeGamingTV	3
198	Saucepeh	3
198	BobDeBouwer1337	3
198	Tiberonus	3
198	SteveCraftBlocks	3
198	Kamflame	3
198	Awyrlas	3
198	Xalithia	3
198	ROY4LE	3
198	Touched_Bread	3
198	XboxPanda	3
198	TheDankPlatypus	3
198	whoaluv	3
198	ooga47	3
198	Shiirazu	3
198	fw3xy74	3
198	DTwenty	3
198	NYJ	3
198	Meatlaugh	3
198	AstreaTSS	3
198	claivin	3
198	Blu3beast	3
198	MakeHistory157	3
198	StarCookiees_	3
198	Kijiki	3
198	TheKingK_	3
198	obzii	3
198	ProbsNotNova	3
198	youarefrench_	3
198	UrbanPlanningEx	3
198	vandmanden	3
198	Jimb0nat0r	3
240	Jovaphobic	2
240	Vryistal	2
240	NatalieTW	2
240	KarlKaek	2
240	myaccountwasgone	2
240	diamondgolem35	2
240	Jindong	2
240	Ryan_GEMS	2
240	ExtraDumb	2
240	Saltymart	2
240	Firecracker320	2
240	Incinere	2
240	SyntheticSurgeon	2
240	Natty	2
240	ZaneABrain	2
240	ShedJr_	2
240	Archsam	2
240	skroobiez	2
240	Gregward_Smith	2
240	MrKrabOnCoke	2
240	Swexti	2
240	nocturne78	2
240	Sleepy_Time_	2
240	QuiCreans	2
240	Vizzoid	2
240	NieToksikpl	2
240	jushykins	2
240	m_be9	2
240	Nicky_H225	2
240	SoftSix	2
240	Enigma0251	2
240	UncreativeArtist	2
240	thescout7	2
240	LeauVox4921	2
240	2Stout	2
240	r123moore	2
240	Paintz	2
240	pumpfonzo	2
240	M_Patata	2
240	prizm_	2
240	Windo_licker	2
240	Marbz_	2
240	legal_tax_evader	2
240	Chromary	2
240	hanaryheatwave	2
240	popcanter	2
240	burbankbuilder28	2
240	AnnieBathory	2
240	Krowuss	2
240	Skylord_Luke	2
240	ApophisNova	2
240	The11thDoctor	2
240	seramalen	2
240	Truckoss	2
240	Moofyman	2
240	Olib3ar	2
240	Samificator	2
240	ougstur	2
240	sammidk	2
240	FishyBoy3811	2
240	lizardfightclub	2
