rank	username	minecraft:dropped/minecraft:baked_potato
187	wrinkledpiglet	31
188	heckface	30
188	Dusk_95	30
188	Enderxz3	30
188	00000000-0000-0000-0009-01ff0c3e5e4f	30
192	SSytex_X	29
193	Hysna	28
193	_Dean_123	28
193	Orcus113	28
193	OverallConcept	28
197	Ze1ig	27
197	LAVA129	27
199	ThiccExotic	26
199	weabis	26
201	Ravenbie	25
201	_Nuf	25
201	Werbe	25
201	OfficerAnvil	25
201	PlasticOtari	25
206	AuroraValkyrie	24
206	TAKrules	24
206	QuakerOatsGod	24
206	Avrelion	24
206	SunsetwolfGG	24
211	NomRay	23
211	claivin	23
211	Sheldor097	23
214	Elprone266	22
214	nocturne78	22
214	Karetoko	22
214	SuperPooch06	22
214	stuy9	22
214	madderfall	22
214	MakeHistory157	22
214	BioKing99	22
222	Quincannon	21
222	LeeMcGee30	21
224	KomputerDude	20
224	PlzNoBM	20
226	ratglock	19
226	ConnorDanky_	19
228	fallingemma	18
228	Fakiuss	18
228	balin55	18
228	Deerfoot	18
228	the__Reaper4999	18
228	YungMaki	18
234	milkedit	17
234	Jimi7hits	17
234	Leftsy	17
234	CheifJumbo	17
234	BreadBacon	17
239	heysushii	16
239	T045RTY	16
239	CoffeeNoir	16
242	mwrty	15
242	Uzbeki_John	15
242	Xalithia	15
242	LordAurum	15
242	WyngGoy	15
242	luckykill123	15
242	Njensen7	15
249	Bandito_Roamer	14
249	Tiktola01	14
249	layabout100	14
249	Kiki_Majiki	14
253	Comma__	13
253	AlexxO_o	13
253	vandmanden	13
256	SoosAmongus	12
256	lotarp	12
256	Cambo5000	12
256	DaviusMaximoose	12
256	sxc_	12
256	djancak	12
256	TheALV	12
263	2Stout	11
263	xxPipperDipperxx	11
263	Deguns123	11
263	Yahrto	11
267	RosaDoesMC	10
267	fkGrim	10
267	PortlyPete69	10
270	goyz	9
270	MrMattyPatt	9
270	thescout7	9
270	WET_WET_WET	9
270	0Vyp_	9
270	IamCL4SSY	9
270	EveryonesUncle	9
270	CalebDHawk	9
278	TheBiggestFeller	8
278	Ev0luti0nz	8
278	NexusAI	8
278	ImNotYuqii	8
278	Arteriana	8
278	Gofeeh	8
278	Mariopreeet	8
278	xFaiithyX	8
278	MAns_44	8
278	419mmurphy	8
278	ZoomieZoomie	8
289	I_Am_Mushkin	7
289	Masssonnn	7
289	NotTrixi	7
289	orxngejuice	7
289	seramalen	7
289	FreakGenius	7
289	Spacewardharpy7	7
296	MrKrabOnCoke	6
296	Swexti	6
296	o0z	6
296	Cidah	6
296	theonlymagikarp	6
