rank	username	minecraft:dropped/minecraft:paper
113	epiksk8erduck	118
114	eiC_	117
115	yheece	116
116	rarrq	115
117	hm947	114
118	SkateboardR6	102
119	SteveCraftBlocks	101
120	Soap_Bender	100
121	Ender_Souls	96
122	_Nuf	94
123	Inchef	92
124	Segotep999	91
125	MovingFish7	90
126	shdesolt	85
127	UrbanPlanningEx	84
128	ayamefag	83
129	ReSynced	82
129	Kyrum2169	82
131	openatheclose	81
131	Masssonnn	81
131	Motsaro	81
131	Bumpy419	81
135	m_be9	80
136	_Dean_123	79
137	lorpus	78
137	mimbo1211	78
139	I_Am_Mushkin	75
140	xxPipperDipperxx	73
141	Nicky_H225	72
141	FishisTTV	72
143	r123moore	71
144	Kynigito	70
144	EveryonesUncle	70
146	__tomato	69
147	ApophisNova	67
147	MyNamaSheff	67
149	NATE_the_HALO	66
150	Batman922	64
150	elmer1234	64
150	Prodiginus	64
150	KGTV	64
150	jewbacaman	64
150	True_Clipse	64
150	EdGalbraith	64
150	fffMike	64
150	AltnumberF4	64
159	DarlaMeow	63
160	surfinggiraffejp	62
161	AuroraValkyrie	58
161	SvenskaHugo	58
163	smogfrog	57
164	XxCookiequeenxX	56
164	Powowowow	56
166	q_wq	55
166	MoistMicrowave	55
168	iSammael	54
169	AspenLightVT	51
170	BigBootyHudge	48
170	ProfessorBee	48
172	DiamondShaff	47
173	NomadicRobin_	46
173	mobunni	46
175	Bobby808	45
175	El_Jalapeno	45
177	Iagoku	44
177	Arceus1975	44
179	burbankbuilder28	43
179	Vellu21	43
181	fr0stss	42
181	Manaateee	42
181	TheEnderMan548	42
184	XboxPanda	41
184	Kakolbus	41
184	IAmTheWalrus910	41
184	Sral7	41
188	Dakar_	40
189	NotKaden_	39
190	mwrty	38
191	RebelAndroid	36
191	funnyblitz123	36
193	NameGenerat0r	35
194	Sna_Ke	34
194	Gregward_Smith	34
194	Luigipunch989	34
194	TitanCrafting	34
198	gren_ben	33
198	trixterrx	33
198	Wowful	33
198	SwooshBoi	33
198	plato2066	33
203	Vizzoid	32
203	Barlycorn	32
205	gustarlep	31
205	diggydog67	31
207	TheOuterCore	30
207	cichy096	30
209	kaiwill0w	29
210	w3nd3lbo3	27
211	FirsTimeGamingTV	26
212	StarCookiees_	25
213	Saucepeh	24
213	33sudo	24
213	Earlesstrain4	24
216	PhantomsGhost_	23
216	teslawolf38	23
216	ScootOfBoot	23
219	Da_Boss_Rani	22
219	Rich_Kat	22
219	shockdocta	22
219	Groundler	22
223	Awyrlas	21
223	calamariclam_I	21
225	bloodbiter	20
225	LilLizardWizard	20
227	H0UNDFRMH3LL	19
227	Bandito_Roamer	19
227	NatalieTW	19
227	oreee	19
227	Raspberry_Sodas	19
227	THEKINGLyric10	19
233	Huwulling	18
233	Historical_Sand	18
233	impossibleteapot	18
233	IamCL4SSY	18
233	UltraZombie	18
238	Mr_Byzantine	17
238	KingMatthew506	17
240	Covalents	16
240	EfficientC52	16
242	SaucyDark	15
242	Comma__	15
242	Paintz	15
245	chipklip	14
245	Inbefour	14
247	jspwn	13
247	6king6colt6	13
247	Rorrofighter	13
247	MattieHD	13
247	hermmm_	13
247	2blox_	13
253	ItsColin11	12
253	RefluxRatio	12
253	Hiryu27	12
253	Truckoss	12
253	FishyBoy3811	12
253	thgrocks	12
253	__Auspicious	12
253	TheBananaKat	12
253	Faart	12
262	seanitoo	11
262	T045RTY	11
262	TheDankPlatypus	11
262	Mobstr	11
262	U_Mos_	11
267	SmashingPump	10
267	SSytex_X	10
267	miramyu	10
270	Seyaboy	9
270	Ozixar	9
270	corvidpartyfor6	9
270	2extreeme	9
270	J4k__	9
270	yulgur1	9
270	the_russell1611	9
277	heysushii	8
277	CLG_Kata	8
277	PazinGaming	8
277	TachibanaAkira	8
277	Killercatty78	8
277	lotarp	8
277	SuperPooch06	8
277	Kokeech	8
277	claivin	8
277	CrazyPotater	8
287	_Huge_Male_	7
287	BPTY4618	7
287	bigstankyy	7
287	Natty	7
287	MOSS000	7
287	Krowuss	7
287	lizardfightclub	7
287	MAns_44	7
287	Pumpkin_P_Patch	7
287	TheKingK_	7
287	_TCARREIRA_	7
287	Celeste_121	7
287	PortlyPete69	7
300	Zee_zey	6
