rank	username	minecraft:dropped/minecraft:chest
153	Katsuragi0243218	11
161	gren_ben	10
161	claremackie	10
161	Jahara	10
161	Historical_Sand	10
161	Gingayy	10
161	pixelviolin	10
161	tsitrawhy	10
168	q_wq	9
168	I_Am_Mushkin	9
168	Kakolbus	9
168	OffWithTheirHead	9
168	LeEricc	9
173	TrNrGhost	8
173	SaucyDark	8
173	the_fireminer	8
173	Patwannabegamer	8
173	ROY4LE	8
173	XboxPanda	8
173	lizardfightclub	8
173	_Bguette_	8
173	Manaateee	8
173	sp00ky_ghost977	8
173	Burge_r	8
173	TheOuterCore	8
173	vandmanden	8
186	Badenbeele	7
186	Archsam	7
186	Xalithia	7
186	WET_WET_WET	7
186	AlexxO_o	7
186	Luminad3	7
186	Avocadogerms	7
186	Soul_Atreus	7
186	Enderxz3	7
186	calamariclam_I	7
186	Kateesaur	7
186	00000000-0000-0000-0009-01f9013b764e	7
198	Merv__	6
198	bigstankyy	6
198	Hamsanders	6
198	fade_emerge78823	6
198	KGTV	6
198	Fi11e	6
198	StinkyDiplomat	6
198	Hisiste	6
198	CalebDHawk	6
207	Swexti	5
207	elmer1234	5
207	Kkanot	5
207	TheShyPig	5
207	fw3xy74	5
207	Inbefour	5
207	ese_wn_po	5
207	El_Jalapeno	5
207	monky_irl	5
207	StarCookiees_	5
207	ayamefag	5
207	__tomato	5
207	SSytex_X	5
207	NATE_the_HALO	5
207	mountaingirl311	5
207	UrbanPlanningEx	5
223	CLG_Kata	4
223	teslawolf38	4
223	ECstardust	4
223	TooManyDuck	4
223	Killercatty78	4
223	lotarp	4
223	Hormones	4
223	tsohomie	4
223	12Magner05	4
223	500am	4
223	ConcretePirate	4
223	lorpus	4
223	Mewar	4
223	eiC_	4
223	John6970	4
223	fallingemma	4
223	CheesyToess	4
223	Eczbox	4
223	oscminus	4
223	F_Uhre	4
223	NoChumpChange	4
223	Russiancat1	4
223	DarkS0L	4
223	The_slideV3	4
223	shrimp_flips	4
223	claivin	4
223	Matorz	4
223	ediballbearings	4
223	SammiWolfGirl	4
223	Nekomin0	4
223	Seindi	4
223	Njensen7	4
223	Eczbek	4
223	Kubeusz2010	4
223	TheBananaKat	4
223	Empresario	4
259	SaltineDream	3
259	MuffinManzz	3
259	_Huge_Male_	3
259	Ze1ig	3
259	Jindong	3
259	hm947	3
259	Flores991	3
259	CoffeeNoir	3
259	MoistMicrowave	3
259	Da_Boss_Rani	3
259	LoboTheLobster	3
259	Auseawesome	3
259	Guillemet	3
259	Smashic	3
259	excelsionprime	3
259	Z3braYTIL	3
259	4774	3
259	Nach0Bear	3
259	surfinggiraffejp	3
259	JMK208	3
259	mariominejedi	3
259	CollinMH06	3
259	yheece	3
259	SuperPooch06	3
259	impossibleteapot	3
259	MinerDec	3
259	Moofyman	3
259	LeGold	3
259	Leyna3	3
259	TheTrueClipse	3
259	LeonelSalamanca	3
259	natajimi	3
259	NomadicRobin_	3
259	FreddyFart	3
259	Deathkob	3
259	Meatlaugh	3
259	DASH_X7	3
259	Bloo2406	3
259	silverpopcorn	3
259	Vorlice	3
259	IAmTheWalrus910	3
259	OG_Songsee	3
