rank	username	minecraft:dropped/minecraft:clay_ball
221	Myszoaz	4
221	Swexti	4
221	Valoth	4
221	I_Moose	4
221	_Nat666	4
221	MinttyFressh	4
221	SteveCraftBlocks	4
221	eviltunix	4
221	KingEgg1	4
221	Kakolbus	4
221	Winklepicker279	4
221	WET_WET_WET	4
221	pappaberg	4
221	cedric72	4
221	Project_MKBRD	4
221	NomadicRobin_	4
221	fkGrim	4
221	Sorry_Arey	4
221	kalzor	4
221	El_Jalapeno	4
221	Nycteus_	4
221	Human_Resource	4
221	Typadopoulos	4
221	ItsJWolff	4
221	iSammael	4
221	IAmTheWalrus910	4
221	Razzgriz	4
221	stavgod	4
221	NATE_the_HALO	4
221	MNMann44	4
221	jcool7	4
221	Dr0xzy	4
221	blimpeey	4
221	cichy096	4
221	h2p_emrld	4
262	Ssor69	3
262	_Bguette_	3
262	C0oOK13M0N5T3R	3
262	Warlord324	3
262	EtherealEspresso	3
267	ImpavidArcher	2
267	nattybears	2
267	Crowman1	2
267	ProfessorBee	2
267	mimbo1211	2
267	RobotMinion101	2
267	Onennon	2
267	Inbefour	2
275	pintsizedrogue	1
275	Iagoku	1
275	ColeSnyder	1
275	ShedJr_	1
275	jushykins	1
275	UncreativeArtist	1
275	ROY4LE	1
275	JitteryJared2	1
275	MovingFish7	1
275	layabout100	1
275	hdtpm	1
275	__tomato	1
