rank	username	minecraft:dropped/minecraft:glass_bottle
142	XboxPanda	21
142	Onennon	21
144	NotTrixi	20
144	surfinggiraffejp	20
144	djancak	20
144	Zoeyfortnite	20
148	Marbz_	19
148	luseis	19
148	jcool7	19
151	Creativebuilder2	18
151	MirielThePastor	18
153	gren_ben	17
153	Incinere	17
153	heckface	17
153	Kkanot	17
153	Skylord_Luke	17
153	YungWali	17
159	set67	16
159	Mobstr	16
159	33sudo	16
159	pixelviolin	16
163	Huwulling	15
163	gcaisawesome	15
163	Kakolbus	15
163	Poppy235	15
163	2bolx_	15
163	PlasticOtari	15
163	the_cocos	15
170	Sleek_Storm_721	14
170	_Razaria	14
170	Chrisdeadeye	14
170	fw3xywashere	14
170	obzii	14
170	h2p_emrld	14
176	himak1	13
176	Parcc	13
176	Afinnity	13
176	dartwaffle	13
176	mihimihimihi	13
176	Kyrum2169	13
182	Wooptey	12
182	Xalithia	12
182	FishisTTV	12
185	ApophisNova	11
185	SvenskaAlvar	11
185	halfwayup	11
185	the_russell1611	11
185	MyNamaSheff	11
190	Flegneh	10
190	bloodbiter	10
190	Flapjacker687	10
190	Winklepicker279	10
190	burbankbuilder28	10
190	ThatOneDoood	10
190	majlin16	10
190	_Karmaa	10
190	Xclax101	10
190	MakeHistory157	10
190	Luigipunch989	10
201	BlancoFlaco	9
201	MrKrabOnCoke	9
201	CyrusIsTired	9
201	UncreativeArtist	9
201	LeGold	9
206	TildaAndrea	8
206	MemeBoi_XD	8
206	slkiey	8
206	seramalen	8
206	ReSynced	8
206	NATE_the_HALO	8
206	ItsJunoIGuess	8
206	MilleGrug	8
214	Cowison	7
214	asian_man_soggy	7
214	KarlKaek	7
214	Myszoaz	7
214	MinttyFressh	7
214	Mewar	7
214	Touched_Bread	7
214	mariominejedi	7
214	hanaryheatwave	7
214	Snowflowe	7
214	The11thDoctor	7
214	yulgur1	7
214	TheSeismicDuck	7
214	TheTommyGun63	7
214	Moschu777	7
229	ColeSnyder	6
229	Saltymart	6
229	ssleepless	6
229	MrAdamant209	6
229	Whiterooster001	6
229	Diavri	6
229	benediktine1	6
229	TheDankPlatypus	6
229	legal_tax_evader	6
229	fr_ser	6
229	Lil_Breadboy	6
229	okCrypto	6
229	_Boipl_	6
229	LilyNova	6
229	BronkerBrum	6
229	TheWildMateo	6
229	lizardfightclub	6
229	Maenara	6
229	GravitySaint	6
229	Groundler	6
229	bloomkieren	6
229	Iamthejo	6
229	RoboTramp7865	6
252	Hpdinosaur	5
252	Franco093	5
252	ivorico	5
252	SpaceGrenadier	5
252	Cryptacity	5
252	ThePoliteG	5
252	MattieHD	5
252	crying_wolf_13	5
252	MyNameIsJobo	5
252	Jonte0599	5
252	moolerbooler2	5
252	UCP_TheKingK	5
252	stellarjay	5
252	_Yonk_	5
252	KingMatthew506	5
252	Biites	5
268	Bandito_Roamer	4
268	bigstankyy	4
268	Killercatty78	4
268	Gundam_Steven	4
268	Flores991	4
268	CoffeeNoir	4
268	Prismyst	4
268	Euclidoris	4
268	Auseawesome	4
268	m_be9	4
268	bananamix994	4
268	orxngejuice	4
268	Ecplosive	4
268	Itz_DuongVN	4
268	ooga47	4
268	Ender_Souls	4
268	Rasmanden	4
268	Leyna3	4
268	ese_wn_po	4
268	fkGrim	4
268	Shogunite	4
268	El_Jalapeno	4
268	Nycteus_	4
268	Dusk_95	4
268	geekbird	4
268	WyngGoy	4
268	Ze_BaronKrigler	4
268	_TCARREIRA_	4
268	Vellu21	4
268	laron58	4
268	TheOuterCore	4
268	Jordan_R	4
268	calamariclam_I	4
