rank	username	minecraft:dropped/minecraft:oak_leaves
156	Cowison	24
156	Smoke____	24
159	Russiancat1	22
159	MineMaster0012	22
161	Comma__	20
161	SellyZ	20
161	Blamphe	20
161	Kubeusz2010	20
165	epiksk8erduck	19
165	Enderslayerxz3	19
165	Sral7	19
165	Zoeyfortnite	19
169	nataliecool	18
169	Cryptacity	18
169	Inbefour	18
172	Rox_The_Box	17
172	Jiminie	17
174	DC_XII	16
174	Leyna3	16
174	E775	16
174	trexgb	16
178	Rumpletaezer	15
179	Batoser	14
180	gabriels543	13
180	fluddd	13
180	Cocoamallows	13
183	Natty	12
183	slkiey	12
183	Nach0Bear	12
183	Winklepicker279	12
183	AlexStrange	12
183	Sheldor097	12
189	ogoa	11
190	Xalithia	10
190	hcb238	10
190	Kakolbus	10
190	TheShyPig	10
190	Deerfoot	10
190	monky_irl	10
190	jcool7	10
190	MellowCookie	10
198	Lukeee33	9
198	MSK__	9
198	oreee	9
198	ayqq	9
198	ItsDeltaMC	9
198	CalebDHawk	9
198	UrbanPlanner1978	9
205	EMC_	8
205	TheDankPlatypus	8
205	Syropatathe	8
205	_Bguette_	8
205	Sh4bby	8
205	SvenskaHugo	8
205	Kyrum2169	8
205	LeeMcGee30	8
213	PhantomsGhost_	7
213	Nyxiom_	7
213	Typadopoulos	7
213	AssFullaCum	7
213	Miko_Fullbuster	7
213	BreadBacon	7
219	LordlessAbyss	6
219	TooManyDuck	6
219	Swalt	6
219	intropass	6
219	impossibleteapot	6
219	lillips	6
219	Groundler	6
219	Mistruth	6
219	__tomato	6
228	hm947	5
228	2Stout	5
228	Vetral1	5
228	Maenara	5
228	HELLO_I_AM_BEAR	5
228	IAmTheWalrus910	5
228	obzii	5
228	2blox	5
236	livingdaydreams	4
236	nocturne78	4
236	Ravenbie	4
236	MrExplorer	4
236	GLLogan2	4
236	Chromary	4
236	lizardfightclub	4
236	wezzzi	4
236	masskedman	4
236	501g	4
236	MightyWertu	4
236	Optiprimus	4
236	ItsJunoIGuess	4
236	diggydog67	4
250	Groovy_MoonBird	3
250	hollowww	3
250	Wooptey	3
250	youhjjhhhjj	3
250	awesomeoneme	3
250	gaziter10	3
250	picardred	3
250	ProfessorBee	3
250	beeleg	3
250	Zaridey	3
250	avalan64	3
250	UltraZombie	3
250	Hylo482y	3
250	JasmineGK	3
250	Lowjinx	3
250	PlasticOtari	3
266	Louiis123	2
266	Flores991	2
266	RebelAndroid	2
266	T045RTY	2
266	carloselpapii	2
266	UncreativeArtist	2
266	Awyrlas	2
266	M_Patata	2
266	RefluxRatio	2
266	moonman169	2
266	Hoid_the_Roamer	2
266	HAIRYCLOUD626	2
266	fred870d	2
266	_naturell	2
266	Wowful	2
266	fkndweeb	2
266	Deathkob	2
266	The_Quack_Dealer	2
266	SkateboardR6	2
266	Hisiste	2
266	MasterNueve	2
266	geekbird	2
266	Strangemonkey71	2
266	07shiny	2
290	littlesophiagirl	1
290	Argraol	1
290	q_wq	1
290	6king6colt6	1
290	xXTheWolfmanXx	1
290	Houstonion	1
290	EkkoTraveler	1
290	ColeSnyder	1
290	Incinere	1
290	Ao_Ken	1
290	TheMaster972	1
