rank	username	minecraft:dropped/minecraft:blackstone
157	Jimb0nat0r	68
159	ApophisNova	67
159	MyNamaSheff	67
161	nattybears	66
161	Xalithia	66
161	SvenskaHugo	66
161	taengoos	66
165	MuffinManzz	65
165	diamondgolem35	65
165	4774	65
165	Solar_Power	65
169	Ryker	64
169	ActualPatbaf	64
169	Huwulling	64
169	skroobiez	64
169	Sleepy_Time_	64
169	Jonafrog99	64
169	Lo_zio_Diego	64
169	Hahaa_0	64
169	ReSynced	64
169	GravitySaint	64
169	FishisTTV	64
180	Flores991	63
180	Tiberonus	63
180	fade_emerge78823	63
180	TheTommyGun63	63
184	DarlaMeow	62
185	alanbleachdemon	60
186	CoffeeNoir	59
186	PortlyPete69	59
186	h2p_emrld	59
189	prizm_	57
189	parodypatient	57
191	Jakobo1337	56
192	ConnorDanky_	55
192	TheSandwhich_	55
194	Frozil20	54
194	RadarHz	54
196	YairZaki	53
196	yulgur1	53
198	Zoeyfortnite	50
199	bee_gorl	49
200	Megarboh	48
200	MankMaestro	48
200	diggydog67	48
203	SaphLaseer	47
203	SmashingPump	47
205	Paint	46
206	Hetti301	45
206	_Dean_123	45
206	gustarlep	45
206	Legendosh	45
210	Travasaur	44
210	TooPure2	44
210	StarCookiees_	44
213	Toriankel	43
213	LeEricc	43
213	Jordan_R	43
216	__TheNorseMan__	42
216	pappaberg	42
216	SingedBread	42
216	remmisrat	42
220	lorpus	40
220	Mattesco	40
220	Gloomspect	40
220	ItsDeltaMC	40
220	2blox_	40
225	Swexti	38
225	Crizma_	38
225	Arceus1975	38
228	shadowthemonkey	37
228	goldyx	37
230	Nicserso	35
231	_Z3RIX_	34
231	Luigipunch989	34
233	AstreaTSS	33
234	ebanana	32
234	Kura2218	32
236	NatalieTW	31
236	mattybeewrapss	31
236	Ezekson	31
239	DemTechAlpha	29
240	501g	28
241	tuckerdoodle	27
241	ccwildfire1	27
243	Historical_Sand	26
244	LexMakesHistory	25
245	Boboczus	24
245	Shogunite	24
247	Krasnal1337	23
247	mexicancharlie	23
247	WET_WET_WET	23
247	coobert42	23
251	Merv__	22
251	Gus2005	22
251	PlasticOtari	22
254	ganyuganyu	20
254	xzvu	20
256	jushykins	19
256	Eraxa	19
258	obzii	18
259	CliffEmAll	17
259	MinttyFressh	17
259	thescout7	17
259	ATurtle4936	17
263	Cellcorgi649	16
263	PaperCanvas	16
263	FishyBoy3811	16
263	Ze_BaronKrigler	16
267	DinoDoctor_	15
267	Hail_the_wombat	15
267	ogoa	15
267	fffMike	15
267	Biites	15
272	j5ylim	14
272	BPTY4618	14
272	SuperPooch06	14
275	RoBe__	13
275	__tomato	13
275	jcool7	13
278	teslawolf38	12
278	joethahobo	12
278	catandmoose	12
278	NameGenerat0r	12
278	VentiHilton	12
283	ratglock	11
283	crashomon	11
283	bluefragmentt	11
286	Crowman1	10
286	Chickenchaser2	10
286	ROY4LE	10
286	TheOuterCore	10
290	athereall	9
290	Skippeh	9
292	EMC_	8
292	KarlKaek	8
292	Pumpkin_P_Patch	8
292	WYFYoyo	8
296	Krowuss	7
297	BlancoFlaco	6
297	NinjaKnifeKill	6
297	Kkanot	6
297	burbankbuilder28	6
