rank	username	minecraft:dropped/minecraft:ender_pearl
277	gusstationwerker	476
278	hm947	474
279	r123moore	466
280	Barlycorn	459
281	ConnorDanky_	457
282	livingdaydreams	456
283	John6970	453
284	_TCARREIRA_	447
285	Harotio	444
286	ItsJWolff	442
287	Sleepy_Time_	441
288	CliffEmAll	438
289	hanaryheatwave	437
290	Kkanot	432
290	yulgur1	432
292	youhjjhhhjj	425
293	Historical_Sand	421
294	Syropatathe	416
295	BiggieDawg	415
296	Luigipunch989	413
297	G1ldor	411
298	Leyna3	409
299	HAIRYCLOUD626	408
300	freeandrew	400
