rank	username	minecraft:dropped/minecraft:tuff
182	NameGenerat0r	18
182	Meeerkat	18
185	HolyVenom	17
185	FishisTTV	17
187	TerraVl	16
187	ItsMrRamen	16
187	Sorry_Arey	16
187	00000000-0000-0000-0009-01ff0c3e5e4f	16
191	kidel03	15
191	XboxPanda	15
191	HoltGrim	15
191	Heisenbberrg	15
191	WYFYoyo	15
196	_Mythic____	14
197	Flores991	13
197	Enigma0251	13
197	TheDankPlatypus	13
197	Dan_Scha	13
197	TJawesome09	13
202	ZaneABrain	12
202	ROY4LE	12
202	Di_infiri	12
202	tsitrawhy	12
202	2blox_	12
207	corvidpartyfor6	11
207	MrQuanQuan	11
207	autisticcupcake	11
210	pixelviolin	10
210	Jimb0nat0r	10
212	SaphLaseer	9
212	YairZaki	9
212	ITDV	9
212	joethahobo	9
212	Chickenchaser2	9
212	yulgur1	9
218	Solar_Power	8
218	CalebDHawk	8
220	TAKrules	7
220	JuuustYeet	7
220	CaracolCxnt	7
223	DolphinLaugh	6
223	PlasticOtari	6
225	teslawolf38	5
225	eitanzaki	5
225	EtherealSilveon	5
225	LazySupport00	5
225	MineMaster0012	5
225	infiniteQuery	5
231	CLG_Kata	4
231	Frozil20	4
231	Prismyst	4
231	Myszoaz	4
231	Valoth	4
231	SteveCraftBlocks	4
231	smarticuno	4
231	0Vyp_	4
231	dartwaffle	4
231	Jimi7hits	4
231	AstreaTSS	4
231	PortlyPete69	4
231	Steelynan	4
244	nopekk	3
244	Marbz_	3
244	_Boipl_	3
244	HyperCave	3
244	EtherealEspresso	3
244	Legendosh	3
250	CloroxBleach385	2
250	nattybears	2
250	lorpus	2
250	Cellcorgi649	2
250	imcombxt	2
250	Ze_BaronKrigler	2
250	MNMann44	2
250	youarefrench_	2
250	NoobyandApple	2
259	Sandiotchi	1
259	MoonWatcher19	1
259	_Razaria	1
259	CoffeeNoir	1
259	MattieHD	1
259	_HoneySlime_	1
259	Snowflowe	1
259	Ghemmah	1
259	Jonte0599	1
259	Klerick	1
259	Veillax135	1
259	MinuteMira	1
259	OffWithTheirHead	1
259	Toriankel	1
259	ZoomieZoomie	1
