rank	username	minecraft:dropped/minecraft:sugar_cane
132	SvenskaHugo	132
133	jedi_george	130
134	jushykins	129
135	Jiminbub	128
136	Veillax135	119
137	ProfessorBee	115
137	masskedman	115
139	ThePoliteG	110
140	hm947	100
140	zToasty69z	100
140	Enderxz3	100
143	Jokerman369	99
143	Wanjibon	99
145	ItsMrRamen	97
146	4774	96
147	__tomato	95
148	JayToe	94
149	trixterrx	92
149	XeroByMyth	92
151	Jimi7hits	91
151	ediballbearings	91
153	KatieBelle04	89
154	stavgod	88
155	xxPipperDipperxx	84
156	Groovy_MoonBird	83
156	Bumpy419	83
158	CLG_Kata	82
158	Zoeyfortnite	82
160	corvidpartyfor6	81
161	_Dean_123	78
162	thebest_daniela	76
163	PhantomsGhost_	75
163	SaucyDark	75
165	funeralhome	74
165	pintsizedrogue	74
167	jewbacaman	73
168	Groundler	72
168	Racengan	72
168	Luigipunch989	72
168	Skippeh	72
172	Truckoss	71
172	TheShyPig	71
172	Sheldor097	71
172	alderban107	71
176	Kynigito	70
177	set67	69
178	MousePlays	68
179	Mercadies	67
179	Masssonnn	67
179	fade_emerge78823	67
179	Inbefour	67
179	2blox_	67
184	ECstardust	65
184	Comma__	65
184	himak1	65
184	Optiprimus	65
188	SaltineDream	64
188	ExtraDumb	64
188	pr33tu	64
188	redikul	64
188	Parcc	64
188	shockdocta	64
188	Sqwishy	64
188	Nicky19	64
188	Fakiuss	64
188	the_russell1611	64
188	RedcatVII	64
188	SUN_DREAM	64
188	IdeallyGrey	64
188	AssFullaCum	64
188	laron58	64
188	OfficerAnvil	64
204	Hiryu27	61
204	FishisTTV	61
206	NieToksikpl	60
207	wobn	58
208	ebanana	56
209	Mattesco	55
209	MightyWertu	55
209	TheRealHi	55
212	Boboczus	54
212	Quaintster	54
212	ConnorDanky_	54
215	Butternutsquatch	53
215	killmeiamtraitor	53
215	Dogcorn69420	53
218	Incinere	52
219	tsitrawhy	51
220	Marbz_	50
220	Jordan_R	50
220	00000000-0000-0000-0009-01faf4342590	50
223	XboxPanda	49
224	ShedJr_	48
225	Leyna3	47
225	Karbl	47
225	cog	47
225	SammiWolfGirl	47
229	Seyaboy	41
229	Historical_Sand	41
231	SaintJosie	39
232	iElijah	38
233	intropass	37
234	ratglock	36
234	Capss	36
236	Huwulling	35
236	SteveCraftBlocks	35
236	Dirtamaster	35
236	skrongus	35
240	NoChumpChange	34
241	BlueZabu	33
241	Maenara	33
243	tuckerdoodle	32
243	swagcrayon	32
243	Fuhrer_Teemo	32
243	Lord_Doob	32
243	Legendosh	32
248	Patwannabegamer	31
249	Kuragari_	30
249	Sleepy_Time_	30
249	Secret_Canary	30
249	0Vyp_	30
249	UrbanPlanningEx	30
254	Awyrlas	29
255	gren_ben	28
255	Prismyst	28
255	nocturne78	28
255	CaptainAvenger7	28
255	C0oOK13M0N5T3R	28
260	rarrq	27
261	H0UNDFRMH3LL	26
261	stevewithclout	26
261	popcanter	26
264	RebelAndroid	25
264	tsohomie	25
266	Elprone266	24
266	Dumkii	24
266	Xalithia	24
266	NotKaden_	24
266	HeraclesOGU	24
266	jaimshae	24
272	PlasticOtari	23
273	_lildarki3	22
273	Juh1s	22
275	_Razaria	21
275	33sudo	21
277	MoistMicrowave	20
277	FirsTimeGamingTV	20
277	Rumpletaezer	20
277	JESS_THE_RERE	20
277	Njensen7	20
282	Da_Boss_Rani	19
282	eviltunix	19
282	hanaryheatwave	19
285	__TheNorseMan__	18
285	platinumzero	18
285	TableTim	18
285	Katsuragi0243218	18
285	ori0le	18
285	Soap_Bender	18
285	monky_irl	18
285	ItsDeltaMC	18
293	T045RTY	17
293	12Magner05	17
293	leaf26	17
293	yulgur1	17
293	DanTheBuilderino	17
293	Typadopoulos	17
293	pablopickle	17
293	00000000-0000-0000-0009-01ff0c3e5e4f	17
