rank	username	minecraft:dropped/minecraft:coal_ore
168	Merv__	17
168	diamondgolem35	17
168	MOSS000	17
168	Smashic	17
168	WET_WET_WET	17
168	Bumpy419	17
174	awesomeoneme	15
174	mwrty	15
174	SvenskaHugo	15
177	Dedalus36	14
177	benediktine1	14
177	MangoTheFish	14
177	SkateboardR6	14
177	Eczbek	14
177	aao001	14
183	ProbablyNick	13
183	NotKaden_	13
183	Nicky19	13
183	Aezekial	13
183	verynothing	13
183	laron58	13
183	vandmanden	13
183	h2p_emrld	13
191	elicobnoah	12
191	Houstonion	12
191	Dan_Scha	12
191	lizardfightclub	12
191	gabbyeden	12
191	Erased_Identity	12
197	selectrix	11
197	Katthaj	11
197	OverallConcept	11
197	__tomato	11
197	2blox	11
202	SteveCraftBlocks	10
202	ElKaySVK	10
202	brofrickcheaters	10
202	Spenduh	10
206	Jovaphobic	9
206	TooManyDuck	9
206	H72l9w	9
206	gaziter10	9
206	XboxPanda	9
206	Shiirazuku	9
206	HolyVenom	9
206	SpookyDraggin	9
206	The_slideV3	9
206	07shiny	9
206	kinas45y5	9
217	PhantomsGhost_	8
217	Humpcat	8
217	Historical_Sand	8
217	Euclidoris	8
217	jushykins	8
217	monky_irl	8
223	ItsColin11	7
223	RobotMinion101	7
223	BumbleBeever	7
226	AuroraValkyrie	6
226	Natty	6
226	m_be9	6
226	MinttyFressh	6
226	burbankbuilder28	6
226	PuFY	6
226	fw3xywashere	6
226	Wowful	6
226	masskedman	6
226	Jiminbub	6
226	Zetsey	6
226	obzii	6
226	Powowowow	6
239	MrExplorer	5
239	KGTV	5
239	M_Patata	5
239	DaviusMaximoose	5
239	ApophisNova	5
239	The11thDoctor	5
239	sp00ky_ghost977	5
239	layabout100	5
239	Shin69	5
239	MyNamaSheff	5
239	x86assembly	5
239	PlasticOtari	5
251	6king6colt6	4
251	KarlKaek	4
251	SaucyDark	4
251	CarltheCuck	4
251	SlayerCrypto	4
251	SokaOtaku	4
251	anbbang	4
258	_NieToksikpl_	3
258	beeleg	3
258	Zaridey	3
258	CruncyIsTaken	3
258	Yahir091	3
258	33sudo	3
258	TheEnderman548	3
258	Sral7	3
258	diggydog67	3
267	Flores991	2
267	Da_Boss_Rani	2
267	Ssor69	2
267	heckface	2
267	Comma__	2
267	ProfessorBee	2
267	_Nuf	2
267	CyrusIsTired	2
267	Z3braYTIL	2
267	Nach0Bear	2
267	MonitorLizards	2
267	Deathkob	2
267	LexMakesHistory	2
267	DemTechAlpha	2
267	Nycteus_	2
267	Bloo2406	2
267	the__Reaper4999	2
267	wwwwinnebagoooo	2
267	MasterNueve	2
267	ZoharGoldMine	2
267	Razzgriz	2
267	SexcMf	2
267	IvarEXE	2
267	SammiWolfGirl	2
267	Dogcorn69420	2
267	Sheldor097	2
267	Rainaldus	2
267	Teebone15	2
295	Menthas	1
295	Ailmast	1
295	BlancoFlaco	1
295	ivorico	1
295	FirsTimeGamingTV	1
295	MattieHD	1
