rank	username	minecraft:dropped/minecraft:cobblestone_stairs
169	bigstankyy	9
169	Parcc	9
169	Werbe	9
169	Sqwishy	9
169	IamCL4SSY	9
169	WyngGoy	9
169	pixelings_	9
169	PortlyPete69	9
178	TheMilkerOfCats	8
178	Rich_Kat	8
178	Fullut	8
178	yheece	8
178	ApophisNova	8
178	Vetral1	8
178	MakeHistory157	8
178	YungMaki	8
178	MyNamaSheff	8
187	ROY4LE	7
187	0jona0	7
187	Lord_Zacler	7
187	ElectricDragon81	7
191	pintsizedrogue	6
191	Groovy_MoonBird	6
191	DiscardedCE	6
191	6king6colt6	6
191	BlancoFlaco	6
191	ouija_	6
191	seramalen	6
191	CarryLine	6
191	Quaintster	6
191	layabout100	6
191	LordSpeed37	6
191	StarCookiees_	6
191	sadvavilloso	6
191	SvenskaHugo	6
191	Moetis	6
191	BreadBacon	6
207	_Virify_	5
207	UncreativeArtist	5
207	Awyrlas	5
207	Xalithia	5
207	SuperPooch06	5
207	JETrotter	5
207	Afinnity	5
207	HolyVenom	5
207	luseis	5
207	_i_ERROR_i_	5
207	SirBreadward	5
207	xolstoi	5
219	_Huge_Male_	4
219	123louis456	4
219	Mowelan	4
219	Minimize501	4
219	__Max_mAx_maX__	4
219	fr0stss	4
219	ItsHydroMC	4
219	m_be9	4
219	Secret_Canary	4
219	Pelbo	4
219	Nach0Bear	4
219	Stiar	4
219	SpicyMeatballs	4
219	benediktine1	4
219	Useless_Relic	4
219	Mr_Sun15	4
219	jewbacaman	4
219	Luminad3	4
219	Deerfoot	4
219	weabis	4
219	the__Reaper4999	4
219	NebulousBadger	4
219	Razzgriz	4
219	carbo_bro	4
219	Nekomin0	4
219	Nargotah	4
219	calamariclam_I	4
246	ItsColin11	3
246	AshleeCW	3
246	oreee	3
246	Comma__	3
246	boog4loo	3
246	set67	3
246	CollinMH06	3
246	Zythose	3
246	Lord_Jord	3
246	AlphaWolfPlaysMC	3
246	Fuad_R	3
246	tlustyCZARNY	3
246	Fizznut909	3
246	non089	3
246	cichy096	3
246	Paguz01	3
246	MandenR1	3
246	WYFYoyo	3
264	NatalieTW	2
264	Paleshield	2
264	Wooptey	2
264	Da_Boss_Rani	2
264	dopplexd	2
264	Nicky_H225	2
264	Cortexia	2
264	Aatronix	2
264	AngalexikCZ	2
264	Mariopreeet	2
264	Mewar	2
264	Matek_	2
264	DirtyBoar	2
264	DermeinUser	2
264	Mouse74	2
264	Windo_licker	2
264	Arceus1975	2
264	Krowuss	2
264	WarMachina	2
264	grislgrobl	2
264	PigDab	2
264	Akoot_	2
264	Deathkob	2
264	censorsheep	2
264	Ritter__	2
264	33sudo	2
264	robotemo	2
264	pixelviolin	2
264	AssFullaCum	2
264	CalebDHawk	2
264	Quotary	2
264	vandmanden	2
264	PlasticOtari	2
264	h2p_emrld	2
298	rats_life	1
298	Jovaphobic	1
298	j5ylim	1
