rank	username	minecraft:dropped/minecraft:sandstone
117	BlighterSupreme	202
118	BlancoFlaco	195
118	mwrty	195
120	Inbefour	194
121	whoaluv	172
122	Kyrum2169	169
123	Tyrannosplart	168
124	k_ce	166
125	erkada	161
125	h2p_emrld	161
127	MirielThePastor	157
128	Eraxa	155
129	oscminus	150
130	claivin	149
131	ImpavidArcher	148
132	mafiKiwi	140
133	Queen_Jalapeno	136
133	33sudo	136
135	Maenara	135
135	Hahaa_0	135
137	Xclax101	134
138	MrKrabOnCoke	132
139	silverpopcorn	130
140	LittleIan365	128
140	sufjanlover	128
140	SpacesickPrism	128
143	ProfessorDiaper	119
144	Nicserso	115
145	XboxPanda	113
146	Powowowow	108
147	Huwulling	105
147	SvenskaHugo	105
149	MyNameIsJobo	102
150	Zythose	98
151	Killercatty78	97
152	groofles	95
153	pintsizedrogue	93
153	SSytex_X	93
155	SaphLaseer	90
156	Incinere	88
157	ExtraDumb	87
157	JureJurko	87
159	hakai_gr	86
160	ooga47	85
160	Cocoamallows	85
160	Enderxz3	85
163	Sabby65	84
163	2Stout	84
163	Hiryu27	84
163	F_Uhre	84
163	Juh1s	84
168	shrimp_flips	83
169	SyntheticSurgeon	82
170	KarlKaek	81
170	bean__salad	81
172	Vizzoid	80
172	intropass	80
172	IamCL4SSY	80
172	weabis	80
172	MadmanRaven	80
177	King_Pancake1	79
177	Krowuss	79
177	UltraZombie	79
180	AlejandroPH1	78
180	StarCookiees_	78
182	Mewar	77
182	stellarjay	77
184	Dreamdbr14	74
185	MustaLoordi	73
186	emrekn	71
187	Kouridragon	68
187	Huic_ostiarius	68
187	Iamthejo	68
190	r123moore	67
190	PortlyPete69	67
192	I_Am_Mushkin	66
193	Kamflame10	65
193	obzii	65
195	CueMix	64
195	_AceOfSpace_	64
195	IforgotCS_Source	64
195	Inchef	64
195	Kakolbus	64
195	sadvavilloso	64
201	titanlax	63
201	Zaridey	63
203	Saucepeh	62
204	sammidk	60
205	Alteriity	59
205	Dnulgreb	59
205	ProfessorBee	59
208	MinuteMira	55
209	EMC_	54
209	CarryLine	54
211	wezzzi	52
211	fluddd	52
213	zmpeg	51
214	The11thDoctor	47
215	BlankityMcBlank	46
215	CalebDHawk	46
215	diggydog67	46
218	eposlul	45
218	Mattesco	45
220	_Virify_	44
220	Iagoku	44
220	audiocracked	44
220	Njensen7	44
224	Comma__	43
225	Felenov	42
225	StormPool	42
227	Kubelz	41
227	MousePlays	41
229	soundad	40
229	lunathelemon	40
229	Diavri	40
229	Ze_BaronKrigler	40
233	ImDisconnected_	39
233	kars0n	39
235	teslawolf38	38
235	RobotMinion101	38
235	DarlaMeow	38
235	DennyKai	38
239	CoffeeNoir	37
239	Parcc	37
239	lizardfightclub	37
242	SaucyDark	36
242	AlexxO_o	36
242	OrewaSora	36
245	NNikitas	35
245	thgrocks	35
245	MakeHistory157	35
245	skrongus	35
249	heckface	34
249	impossibleteapot	34
251	legal_tax_evader	33
251	Barlycorn	33
251	IAmTheWalrus910	33
254	Creativebuilder2	32
254	Jonafrog99	32
254	IdeallyGrey	32
257	Bandito_Roamer	31
258	toos1esl1de	30
259	12Magner05	29
259	JETrotter	29
259	Zoeyfortnite	29
262	GoofyBread	27
263	Chroikey	26
263	m_be9	26
263	MattieHD	26
263	TheEnderMan548	26
263	Decaying_Lotus	26
263	djancak	26
269	TooManyDuck	25
270	Foof13	24
270	dj1121	24
270	Rebytre	24
270	E775	24
270	ediballbearings	24
270	Luigipunch989	24
276	ThePoliteG	23
276	fade_emerge78823	23
276	Eczbek	23
279	livingdaydreams	22
279	gaziter10	22
279	pappaberg	22
279	Kim_Jong_eel	22
279	2blox_	22
279	JohnPrice	22
285	elicobnoah	21
285	Lotheburgh	21
285	Tommhh	21
285	Nekomin0	21
285	KingMatthew506	21
290	MOSS000	20
290	_Nuf	20
290	Awyrlas	20
290	Lord_Jord	20
290	fw3xy74	20
290	vandmanden	20
290	NoobyandApple	20
297	H0UNDFRMH3LL	19
297	ITDV	19
297	QuacksonThe3rd	19
297	cog	19
