rank	username	minecraft:dropped/minecraft:gunpowder
128	Arceus1975	185
129	XboxPanda	184
130	Steelynan	183
131	StinkyDiplomat	177
132	KarlKaek	172
133	r123moore	171
134	TheDankPlatypus	154
134	SvenskaHugo	154
136	RebytreGT	152
137	Snowflowe	147
138	Wowful	145
139	H0UNDFRMH3LL	139
140	ProfessorBee	137
141	Winklepicker279	136
141	cichy096	136
143	non089	134
144	DC_XII	133
144	Quaintster	133
146	skitzxo	130
147	ActualPatbaf	128
147	YairZaki	128
149	Kakolbus	125
149	Jimb0nat0r	125
151	Krowuss	121
151	Pumpkin_P_Patch	121
153	PhantomsGhost_	120
154	Mattesco	119
155	Maenara	117
156	500am	113
157	hm947	110
158	mihimihimihi	109
158	Cocoamallows	109
160	ooga47	108
161	PazinGaming	107
162	Historical_Sand	104
163	Crowman1	103
164	crashomon	100
165	ApophisNova	98
165	MyNamaSheff	98
165	trexgb	98
168	Flores991	97
168	JESS_THE_RERE	97
170	SmashingPump	95
171	Killercatty78	90
172	q_wq	89
172	tuckerdoodle	89
172	StarCookiees_	89
175	ExtraDumb	88
176	The11thDoctor	87
177	groofles	86
178	stevewithclout	85
178	yheece	85
180	Apollo_993	83
180	Bumpy419	83
180	WyngGoy	83
183	Skylord_Luke	82
184	PlasticOtari	81
185	pretty_pink_reno	80
186	Inbefour	79
187	Kubeusz2010	78
188	I_Am_Mushkin	77
188	luseis	77
188	PortlyPete69	77
191	Touched_Bread	76
192	Rumpletaezer	75
193	Synthoum	74
194	CLG_Kata	72
194	obzii	72
194	the_cocos	72
197	QuesoCrusaderIII	71
198	Dakar_	70
198	DanTheBuilderino	70
198	CalebDHawk	70
201	Jahara	69
201	Saucepeh	69
201	fluddd	69
201	CattSoup	69
205	hermmm_	68
206	MrKrabOnCoke	67
206	domagawha	67
208	Thaumatarge	66
209	CoffeeNoir	65
209	fade_emerge78823	65
209	TheImperial	65
209	MovingFish7	65
213	Tolhart	64
213	Papudron	64
213	SellyZ	64
213	FishyBoy3811	64
213	Joestra	64
218	ImpavidArcher	63
218	SSytex_X	63
220	Comma__	62
220	platinumzero	62
220	Zoeyfortnite	62
223	SoosAmongus	61
224	Eraxa	60
225	Mr_Worthless	59
226	BobDeBouwer1337	57
227	Onennon	56
228	weabis	55
229	Mewar	54
230	gabukun_	52
231	i2f8x4h8ro	51
231	UncreativeArtist	51
231	Kura2218	51
231	Iamthejo	51
235	M_Patata	50
235	Kyrum2169	50
237	12Magner05	49
237	lorpus	49
237	h2p_emrld	49
240	claivin	48
241	Cowison	47
241	Jonafrog99	47
241	burbankbuilder28	47
241	MasterNueve	47
241	TheSandwhich_	47
246	Nicky_H225	46
246	mariominejedi	46
246	censorsheep	46
246	Buuck_	46
246	__tomato	46
246	Luigipunch989	46
252	RobotMinion101	44
252	fw3xy74	44
252	xDraggin	44
252	_Karmaa	44
256	silverpopcorn	43
257	livingdaydreams	42
258	Archsam	41
258	HAIRYCLOUD626	41
258	THEKINGLyric10	41
258	DennyKai	41
262	Kkanot	40
262	WET_WET_WET	40
264	drunkeeez	39
265	m_be9	38
265	Covalents	38
265	Yahir091	38
265	stavgod	38
265	Sheldor097	38
270	oreee	37
271	eviltunix	36
271	annebolyn	36
273	Vizzoid	35
274	fr0stss	34
274	guiltybastard	34
274	LeEricc	34
274	SammiWolfGirl	34
274	Dogcorn69420	34
279	excelsionprime	32
279	BronkerBrum	32
279	Groundler	32
282	ColeSnyder	31
282	chlorinex	31
282	legal_tax_evader	31
282	geekbird	31
282	KingMatthew506	31
287	6king6colt6	30
287	mimbo1211	30
287	shrimp_flips	30
287	Warlord324	30
287	ediballbearings	30
292	soundad	29
292	The_Quack_Dealer	29
294	Swexti	28
294	Ssor69	28
294	_Dean_123	28
294	Tiktola01	28
294	miramyu	28
299	Prodiginus	27
299	Inchef	27
