rank	username	minecraft:dropped/minecraft:poppy
132	TheSeismicDuck	63
133	rarrq	59
134	caesarleon	58
135	theonlymagikarp	57
135	crashomon	57
137	annebolyn	56
138	_Dean_123	55
139	epiksk8erduck	53
139	Akoot_	53
141	TheSecondLord	51
142	I_Am_Mushkin	50
143	MoistMicrowave	48
143	Notta	48
143	Celeste_121	48
146	pintsizedrogue	47
146	k_ce	47
148	Historical_Sand	46
149	pretty_pink_reno	45
150	Mattesco	43
151	RosaDoesMC	41
151	Wowful	41
151	Xclax101	41
154	oscminus	40
154	mountaingirl311	40
156	Dali1465	39
156	TheDankPlatypus	39
158	Winklepicker279	38
158	SammiWolfGirl	38
158	Jimb0nat0r	38
161	ECstardust	34
161	DrProfAwesome	34
161	EcksD	34
164	Tyrannosplart	33
165	Merv__	32
165	SpaggeDR	32
165	AlphaWolfPlaysMC	32
165	Soplight	32
169	_Virify_	31
169	Benzito07	31
169	CalebDHawk	31
169	Zoeyfortnite	31
173	77Holly7	30
173	hermmm_	30
175	Enderxz3	29
176	ccwildfire1	27
176	4774	27
176	JitteryJared2	27
179	ProfessorBee	26
179	_Karmaa	26
181	_Huge_Male_	25
181	FelixPSY375	25
183	NatalieTW	24
183	Mr_Froxy	24
183	Soap_Bender	24
183	stavgod	24
187	Saucepeh	23
187	TheDiamondCG	23
187	fkGrim	23
187	tsitrawhy	23
191	Ilinca_Io	22
191	BlancoFlaco	22
191	TooManyDuck	22
191	Fullut	22
191	gamerlord1324	22
191	WyngGoy	22
191	OG_Songsee	22
191	Segotep999	22
191	Bawbman	22
191	CattSoup	22
201	CompAir	21
201	m_be9	21
201	fw3xy74	21
204	PhantomsGhost_	20
204	T045RTY	20
204	Archsam	20
204	Motsaro	20
204	XboxPanda	20
204	groofles	20
204	NameGenerat0r	20
204	claivin	20
212	jpoxman	19
212	royal_2	19
212	fade_emerge78823	19
212	DTwenty	19
212	JESS_THE_RERE	19
212	Buuck_	19
212	bobbydoodledot	19
212	TheKingK_	19
220	KingFaenor	18
220	Swexti	18
220	AspenLightVT	18
220	MinuteMira	18
220	_Mythic____	18
220	miramyu	18
226	seanitoo	17
226	6king6colt6	17
226	KarlKaek	17
226	Incinere	17
226	LordSpeed37	17
226	LeEricc	17
232	q_wq	16
232	Comma__	16
232	2Stout	16
232	fallingemma	16
232	RobotMinion101	16
232	FishyBoy3811	16
232	Eraxa	16
239	LeauVox4921	15
239	Hiryu27	15
239	jewbacaman	15
239	LuisCarreroBla	15
243	Inchef	14
243	tobinwilliams	14
243	IamCL4SSY	14
243	Lutres_	14
247	Bandito_Roamer	13
247	Alfred603	13
247	Frxnkz	13
247	Smashic	13
247	emrekn	13
247	Xalithia	13
247	ROY4LE	13
247	Rumpletaezer	13
247	WET_WET_WET	13
247	ogoa	13
247	Yoaty	13
247	Kyrum2169	13
247	_i_ERROR_i_	13
247	Njensen7	13
247	2blox_	13
262	Lorcout	12
262	Stynxy	12
262	UncreativeArtist	12
262	platinumzero	12
262	mariominejedi	12
262	yheece	12
262	Shiirazu	12
262	wezzzi	12
262	Gus2005	12
262	starbits140	12
262	Luigipunch989	12
262	PlsUpdateGeyser	12
274	Jovaphobic	11
274	TachibanaAkira	11
274	SaucyDark	11
274	himak1	11
274	Covalents	11
274	shadowthemonkey	11
274	blackeemperor	11
274	_k2x	11
274	THEKINGLyric10	11
274	Pumpkin_P_Patch	11
274	SSytex_X	11
274	DairyNickel756	11
286	CLG_Kata	10
286	ExtraDumb	10
286	Huwulling	10
286	Jackster03	10
286	ShedJr_	10
286	Malorn_Aetherius	10
286	Secret_Canary	10
286	lorpus	10
286	r123moore	10
286	hanaryheatwave	10
286	masskedman	10
286	GoofyBread	10
286	Groundler	10
286	SUN_DREAM	10
286	IAmTheWalrus910	10
