rank	username	minecraft:dropped/minecraft:golden_apple
142	PhantomsGhost_	2
142	Merv__	2
142	6king6colt6	2
142	Saltymart	2
142	RebelAndroid	2
142	lorywithay	2
142	NinjaKnifeKill	2
142	Historical_Sand	2
142	Crowman1	2
142	xPixelRainx	2
142	cyrusisntgay	2
142	Masssonnn	2
142	orxngejuice	2
142	Inchef	2
142	TheDankPlatypus	2
142	ImDisconnected_	2
142	Boipl	2
142	WarMachina	2
142	The11thDoctor	2
142	738b4f65-6cbd-4ead-ba31-c14211abfb06	2
142	Mr_Froxy	2
142	HolyVenom	2
142	AuroraSkies	2
142	HellsSponge	2
142	StinkyDiplomat	2
142	TheImperial	2
142	MS_Pryxx	2
142	bndo	2
142	airbkane	2
142	Eraxa	2
142	_Mythic____	2
142	TheKingK_	2
142	Soplight	2
142	miramyu	2
142	CoryJJ	2
142	hermmm_	2
142	Skippeh	2
142	Nicserso	2
142	Powowowow	2
142	WYFYoyo	2
142	00000000-0000-0000-0009-01fc3bb26159	2
184	H0UNDFRMH3LL	1
184	angpony4267	1
184	k_ce	1
184	MuffinManzz	1
184	seanitoo	1
184	Bandito_Roamer	1
184	_Huge_Male_	1
184	fanofbands101	1
184	zqw10k	1
184	ECstardust	1
184	milkedit	1
184	SlowMoNinja1994	1
184	myaccountwasgone	1
184	Gemstuff	1
184	diamondgolem35	1
184	Ryan_GEMS	1
184	ImpavidArcher	1
184	openatheclose	1
184	Jahara	1
184	Natty	1
184	Myszoaz	1
184	Gregward_Smith	1
184	elmer1234	1
184	uhm__okay	1
184	akap47	1
184	HUNTERmaun	1
184	Ozixar	1
184	Sleepy_Evelyn	1
184	bloodbiter	1
184	MinttyFressh	1
184	Secret_Canary	1
184	_Dean_123	1
184	set67	1
184	Scathra	1
184	Motsaro	1
184	intropass	1
184	2Stout	1
184	TylerDupree	1
184	ARandomHedge	1
184	John6970	1
184	Avrelion	1
184	shadowthemonkey	1
184	Snowflowe	1
184	burbankbuilder28	1
184	_8man	1
184	Lo_zio_Diego	1
184	CrateOfBoxes	1
184	tobinwilliams	1
184	MustardDrinker	1
184	Hiryu27	1
184	out1s	1
184	ooga47	1
184	Cruncy_	1
184	Onennon	1
184	epiksk8erduck	1
184	PaperCanvas	1
184	ougstur	1
184	zToasty69z	1
184	Maenara	1
184	IamCL4SSY	1
184	Russiancat1	1
184	fkGrim	1
184	Deodorante	1
184	AspenLightVT	1
184	GoofyBread	1
184	Soap_Bender	1
184	Quaintster	1
184	MAns_44	1
184	Travka100	1
184	kalzor	1
184	Xclax101	1
184	fluddd	1
184	3_Solar_3	1
184	ProfessorDiaper	1
184	Warlord324	1
184	sleep444	1
184	SkateboardR6	1
184	TheTommyGun63	1
184	_Ruzeeq_	1
184	geekbird	1
184	StarCookiees_	1
184	AssFullaCum	1
184	Pumpkin_P_Patch	1
184	Juh1s	1
184	Luigipunch989	1
184	PortlyPete69	1
184	Dogcorn69420	1
184	xX_Stalin69_Xx	1
184	Njensen7	1
184	Steelynan	1
184	laron58	1
184	TheBananaKat	1
184	Ezekson	1
184	CattSoup	1
184	BreadBacon	1
184	smogfrog	1
184	FelixPSY375	1
184	Smaldo	1
184	vandmanden	1
184	Jimb0nat0r	1
184	PlasticOtari	1
184	Zoeyfortnite	1
184	Jordan_R	1
184	FishisTTV	1
184	h2p_emrld	1
184	00000000-0000-0000-0009-01faf4342590	1
