rank	username	minecraft:dropped/minecraft:white_wool
94	BlancoFlaco	82
95	rarrq	81
95	Arceus1975	81
97	Reamdin	80
98	Akoot_	78
99	_Karmaa	76
100	I_Am_Mushkin	75
101	BlossomOwO	74
102	Rebytre	72
103	_Cloverbelle_	71
104	PlasticOtari	68
105	Jackattack53	67
105	UltraZombie	67
107	ApophisNova	66
107	MyNamaSheff	66
109	Drlzyy	65
109	ItzYaBoiPicard	65
109	pappaberg	65
112	KingFaenor	64
112	Hanselhoof	64
112	Shogunite	64
112	Ashton1242	64
116	CruncyIsTaken	63
116	Eraxa	63
116	sadvavilloso	63
119	stavgod	62
120	RobotMinion101	61
120	EcksDofficial	61
122	CACTUSLAD	60
123	DarlaMeow	58
124	_Nuf	57
125	Natty	55
126	Xclax101	54
127	KingMatthew506	52
128	Groovy_MoonBird	51
128	yulgur1	51
130	Menthas	50
131	Nagasaki_Riku	48
132	djancak	47
133	DinoDoctor_	46
134	Soplight	41
135	oreee	39
135	Maenara	39
137	PhantomsGhost_	38
138	ShedJr_	37
139	T045RTY	36
139	Swexti	36
139	PeteO1995	36
142	mimbo1211	35
143	PlzNoBM	34
144	TheSecondLord	32
144	NomadicRobin_	32
146	SSytex_X	31
147	K_a__a_n	30
148	fade_emerge78823	29
149	emrekn	28
149	Kyrum2169	28
151	GuitarXpress	27
152	Jalvajar	26
152	TheDankPlatypus	26
152	Jij0	26
155	Vizzoid	24
155	arcanemagic	24
155	claivin	24
158	thgrocks	23
158	ElKaySVK	23
160	DSYisDizzy	22
160	Hisiste	22
162	MrKrabOnCoke	21
162	_Dean_123	21
162	__Auspicious	21
162	tartanboy	21
162	Nicserso	21
167	diamondgolem35	20
167	NinjaKnifeKill	20
167	Prismyst	20
170	EveryonesUncle	19
170	Luigipunch989	19
170	trexgb	19
173	SoftSix	18
173	Winklepicker279	18
173	MovingFish7	18
173	Sheldor097	18
173	00000000-0000-0000-0009-01ff0c3e5e4f	18
178	Kuragari_	17
178	Comma__	17
178	Awyrlas	17
178	Rumpletaezer	17
178	lOlmantschi	17
178	Sky_light_KING	17
178	Skippeh	17
185	__TheNorseMan__	16
185	burbankbuilder28	16
185	Segotep999	16
188	hm947	15
188	BRRRN179	15
190	Seyaboy	14
190	Swalt	14
190	Dali1465	14
190	AJplaysMC_	14
190	Bloo2406	14
190	Th6masss	14
190	al626win52	14
190	OfficerAnvil	14
190	Zoeyfortnite	14
199	ayqq	13
199	fw3xywashere	13
199	censorsheep	13
199	bndo	13
199	camando92	13
204	MOSS000	12
204	boog4loo	12
204	trixterrx	12
204	_Bguette_	12
204	lcvezra	12
204	h2p_emrld	12
210	123louis456	11
210	MinttyFressh	11
210	ProfessorBee	11
210	Z3braYTIL	11
210	mwrty	11
210	SkateboardR6	11
210	PortlyPete69	11
210	jcool7	11
210	Powowowow	11
219	Batman922	10
219	gaziter10	10
219	heckface	10
219	Malcman2013	10
219	Jeteight	10
219	Jiminbub	10
219	ChronoSounds	10
219	Barlycorn	10
219	IAmTheWalrus910	10
228	Incinere	9
228	Euclidoris	9
228	egglapras	9
228	hcb238	9
228	theonlymagikarp	9
228	xo_Marren_xo	9
228	MyNameIsDakar	9
228	fluddd	9
228	33sudo	9
228	starbits140	9
238	CarbonatedCola	8
238	Paintz	8
238	seramalen	8
238	DC_XII	8
238	Leyna3	8
238	masskedman	8
238	Racengan	8
238	NotMeowMix	8
238	CalebDHawk	8
238	FishisTTV	8
248	bigstankyy	7
248	_Razar	7
248	Zippyzam	7
248	No_u4	7
248	lotarp	7
248	Frxnkz	7
248	Kakolbus	7
248	xambsam	7
248	ToastedGamingYT	7
248	Quincannon	7
248	DeGodz4life	7
248	ayamefag	7
248	SammiWolfGirl	7
248	GlitchyPlate810	7
248	Sral7	7
263	JEWISHBadenBeele	6
263	Saltymart	6
263	Jahara	6
263	Ardennes	6
263	intropass	6
263	BlueZabu	6
263	RedcatVII	6
263	lolpoottoot	6
263	Decaying_Lotus	6
263	Phoenix_Diacou	6
263	microcrisp	6
263	mawileite	6
263	Rainaldus	6
263	UrbanPlanner1978	6
263	remmisrat	6
278	heysushii	5
278	soundad	5
278	AshleeCW	5
278	Hpdinosaur	5
278	Nicky_H225	5
278	XboxPanda	5
278	loveseeker	5
278	gabriels543	5
278	FishyBoy3811	5
278	valkam13	5
278	The_Quack_Dealer	5
278	_ritter	5
278	Bawbman	5
278	Njensen7	5
278	_KuruKuru	5
293	pZygh0st	4
293	Sleek_Storm_721	4
293	SaucyDark	4
293	ZaneABrain	4
293	Alfred603	4
293	NieToksikpl	4
293	CliffEmAll	4
293	m_be9	4
