rank	username	minecraft:dropped/minecraft:scaffolding
236	Lutres_Torane	10
236	Racengan	10
241	pZygh0st	9
241	TheShyPig	9
241	stellarjay	9
241	Nekomin0	9
241	SirBreadward	9
241	YoshikageBites	9
247	seanitoo	8
247	ZaneABrain	8
247	Smiguli_	8
250	LoboTheLobster	7
250	GlitchyPlate810	7
250	Moetis	7
253	numbra	6
253	Reamdin	6
253	Whiterooster001	6
253	12Magner05	6
253	Masssonnn	6
253	fallingemma	6
253	fr_ser	6
253	Rumpletaezer	6
253	fxiryglitch	6
253	KliBeast21	6
253	fw3xywashere	6
253	masskedman	6
253	DemTechAlpha	6
253	The_slideV3	6
253	Warlord324	6
253	33sudo	6
253	djancak	6
253	RoboTramp7865	6
271	_NieToksikpl_	5
271	wordboy107	5
271	BumbleBeever	5
271	Airem_Core	5
271	layabout100	5
276	KomputerDude	4
276	peach0s	4
276	CliffEmAll	4
276	Comma__	4
276	slkiey	4
276	impossibleteapot	4
276	_czarny	4
276	Spenduh	4
276	Poppy235	4
276	HesDemonPants	4
276	Zoeyfortnite	4
287	AuroraValkyrie	3
287	Furiuosbeast0404	3
287	RebelAndroid	3
287	CoffeeNoir	3
287	dopplexd	3
287	Kalwag	3
287	Rich_Kat	3
287	CyrusIsTired	3
287	mwrty	3
287	Afinnity	3
287	RobotMinion101	3
287	DanTheBuilderino	3
287	KingMatthew506	3
287	Powowowow	3
