rank	username	minecraft:dropped/minecraft:water_bucket
211	CueMix	2
211	soundad	2
211	hollowww	2
211	Merv__	2
211	Niklas20114552	2
211	q_wq	2
211	6king6colt6	2
211	diamondgolem35	2
211	lcn	2
211	Flores991	2
211	RebelAndroid	2
211	T045RTY	2
211	lotarp	2
211	Historical_Sand	2
211	gaziter10	2
211	Ssor69	2
211	royal_2	2
211	DirtyDalle	2
211	dopplexd	2
211	NieToksikpl	2
211	Saucepeh	2
211	500am	2
211	Fullbit_	2
211	orxngejuice	2
211	Xalithia	2
211	ROY4LE	2
211	SellyZ	2
211	asspharte	2
211	gcaisawesome	2
211	r123moore	2
211	imcombxt	2
211	NotKaden_	2
211	SHAOBADMAN	2
211	M_Patata	2
211	Ecplosive	2
211	legal_tax_evader	2
211	MyNameIsJobo	2
211	whoaluv	2
211	dedgt	2
211	WET_WET_WET	2
211	_8man	2
211	LugusMcGrugus	2
211	OreTheBear	2
211	ItsAki_	2
211	seramalen	2
211	Kynigito	2
211	Moofyman	2
211	epiksk8erduck	2
211	goldyx	2
211	Mr_Froxy	2
211	PuFY	2
211	groofles	2
211	txxskx	2
211	True_Clipse	2
211	Fakiuss	2
211	TruestTurnip	2
211	Deathkob	2
211	DarlaMeow	2
211	NameGenerat0r	2
211	AstreaTSS	2
211	Avocadogerms	2
211	E775	2
211	BigCronkin	2
211	Cavetorch	2
211	MightyWertu	2
211	VilsSwag	2
211	DarkLawD	2
211	meavemeave	2
211	Toriankel	2
211	IAmTheWalrus910	2
211	MakeHistory157	2
211	sp00ky_ghost977	2
211	layabout100	2
211	Optiprimus	2
211	TheEnderMan548	2
211	hdtpm	2
211	CACTUSLAD	2
211	tsitrawhy	2
211	Spenduh	2
211	LeEricc	2
211	non089	2
211	_i_ERROR_i_	2
211	NATE_the_HALO	2
211	Deguns123	2
211	Moetis	2
211	Dogcorn69420	2
211	LeeMcGee30	2
211	Steelynan	2
