rank	username	minecraft:dropped/minecraft:stone_brick_stairs
177	FennYuzuna	4
177	breadbowlgamer	4
177	CollinMH06	4
177	k1ngGilgamesh	4
177	luseis	4
177	CuzIm2Kev	4
177	Manaateee	4
177	NameGenerat0r	4
177	Factoroni	4
177	Segotep999	4
177	obzii	4
177	Njensen7	4
177	Quotary	4
177	cichy096	4
177	Biites	4
197	Groovy_MoonBird	3
197	I_Am_Mushkin	3
197	hm947	3
197	joethahobo	3
197	Malorn_Aetherius	3
197	ratglock	3
197	SPUDonSTEROIDS	3
197	eiC_	3
197	MyNameIsJobo	3
197	Rumpletaezer	3
197	impossibleteapot	3
197	ApophisNova	3
197	Rasmanden	3
197	AlphaWolfPlaysMC	3
197	masskedman	3
197	The_Quack_Dealer	3
197	Shogunite	3
197	MustaLoordi	3
197	Toriankel	3
197	Leithz6	3
197	carbo_bro	3
197	__tomato	3
197	ProbsNotNova	3
197	alderban107	3
197	MyNamaSheff	3
197	Enderxz3	3
197	Legendosh	3
197	UrbanPlanningEx	3
197	JayToe	3
197	FishisTTV	3
227	Jovaphobic	2
227	_Virify_	2
227	ECstardust	2
227	SaucyDark	2
227	Gundam_Steven	2
227	Wooptey	2
227	Huwulling	2
227	gaziter10	2
227	Ssor69	2
227	jushykins	2
227	Secret_Canary	2
227	lordsaladito	2
227	G1ldor	2
227	boog4loo	2
227	2Stout	2
227	Kubelz	2
227	M_Patata	2
227	Snowflowe	2
227	LAVA129	2
227	d4mndaniel2	2
227	Mattesco	2
227	Kynigito	2
227	Moofyman	2
227	StormPool	2
227	sammidk	2
227	sxc_	2
227	audiocracked	2
227	StinkyDiplomat	2
227	fluddd	2
227	MasterNueve	2
227	kyouma777	2
227	Spenduh	2
227	UltraZombie	2
227	Hermanni__	2
227	jnp_gaming	2
227	PlasticOtari	2
227	h2p_emrld	2
264	soundad	1
264	SaphLaseer	1
264	shineh10	1
264	Tommhh	1
264	KarlKaek	1
264	T045RTY	1
264	Natty	1
264	CoffeeNoir	1
264	ITDV	1
264	H72l9w	1
264	fr0stss	1
264	Historical_Sand	1
264	Ozixar	1
264	Ravenbie	1
264	catandmoose	1
264	500am	1
264	slkiey	1
264	Smashic	1
264	crying_wolf_13	1
264	Andy__Dufresne	1
264	Cambo5000	1
264	marul1002	1
264	fade_emerge78823	1
264	Motsaro	1
264	NotKaden_	1
264	Touched_Bread	1
264	smarticuno	1
264	prizm_	1
264	Winklepicker279	1
264	legal_tax_evader	1
264	fr_ser	1
264	Derek_Grieve	1
264	Doom_melon	1
264	DaviusMaximoose	1
264	AnnieBathory	1
264	Silvo614	1
264	_Boipl_	1
