rank	username	minecraft:dropped/minecraft:oak_stairs
135	__tomato	4
135	lcvezra	4
135	SammiWolfGirl	4
135	Steelynan	4
135	Vellu21	4
135	Zoeyfortnite	4
135	Smoke____	4
151	T045RTY	3
151	FirsTimeGamingTV	3
151	chlorinex	3
151	Fullut	3
151	Motsaro	3
151	Inchef	3
151	Onennon	3
151	fxiryglitch	3
151	TheShyPig	3
151	Blaiku	3
151	the__Reaper4999	3
151	CSG_Haru	3
151	PlasticOtari	3
164	Louiis123	2
164	Mowelan	2
164	youhjjhhhjj	2
164	Seyaboy	2
164	Lez_	2
164	301851	2
164	Euclidoris	2
164	jiggywraps	2
164	UncreativeArtist	2
164	xxPipperDipperxx	2
164	Kakolbus	2
164	Marbz_	2
164	_naturell	2
164	AuroraSkies	2
164	NomadicRobin_	2
164	TheSeismicDuck	2
164	_Bguette_	2
164	LexMakesHistory	2
164	Cyntrical	2
164	marumochis	2
164	NotMeowMix	2
164	ayamefag	2
164	voiding_	2
164	Kijiki	2
164	jaimshae	2
164	Chuglyfe	2
164	Eczbek	2
164	alderban107	2
164	Nicserso	2
164	2blox	2
164	vandmanden	2
164	00000000-0000-0000-0009-01f898304150	2
196	Mr_Byzantine	1
196	Jalvajar	1
196	fanofbands101	1
196	Ev0luti0nz	1
196	Merv__	1
196	6king6colt6	1
196	diamondgolem35	1
196	bigstankyy	1
196	Iagoku	1
196	ImpavidArcher	1
196	hm947	1
196	TooManyDuck	1
196	jimintyy	1
196	Natty	1
196	oreee	1
196	Sleepy_Time_	1
196	ccormacs	1
196	dopplexd	1
196	BleachMyEyes	1
196	Malorn_Aetherius	1
196	TheThomas69	1
196	ProfessorBee	1
196	CarbonatedCola	1
196	Kamflame10	1
196	set67	1
196	KGTV	1
196	HypixelForums	1
196	maddog2014	1
196	gabriels543	1
196	Chromary	1
196	Zythose	1
196	Nyxiom_	1
196	Donutt	1
196	gloryoftherain	1
196	AlexxO_o	1
196	lizardfightclub	1
196	tyraxxx	1
196	Maenara	1
196	wezzzi	1
196	JollyDroopy52	1
196	Gryglu583	1
196	claivin	1
196	Nycteus_	1
196	Frozil12	1
196	Zany0	1
196	IAmTheWalrus910	1
196	layabout100	1
196	Optiprimus	1
196	Eraxa	1
196	YungMaki	1
196	stahouo	1
196	non089	1
196	SpacesickPrism	1
196	LeeMcGee30	1
196	athereall	1
196	TheOuterCore	1
196	smogfrog	1
196	little_dUki	1
196	WinterYoke	1
