rank	username	minecraft:dropped/minecraft:dark_oak_log
131	AlexxO_o	128
131	BabyDaddy1	128
134	tuckerdoodle	123
135	felincaus	121
136	6king6colt6	120
137	MightyWertu	117
138	MyNameIsDakar	114
139	The_slideV3	110
140	GravitySaint	109
140	Skippeh	109
142	Winklepicker279	108
143	Incinere	105
143	TheSecondLord	105
145	Jakobo1337	101
146	Alteriity	99
146	AlazelTheReal	99
148	obzii	98
149	SellyZ	95
150	Maenara	94
151	marumochis	93
151	MakeHistory157	93
153	_Nuf	91
153	ImDisconnected_	91
155	groofles	90
156	buss081	86
156	00000000-0000-0000-0009-01f073f37a91	86
158	teslawolf38	82
159	pixelviolin	81
160	Jackattack53	79
161	m_be9	78
162	M_Patata	75
162	FishisTTV	75
164	thebaddruid	70
164	Legendosh	70
166	fade_emerge78823	69
167	SyntheticSurgeon	68
168	Touched_Bread	66
168	SaintJosie	66
170	Arceus1975	65
170	avalan64	65
172	TastyPorkchop	64
172	Ssor69	64
172	MrExplorer	64
172	__TheNorseMan__	64
172	DermeinUser	64
172	Mobstr	64
172	fallingemma	64
172	kars0n	64
172	Afinnity	64
172	LeGold	64
172	brycepants	64
172	KliBeast21	64
172	Beagle_Boy	64
172	Lekol	64
172	RedcatVII	64
172	Optiprimus	64
172	Jij0	64
172	NATE_the_HALO	64
172	LeeMcGee30	64
191	pintsizedrogue	63
191	BlancoFlaco	63
191	Fi11e	63
194	Skylord_Luke	61
194	JayToe	61
196	set67	60
196	Dennid	60
198	TheDankPlatypus	59
199	Quaintster	57
200	Hyp3rion_	56
200	TheTommyGun63	56
202	_Razaria	55
203	diamondgolem35	54
204	stuy9	53
205	intropass	52
206	dartwaffle	49
206	TrollerYT	49
208	PhantomsGhost_	47
208	Russiancat1	47
208	LexMakesHistory	47
211	jacxhadow	45
211	AngalexikCZ	45
211	UCP_TheKingK	45
214	FirsTimeGamingTV	43
215	LittleBug562	42
215	Da_Boss_Rani	42
215	babycamm	42
218	Xalithia	41
218	WET_WET_WET	41
220	bigstankyy	40
220	EvenMina	40
220	Mattesco	40
223	Killercatty78	39
224	AshleeCW	37
224	Austine6698	37
224	Stiar	37
227	Healthing	36
227	Kijiki	36
229	DennyKai	35
230	eiC_	34
231	Azmodan_246	33
231	the__Reaper4999	33
233	H0UNDFRMH3LL	32
233	ratglock	32
233	tortillatitan	32
233	NotMeanttoChange	32
233	Tjhodskins19	32
233	A_Potatoe	32
233	Deathkob	32
240	Kura2218	29
240	bladeefan2009	29
242	Gemstuff	28
242	jushykins	28
244	_Goatt	27
245	Historical_Sand	26
245	silverpopcorn	26
247	Yirtle	25
247	mariominejedi	25
247	GlitchyPlate810	25
250	Karbl	24
250	Nekomin0	24
250	WYFYoyo	24
253	SquadMonster	23
253	RohnJosin	23
253	MilleGrug	23
256	EMC_	22
256	Enderxz3	22
258	hm947	21
258	ROY4LE	21
258	alderban107	21
258	VentiHilton	21
262	RebelAndroid	17
262	monky_irl	17
264	ITDV	16
264	Devintronix	16
264	Darkgon	16
264	MustaLoordi	16
268	Iagoku	15
269	AnnieBathory	14
269	Toriankel	14
269	djancak	14
272	Aiko_Kawashima	13
272	layabout100	13
274	_Huge_Male_	12
274	Chromary	12
274	TheShyPig	12
274	Luminad3	12
278	MovingFish7	11
279	prizm_	10
279	Vellu21	10
279	AltnumberF4	10
282	selectrix	9
282	ItsDeltaMC	9
282	PortlyPete69	9
282	TheOuterCore	9
286	Fuad_R	8
286	EfficientC52	8
286	SexcMf	8
289	NatalieTW	7
289	TinMaster	7
289	lorpus	7
289	binman420	7
289	LazySupport00	7
289	Mythic1130	7
295	carloselpapii	6
295	Khelvoryk	6
295	Smashic	6
295	F_Uhre	6
295	claivin	6
295	imaginek1d	6
