rank	username	minecraft:dropped/minecraft:jungle_planks
165	Reneedium	3
165	ougstur	3
165	DeltGod01704	3
165	ese_wn_po	3
165	blackeemperor	3
165	Typadopoulos	3
165	WyngGoy	3
165	pixelviolin	3
165	TheKingK_	3
165	Legendosh	3
165	calamariclam_I	3
187	k_ce	2
187	Mr_Byzantine	2
187	CLG_Kata	2
187	TooManyDuck	2
187	RebelAndroid	2
187	abdomera	2
187	NinjaKnifeKill	2
187	SquadMonster	2
187	QuiCreans	2
187	jushykins	2
187	MrExplorer	2
187	TylerDupree	2
187	Zythose	2
187	thebaddruid	2
187	oscminus	2
187	Skylord_Luke	2
187	ApophisNova	2
187	txxskx	2
187	Lord_Jord	2
187	1442	2
187	claivin	2
187	YungMaki	2
187	_i_ERROR_i_	2
187	Soffbord	2
187	hermmm_	2
187	Rainaldus	2
187	MyNamaSheff	2
187	TechnoNinja64	2
187	PlasticOtari	2
187	00000000-0000-0000-0009-01f570995a20	2
217	_Huge_Male_	1
217	Harotio	1
217	soundad	1
217	AuroraValkyrie	1
217	honeybuggie	1
217	diamondgolem35	1
217	Hyugo	1
217	hm947	1
217	Sna_Ke	1
217	FirsTimeGamingTV	1
217	titanlax	1
217	12Magner05	1
217	corvidpartyfor6	1
217	Kamflame	1
217	SellyZ	1
217	imcombxt	1
217	Kubelz	1
217	M_Patata	1
217	Ecplosive	1
217	burbankbuilder28	1
217	Nyxiom_	1
217	Donutt	1
217	TheWildMateo	1
217	k1ngGilgamesh	1
217	Afinnity	1
217	cedric72	1
217	ILoveCarrot	1
217	AlphaWolfPlaysMC	1
217	Hahaa_0	1
217	NomadicRobin_	1
217	FreddyFart	1
217	Deodorante	1
217	Deathkob	1
217	Avocadogerms	1
217	Deerfoot	1
217	WhyTho_1	1
217	El_Jalapeno	1
217	Cavetorch	1
217	Hisiste	1
217	MasterNueve	1
217	IvarEXE	1
217	Chayula	1
217	somegirl12_	1
217	djancak	1
217	miramyu	1
217	TheSandwhich_	1
