rank	username	minecraft:dropped/minecraft:gold_nugget
120	livingdaydreams	86
121	Chromary	83
122	DarkS0L	81
123	0Vyp_	79
123	shrimp_flips	79
125	ECstardust	78
126	Historical_Sand	77
126	CrazyPotater	77
128	Raspberry_Sodas	75
129	wwwwinnebagoooo	74
130	youhjjhhhjj	73
131	TheSecondLord	72
131	SellyZ	72
131	Iamthejo	72
134	NatalieTW	70
134	SammiWolfGirl	70
134	NATE_the_HALO	70
137	SyntheticSurgeon	69
137	XboxPanda	69
137	stavgod	69
140	brofrickcheaters	68
141	xPixelRainx	67
142	KliBeast21	65
142	EveryonesUncle	65
142	SkateboardR6	65
145	ccwildfire1	64
145	I_Moose	64
145	Eraza	64
145	AlexxO_o	64
149	4774	61
150	Mattesco	60
151	Dogcorn69420	59
152	FishyBoy3811	58
153	Touched_Bread	56
153	UrbanPlanningEx	56
155	500am	54
155	Aryamanee	54
157	r123moore	52
158	Jakobo1337	51
158	Werbe	51
158	jnp_gaming	51
161	pixelviolin	50
162	T045RTY	49
162	shadowthemonkey	49
162	33sudo	49
165	BobDeBouwer1337	48
165	Jonafrog99	48
167	Cowison	47
167	TechnoNinja64	47
169	itburb	46
169	Chickenchaser2	46
169	alderban107	46
172	Moofyman	45
173	jojo1515151	44
173	_Huge_Male_	44
173	Rasaq	44
173	Alteriity	44
173	jacxhadow	44
173	groofles	44
173	xzvu	44
173	Physics_Breaker	44
181	Eczbek	43
182	Eczbox	42
182	non089	42
184	Onennon	41
184	Soplight	41
184	Kekoo	41
184	lcvezra	41
184	CalebDHawk	41
189	Luigipunch989	40
190	ApophisNova	39
190	MyNamaSheff	39
192	Hiryu27	38
192	diggydog67	38
194	CLG_Kata	37
194	SaucyDark	37
194	yulgur1	37
194	fluddd	37
198	Toriankel	36
199	yheece	35
199	501g	35
199	Kura2218	35
202	BlancoFlaco	33
202	lordpipe	33
202	WyngGoy	33
205	Badenbeele	32
205	Blackberry1310	32
207	masskedman	31
207	Kubeusz2010	31
207	Ezekson	31
207	RadarHz	31
211	Rasmanden	30
211	CACTUSLAD	30
213	Secret_Canary	29
213	RobotMinion101	29
213	Maenara	29
213	Heisenbberrg	29
213	calamariclam_I	29
218	bigstankyy	28
218	BreadBacon	28
220	Xclax101	27
221	SmashingPump	26
221	12Magner05	26
221	Cellcorgi649	26
221	PortlyPete69	26
221	skrongus	26
226	hbaoo	25
226	SuperPooch06	25
226	Hermanni__	25
229	Hpdinosaur	24
230	fr_ser	23
231	EMC_	22
231	crying_wolf_13	22
231	Snowflowe	22
231	Dakar_	22
231	BlankityMcBlank	22
231	LeEricc	22
237	_Nuf	21
237	Blu3beast	21
237	07shiny	21
237	Sheldor097	21
237	Kferno	21
242	CoffeeNoir	20
242	Comma__	20
242	KGTV	20
242	Skippeh	20
246	Krasnal1337	19
246	JohnnyFyes	19
246	_Dean_123	19
246	jedi_george	19
250	Killercatty78	18
250	H72l9w	18
250	ROY4LE	18
250	Quaintster	18
254	ExtraDumb	17
254	M_Patata	17
254	legal_tax_evader	17
254	pappaberg	17
254	AuroraSkies	17
254	MasterNueve	17
254	UCP_TheKingK	17
261	ThePoliteG	16
261	SteveCraftBlocks	16
261	seramalen	16
261	IamCL4SSY	16
261	Wowful	16
261	YungWali	16
261	ConnorDanky_	16
268	ciemacigans	15
268	theonlymagikarp	15
268	Powowowow	15
271	__TheNorseMan__	14
271	fkGrim	14
273	Ryker	13
273	MinttyFressh	13
275	Jindong	12
275	Incinere	12
275	FirsTimeGamingTV	12
275	oscminus	12
275	claivin	12
280	seanitoo	11
280	SquadMonster	11
280	samtrid	11
280	Mewar	11
280	_8man	11
280	Solar_Power	11
280	Afinnity	11
280	PlasticOtari	11
288	Ssor69	10
288	UncreativeArtist	10
288	eviltunix	10
288	benediktine1	10
288	King_Pancake1	10
288	SaintJosie	10
288	bpmm	10
288	MAns_44	10
288	JosephCW	10
288	anbbang	10
288	FelixPSY375	10
299	6king6colt6	9
299	heckface	9
