rank	username	minecraft:dropped/minecraft:diamond_helmet
192	FemboyFwuit	1
192	G1ldor	1
192	Smashic	1
192	Blazebit	1
192	himak1	1
192	KGTV	1
192	surfinggiraffejp	1
192	Xalithia	1
192	ROY4LE	1
192	xxPipperDipperxx	1
192	Diavri	1
192	Paintz	1
192	Noah_Bez	1
192	eiC_	1
192	benediktine1	1
192	walll	1
192	TheDankPlatypus	1
192	Zaridey	1
192	juuustpeachy	1
192	trixterrx	1
192	Winklepicker279	1
192	mariominejedi	1
192	MyNameIsJobo	1
192	Lil_Breadboy	1
192	Rumpletaezer	1
192	thewindmillman	1
192	Snowflowe	1
192	burbankbuilder28	1
192	killmeiamtraitor	1
192	_Buffo	1
192	ItsMrRamen	1
192	Rebytre	1
192	TheWildMateo	1
192	k1ngGilgamesh	1
192	Onennon	1
192	Truckoss	1
192	BRRRN179	1
192	PigDab	1
192	SvenskaAlvar	1
192	victorLIE	1
192	brycepants	1
192	sammidk	1
192	FishyBoy3811	1
192	thgrocks	1
192	lizardfightclub	1
192	Rasmanden	1
192	TJawesome09	1
192	SaintJosie	1
192	stuy9	1
192	fw3xywashere	1
192	Bl1tzFX	1
192	xDraggin	1
192	OLookItsAnxiety	1
192	CrumplyBanjo_	1
192	gustarlep	1
192	JoeSaysBingBong	1
192	NoChumpChange	1
192	ese_wn_po	1
192	Russiancat1	1
192	IsabellasOF	1
192	NYJ	1
192	Tiktola01	1
192	CuzIm2Kev	1
