rank	username	minecraft:dropped/minecraft:apple
160	Shin69	5
160	pixelviolin	5
160	Luigipunch989	5
160	Enderslayerxz3	5
160	vandmanden	5
180	hollowww	4
180	FrostySlimez	4
180	ExtraDumb	4
180	Ssor69	4
180	titanlax	4
180	Malorn_Aetherius	4
180	500am	4
180	TylerDupree	4
180	eiC_	4
180	lOlmantschi	4
180	selectrix	4
180	RobotMinion101	4
180	Skomo	4
180	lizardfightclub	4
180	RodSerlingCringe	4
180	Lord_Zacler	4
180	Shogunite	4
180	MustaLoordi	4
180	Keeogwi	4
180	Typadopoulos	4
180	Toriankel	4
180	MakeHistory157	4
180	Nagasaki_Riku	4
180	ayamefag	4
180	SvenskaHugo	4
180	Kyrum2169	4
180	Soplight	4
180	SSytex_X	4
180	PlasticOtari	4
180	FishisTTV	4
210	angwla	3
210	seanitoo	3
210	RoskobiOne	3
210	Lotheburgh	3
210	Paint	3
210	AuroraValkyrie	3
210	Iagoku	3
210	BlancoFlaco	3
210	Incinere	3
210	Wooptey	3
210	Natty	3
210	MrKrabOnCoke	3
210	Swalt	3
210	tramizu	3
210	Cryptacity	3
210	Chickenchaser2	3
210	mwrty	3
210	egglapras	3
210	SellyZ	3
210	2Stout	3
210	Covalents	3
210	platinumzero	3
210	mimbo1211	3
210	Marbz_	3
210	ApophisNova	3
210	epiksk8erduck	3
210	TheShyPig	3
210	XeroByMyth	3
210	Leyna3	3
210	ADEXTV	3
210	501g	3
210	SkateboardR6	3
210	SUN_DREAM	3
210	ReyTheLegend	3
210	_TCARREIRA_	3
210	Synnlux	3
210	VentiHilton	3
210	OfficerAnvil	3
210	Miko_Fullbuster	3
210	MyNamaSheff	3
210	OnlyOfficial	3
210	Powowowow	3
210	Sral7	3
210	Zoeyfortnite	3
210	WinterYoke	3
255	Ninzyyy	2
255	Cowison	2
255	teslawolf38	2
255	IronArshXS	2
255	Flores991	2
255	BodaciousCake	2
255	youhjjhhhjj	2
255	SyntheticSurgeon	2
255	Swexti	2
255	chlorinex	2
255	aikabot	2
255	ZigzagLily43042	2
255	DarkFisto	2
255	12Magner05	2
255	TheThomas69	2
255	_Dean_123	2
255	Nach0Bear	2
255	ROY4LE	2
255	ItzYaBoiPicard	2
255	TableTim	2
255	AbnormallyAllen	2
255	Jackattack53	2
255	mick407	2
255	Zythose	2
255	AnnieBathory	2
255	ooga47	2
255	unren	2
255	bryzenx	2
255	victorLIE	2
255	Nicky19	2
255	Pootis11	2
255	AlphaWolfPlaysMC	2
255	ogoa	2
255	sufjanlover	2
255	avalan64	2
255	1442	2
255	claivin	2
255	Deerfoot	2
255	Factoroni	2
255	geekbird	2
255	Optiprimus	2
255	djancak	2
255	non089	2
255	CalebDHawk	2
255	Sheldor097	2
255	Njensen7	2
