rank	username	minecraft:dropped/minecraft:leather_chestplate
77	marumochis	4
77	Racengan	4
77	NotMeowMix	4
77	Dusk_95	4
77	IdeallyGrey	4
77	UCP_TheKingK	4
77	Juh1s	4
77	Seindi	4
77	MilleGrug	4
77	Hermanni__	4
105	Gary_	3
105	PhantomsGhost_	3
105	Cowison	3
105	Merv__	3
105	livingdaydreams	3
105	301851	3
105	Historical_Sand	3
105	_Dean_123	3
105	500am	3
105	G1ldor	3
105	Kkanot	3
105	Kamflame10	3
105	Kubelz	3
105	M_Patata	3
105	mariominejedi	3
105	Jackattack53	3
105	Arceus1975	3
105	_Boipl_	3
105	Donutt	3
105	Bumpy419	3
105	fred870d	3
105	Mattesco	3
105	FishyBoy3811	3
105	Kim_Jong_eel	3
105	fw3xywashere	3
105	Jiminie	3
105	DanTheBuilderino	3
105	ProfessorDiaper	3
105	MovingFish7	3
105	MasterNueve	3
105	IAmTheWalrus910	3
105	WyngGoy	3
105	Ze_BaronKrigler	3
105	SexcMf	3
105	Nagasaki_Riku	3
105	lcvezra	3
105	Luigipunch989	3
105	PortlyPete69	3
105	ProbsNotNova	3
105	cichy096	3
105	Legendosh	3
105	HesDemonPants	3
105	EcksDofficial	3
148	Jovaphobic	2
148	Groovy_MoonBird	2
148	seanitoo	2
148	Menthas	2
148	Healthing	2
148	q_wq	2
148	Sleek_Storm_721	2
148	error10101	2
148	ImpavidArcher	2
148	Hpdinosaur	2
148	Wooptey	2
148	NinjaKnifeKill	2
148	Prismyst	2
148	Lez_	2
148	SpaceGrenadier	2
148	MrKrabOnCoke	2
148	Swexti	2
148	SquadMonster	2
148	rarrq	2
148	jushykins	2
148	m_be9	2
148	MattieHD	2
148	corvidpartyfor6	2
148	Master_Kol	2
148	set67	2
148	thescout7	2
148	emrekn	2
148	MassiveOof45	2
148	Xalithia	2
148	theonlymagikarp	2
148	Paintz	2
148	gabriels543	2
148	MyNameIsJobo	2
148	SuperPooch06	2
148	Nope______	2
148	WET_WET_WET	2
148	burbankbuilder28	2
148	GreedyFern8581	2
148	Hoid_the_Roamer	2
148	Skylord_Luke	2
148	The11thDoctor	2
148	seramalen	2
148	CruncyIsTaken	2
148	victorLIE	2
148	HolyVenom	2
148	Rasmanden	2
148	wezzzi	2
148	Wowful	2
148	binman420	2
148	The_Quack_Dealer	2
148	JESS_THE_RERE	2
148	NameGenerat0r	2
148	MAns_44	2
148	Blu3beast	2
148	MightyWertu	2
148	Fildyr	2
148	Warlord324	2
148	NebulousBadger	2
148	SvenskaHugo	2
148	pixelviolin	2
148	Fizznut909	2
148	_TCARREIRA_	2
148	non089	2
148	TheALV	2
148	Devouching	2
148	TheOuterCore	2
148	Quotary	2
148	2blox	2
148	Teebone15	2
148	FishisTTV	2
218	Vryistal	1
218	Bandito_Roamer	1
218	MixerDixer	1
218	dudcreeper	1
218	JEWISHBadenBeele	1
218	soundad	1
218	Drlzyy	1
218	AuroraValkyrie	1
218	Begformurrcy	1
218	diamondgolem35	1
218	Dedalus36	1
218	Hysna	1
218	dragonsleger	1
218	JingleLizi	1
218	SaucyDark	1
218	Lukeee33	1
218	Firecracker320	1
218	Flores991	1
218	_Razar	1
218	tuckerdoodle	1
218	Incinere	1
218	Ryker	1
218	Rasaq	1
218	ewsophie	1
218	Base_Tempest	1
218	Myszoaz	1
218	IWorkAtIkea	1
218	Swalt	1
218	Da_Boss_Rani	1
218	TheEnusa	1
218	tramizu	1
218	ChampPog_	1
218	Stynxy	1
218	Ozixar	1
218	Valoth	1
218	dopplexd	1
218	SDMNAEK	1
218	shdesolt	1
218	BobDeBouwer1337	1
218	bloodbiter	1
218	MinttyFressh	1
218	ProfessorBee	1
218	Megarboh	1
218	_Nuf	1
218	eclipseboi	1
218	lordsaladito	1
218	boog4loo	1
218	leaf26	1
218	Lor1113	1
218	crying_wolf_13	1
218	paranoid_plant	1
218	egglapras	1
218	himak1	1
218	LeauVox4921	1
218	ROY4LE	1
218	SellyZ	1
218	__TheNorseMan__	1
218	2Stout	1
218	Touched_Bread	1
218	Noah_Bez	1
218	funnyblitz123	1
218	_Gabae	1
218	trixterrx	1
218	Bazongoman	1
218	CollinMH06	1
218	Marbz_	1
218	Giannism	1
218	SuperStreetCat	1
218	TakeThis2UrGrave	1
218	SlayerCrypto	1
218	Rumpletaezer	1
218	King_Pancake1	1
218	LAVA129	1
218	andy_rex	1
218	cwartzo	1
218	Silvo614	1
218	MangoTheFish	1
218	Fast_Turtle	1
218	Jeteight	1
218	Rebytre	1
218	Hiryu27	1
218	WhosJPG	1
218	RobotMinion101	1
