rank	username	minecraft:dropped/minecraft:golden_boots
89	SellyZ	4
89	Hyp3rion_	4
89	Nyxiom_	4
89	ApophisNova	4
89	RodSerlingCringe	4
89	masskedman	4
89	chipklip	4
89	Blu3beast	4
89	Groundler	4
89	Fildyr	4
89	NotMeowMix	4
89	CalebDHawk	4
89	Sheldor097	4
89	MyNamaSheff	4
89	HesDemonPants	4
89	h2p_emrld	4
89	diggydog67	4
113	MunkaKris	3
113	Groovy_MoonBird	3
113	TooManyDuck	3
113	Hpdinosaur	3
113	Incinere	3
113	bAk5tAb	3
113	500am	3
113	G1ldor	3
113	Kamflame10	3
113	Kubelz	3
113	XboxPanda	3
113	UncleDanDan	3
113	SHAOBADMAN	3
113	CollinMH06	3
113	whoaluv	3
113	Bumpy419	3
113	The11thDoctor	3
113	Lord_Zacler	3
113	Gryglu583	3
113	fkGrim	3
113	MyNameIsDakar	3
113	Soap_Bender	3
113	Shogunite	3
113	Barlycorn	3
113	SkateboardR6	3
113	Nagasaki_Riku	3
113	ReyTheLegend	3
113	Soplight	3
113	GlitchyPlate810	3
113	BreadBacon	3
113	Nicserso	3
113	TechnoNinja64	3
113	EcksDofficial	3
113	FishisTTV	3
147	_NieToksikpl_	2
147	dudcreeper	2
147	Merv__	2
147	Dedalus36	2
147	hm947	2
147	Natofthese	2
147	livingdaydreams	2
147	youhjjhhhjj	2
147	SquadMonster	2
147	ChampPog_	2
147	Euclidoris	2
147	Malorn_Aetherius	2
147	NasdaqCrash	2
147	Comma__	2
147	ProfessorBee	2
147	_Dean_123	2
147	Nach0Bear	2
147	mwrty	2
147	egglapras	2
147	emrekn	2
147	MassiveOof45	2
147	Inchef	2
147	2Stout	2
147	FennYuzuna	2
147	Doom_melon	2
147	xambsam	2
147	Rumpletaezer	2
147	LAVA129	2
147	_8man	2
147	Werbe	2
147	selectrix	2
147	wilgot_	2
147	DeeDeeThonk	2
147	xo_Marren_xo	2
147	_naturell	2
147	Leyna3	2
147	FreddyFart	2
147	DTwenty	2
147	ese_wn_po	2
147	lillips	2
147	_Karmaa	2
147	DanTheBuilderino	2
147	MangoSalad316	2
147	501g	2
147	AssEatrAndLicker	2
147	Cyntrical	2
147	ItzWqlfy	2
147	DeGodz4life	2
147	Grimmaul	2
147	Cocoamallows	2
147	LordSpeed37	2
147	IdeallyGrey	2
147	LilcoinXX	2
147	Spenduh	2
147	lcvezra	2
147	_TCARREIRA_	2
147	Luigipunch989	2
147	Winston_Ingram	2
147	Hermanni__	2
147	Erased_Identity	2
147	laron58	2
147	cichy096	2
147	Legendosh	2
147	vandmanden	2
147	Sral7	2
147	kinas45y5	2
147	Zoeyfortnite	2
147	trexgb	2
147	WinterYoke	2
216	seanitoo	1
216	zeebruh__	1
216	Tobinator_007	1
216	Travasaur	1
216	fanofbands101	1
216	pZygh0st	1
216	jspwn	1
216	Drlzyy	1
216	Tommhh	1
216	diamondgolem35	1
216	bigstankyy	1
216	__Max_mAx_maX__	1
216	jimintyy	1
216	Batman922	1
216	Seyaboy	1
216	lotarp	1
216	Reamdin	1
216	Swexti	1
216	TheMaster972	1
216	FirsTimeGamingTV	1
216	heckface	1
216	cowgirlkasia	1
216	shdesolt	1
216	Cryptacity	1
216	Zedducius	1
216	BobDeBouwer1337	1
216	bloodbiter	1
216	Nicky_H225	1
216	MinttyFressh	1
216	Cortexia	1
216	Aatronix1	1
216	_Nuf	1
216	SteveCraftBlocks	1
216	CarbonatedCola	1
216	BilboBaggins23	1
216	slkiey	1
216	Cambo5000	1
216	UncreativeArtist	1
216	Flapjacker687	1
216	Awyrlas	1
216	Dali1465	1
216	IforgotCS_Source	1
216	NotMeanttoChange	1
216	himak1	1
216	intropass	1
216	Septemb3r	1
216	ROY4LE	1
216	xxPipperDipperxx	1
216	Paintz	1
216	benediktine1	1
216	purpolepickle	1
216	TheDankPlatypus	1
216	PeteO1995	1
216	SecretSH	1
216	__Fanda__	1
216	WET_WET_WET	1
216	DaviusMaximoose	1
216	andy_rex	1
216	RyuNeko932000	1
216	domagawha	1
216	Hoid_the_Roamer	1
216	SokaOtaku	1
216	MustardDrinker	1
216	BronkerBrum	1
216	Skylord_Luke	1
216	lOlmantschi	1
216	HAIRYCLOUD626	1
216	seramalen	1
216	wrinkledpiglet	1
216	Invisie	1
216	fxiryglitch	1
216	TheShyPig	1
216	TeenMomTom	1
216	KeruNatsema	1
216	FishyBoy3811	1
216	thgrocks	1
216	YahooScreen9000	1
216	HolyVenom	1
216	Hail_the_wombat	1
216	DScatgirls	1
216	Sky_light_KING	1
216	Wowful	1
216	ogoa	1
216	TheSeismicDuck	1
216	Inbefour	1
