rank	username	minecraft:dropped/minecraft:diamond
132	Yogscast_Manden	193
133	_Nuf	188
133	The_slideV3	188
135	Hiryu27	187
135	Sky_light_KING	187
137	fr0stss	185
138	himak1	183
139	SellyZ	181
139	PlasticOtari	181
141	NYJ	180
142	monky_irl	179
143	Kowcio_	178
144	Maenara	177
145	Onennon	176
146	Northernrabbit	172
147	seanitoo	171
148	Chromary	169
149	jcool7	163
150	Dedalus36	162
150	pallow	162
152	AlexxO_o	161
153	ayamefag	160
154	_Virify_	155
155	Corbsman	150
156	RobotMinion101	149
157	ShedJr_	147
157	MovingFish7	147
159	Enderslayerxz3	146
160	Isaac70096	144
161	RodSerlingCringe	142
162	ZaneABrain	140
162	Rasmanden	140
164	EveryonesUncle	139
164	Jiminie	139
166	Drlzyy	137
167	_Dean_123	136
167	mimbo1211	136
167	MightyWertu	136
167	Warlord324	136
171	awesomeoneme	135
171	Jamstroxian	135
173	groggregg42	134
174	Inchef	133
175	Xalithia	132
175	burbankbuilder28	132
177	ripddann	128
178	_Karmaa	127
179	NotMeanttoChange	123
180	Wowful	122
181	bloodbiter	121
182	Tolhart	120
183	Jonte0599	118
184	egglapras	116
184	fade_emerge78823	116
186	Kkanot	115
186	LilyNova	115
188	Swexti	111
188	G1ldor	111
188	Quaintster	111
188	TheDumbHuman	111
192	Powowowow	110
193	r123moore	109
194	DeGodz4life	108
195	Strangemonkey71	107
196	lcvezra	106
197	mariominejedi	105
198	diamondgolem35	103
198	censorsheep	103
200	the__Reaper4999	102
201	DirtyBoar	101
201	MustaLoordi	101
203	ToastedGamingYT	99
204	scarletwarrior1	98
205	NinjaKnifeKill	97
205	TheDankPlatypus	97
205	MakeHistory157	97
205	Sheldor097	97
209	Voxin2K	96
209	Xclax101	96
209	Hermanni__	96
212	Bandito_Roamer	95
212	m_be9	95
212	Z3braYTIL	95
212	SokaOtaku	95
216	JEWISHBadenBeele	94
217	TheTommyGun63	93
217	Kubeusz2010	93
219	Afinnity	92
219	Nicky19	92
219	Leithz6	92
222	H72l9w	89
222	Ecplosive	89
222	loveseeker	89
222	501g	89
226	Bumpy419	88
226	SpookyDraggin	88
228	Nagasaki_Riku	87
229	error10101	86
229	RedcatVII	86
231	Lord_Jord	85
232	Mobstr	83
232	Hail_the_wombat	83
234	AltnumberF4	81
235	ROY4LE	80
236	Boboczus	78
236	audiocracked	78
238	teslawolf38	76
238	NotP0tato	76
238	_Boipl_	76
241	33sudo	75
242	MeetTheWollo	72
243	thechoosenone69	71
243	Miko_Fullbuster	71
245	Octatrack	70
246	fanofbands101	69
246	ccwildfire1	69
248	SyK7	67
248	pappaberg	67
248	jake314810	67
248	FelixPSY375	67
248	trexgb	67
253	funeralhome	66
253	SlinkyPinky	66
253	07shiny	66
256	ImDisconnected_	65
256	The_SlideV5	65
258	Arceus1975	64
258	Roikdean	64
258	SwooshBoi	64
261	Nach0Bear	63
261	GoofyBread	63
261	Quincannon	63
264	KarlKaek	62
264	hm947	62
264	youhjjhhhjj	62
264	Flapjacker687	62
264	Donutt	62
269	Flegneh	60
269	little_dUki	60
271	Austine6698	59
271	ReyTheLegend	59
271	Eczbek	59
274	Kaf1y	58
275	SaucyDark	57
275	sammidk	57
275	_TCARREIRA_	57
278	MrAdamant209	56
278	jushykins	56
278	arcanemagic	56
278	_Bguette_	56
282	FishisTTV	55
283	MangoTheFish	54
283	Ender_Souls	54
283	ATLDON	54
286	IforgotCS_Source	53
287	DeeDeeThonk	52
288	ivorico	51
289	ImHeteroPhobic	50
289	rezi	50
289	amkold	50
292	emrekn	49
293	CliffEmAll	48
293	Vetral1	48
293	geekbird	48
296	adiccting01	47
297	dudcreeper	46
297	Alteriity	46
297	MinttyFressh	46
297	ProfessorBee	46
