rank	username	minecraft:dropped/minecraft:furnace
177	Nach0Bear	1
177	beeleg	1
177	Tjhodskins19	1
177	SellyZ	1
177	xxPipperDipperxx	1
177	r123moore	1
177	SpicyMeatballs	1
177	Paintz	1
177	Chazama	1
177	purpolepickle	1
177	TheDankPlatypus	1
177	TableTim	1
177	BlueZabu	1
177	SullyhS	1
177	GOOBERGABE04	1
177	AJplaysMC_	1
177	whoaluv	1
177	Rumpletaezer	1
177	regulator75	1
177	Donutt	1
177	nut_e	1
177	Rebytre	1
177	msJabberwock	1
177	HAIRYCLOUD626	1
177	selectrix	1
177	Jonte0599	1
177	TTNG	1
177	MousePlays	1
177	DC_XII	1
177	thgrocks	1
177	LilLizardWizard	1
177	dezxalo	1
177	tyraxxx	1
177	ChrisKyleST3	1
177	TheTrueClipse	1
177	Lord_Jord	1
177	Negriuke	1
177	Blamphe	1
177	Lord_Zacler	1
177	Gryglu583	1
177	Jiminie	1
177	Mafubana	1
177	YourPersonalChef	1
177	DarlaMeow	1
177	_Karmaa	1
177	Shogunite	1
177	QueenShuvi	1
177	C0oOK13M0N5T3R	1
177	El_Jalapeno	1
177	BumbleBeever	1
177	wgml	1
177	Matorz	1
177	Yahir091	1
177	monky_irl	1
177	TheTommyGun63	1
177	TheDumbHuman	1
177	IAmTheWalrus910	1
177	MakeHistory157	1
177	pipejob	1
177	Lirael42	1
177	SexcMf	1
177	LordSpeed37	1
177	yatsuta	1
177	bloomkieren	1
177	AssFullaCum	1
177	starbits140	1
177	Soplight	1
177	ediballbearings	1
177	lcvezra	1
177	Chuglyfe	1
177	_TCARREIRA_	1
177	UltraZombie	1
177	krutas2000	1
177	fffMike	1
177	Winston_Ingram	1
177	Vellu21	1
177	Erased_Identity	1
177	SirBreadward	1
177	tartanboy	1
177	UrbanPlanner1978	1
177	Northernrabbit	1
177	h2p_emrld	1
