rank	username	minecraft:dropped/minecraft:iron_pickaxe
150	Moetis	3
150	Kferno	3
150	Skippeh	3
150	x86assembly	3
150	Teebone15	3
150	_Dri_	3
226	rats_life	2
226	Groovy_MoonBird	2
226	Bandito_Roamer	2
226	Menthas	2
226	Tobinator_007	2
226	2xil2	2
226	abramgray	2
226	dabloons	2
226	Merv__	2
226	lewieinnit	2
226	Tommhh	2
226	freeandrew	2
226	ExtraDumb	2
226	ImpavidArcher	2
226	Flores991	2
226	Horizons86	2
226	HollieDaNugget	2
226	Natofthese	2
226	jimintyy	2
226	Batman922	2
226	AlazelTheReal	2
226	Reamdin	2
226	awesomeoneme	2
226	Civop_	2
226	EvenMina	2
226	301851	2
226	ChampPog_	2
226	Mimiir345	2
226	Sparky_KT	2
226	Malorn_Aetherius	2
226	Cryptacity	2
226	Comma__	2
226	Guillemet	2
226	500am	2
226	CarbonatedCola	2
226	Lauratheking	2
226	Fullut	2
226	ragdaddie	2
226	Tmb1	2
226	sandmire	2
226	Kamflame10	2
226	paranoid_plant	2
226	Bobby808	2
226	lionmindset	2
226	ROY4LE	2
226	Celestikka	2
226	SLASHZEERA	2
226	ayqq	2
226	JMK208	2
226	eiC_	2
226	Matek_	2
226	XboxPanda	2
226	maddog2014	2
226	DermeinUser	2
226	TheDankPlatypus	2
226	SHAOBADMAN	2
226	M_Patata	2
226	Avrelion	2
226	Theo34	2
226	BlueZabu	2
226	PeteO1995	2
226	Winklepicker279	2
226	CollinMH06	2
226	__Fanda__	2
226	willowcherrytree	2
226	GOOBERGABE04	2
226	fr_ser	2
226	CarltheCuck	2
226	SuperPooch06	2
226	mick407	2
226	Rumpletaezer	2
226	yaboo88	2
226	calajimi	2
226	AlexStrange	2
226	CranialBlowout	2
