rank	username	minecraft:dropped/minecraft:sugar
181	TAKrules	2
181	Huwulling	2
181	Archsam	2
181	TheMaster972	2
181	SquadMonster	2
181	titanlax	2
181	Nicky_H225	2
181	thescout7	2
181	Covalents	2
181	Rumpletaezer	2
181	JitteryJared2	2
181	impossibleteapot	2
181	jewbacaman	2
181	Rasmanden	2
181	Maenara	2
181	wezzzi	2
181	MrQuanQuan	2
181	Deathkob	2
181	DarlaMeow	2
181	AstreaTSS	2
181	StinkyDiplomat	2
181	Nycteus_	2
181	OffWithTheirHead	2
181	ElKaySVK	2
181	Strangemonkey71	2
181	PortlyPete69	2
181	DennyKai	2
181	Nargotah	2
181	Dreamdbr14	2
181	amkold	2
181	little_dUki	2
181	PlasticOtari	2
181	diggydog67	2
221	TheBiggestFeller	1
221	xExpresso	1
221	Deu_Stew	1
221	NotP0tato	1
221	SaucyDark	1
221	nattybears	1
221	youhjjhhhjj	1
221	MoistMicrowave	1
221	Ozixar	1
221	Miroryk	1
221	lunathelemon	1
221	BobDeBouwer1337	1
221	bloodbiter	1
221	TheDiamondCG	1
221	G1ldor	1
221	sandmire	1
221	UncreativeArtist	1
221	Nach0Bear	1
221	emrekn	1
221	surfinggiraffejp	1
221	eviltunix	1
221	Aneurysmas	1
221	corpsecity	1
221	Snowflowe	1
221	Bumpy419	1
221	Rebytre	1
221	Onennon	1
221	F_Uhre	1
221	Gmoney390	1
221	TheShyPig	1
221	HolyVenom	1
221	yulgur1	1
221	NameGenerat0r	1
221	El_Jalapeno	1
221	cog	1
221	Vorlice	1
221	Ze_BaronKrigler	1
221	lil_sandmire	1
221	LordSpeed37	1
221	StarCookiees_	1
221	TheEnderMan548	1
221	robotemo	1
221	pixelviolin	1
221	SSytex_X	1
221	Spenduh	1
221	alderban107	1
221	CattSoup	1
221	Powowowow	1
221	fastPREDATOR	1
