rank	username	minecraft:dropped/minecraft:brown_mushroom
114	Presisor	9
114	Awyrlas	9
114	eviltunix	9
114	wobn	9
114	djancak	9
114	h2p_emrld	9
123	ZaneABrain	8
123	Euclidoris	8
123	mwrty	8
123	Rumpletaezer	8
123	Nope______	8
123	Silvo614	8
123	lOlmantschi	8
123	RobotMinion101	8
123	MyNameIsDakar	8
123	QueenShuvi	8
123	Paigefly	8
123	WyngGoy	8
123	Soffbord	8
123	VentiHilton	8
123	cichy096	8
138	dudcreeper	7
138	SaucyDark	7
138	SquadMonster	7
138	John_Acacia	7
138	ProfessorBee	7
138	Secret_Canary	7
138	Fast_Turtle	7
138	F_Uhre	7
138	MinuteMira	7
138	Fuad_R	7
138	Quaintster	7
138	fluddd	7
138	malgosia14	7
138	Optiprimus	7
138	LeEricc	7
153	Froste131	6
153	EMC_	6
153	dopplexd	6
153	mattybeewrapss	6
153	ImDisconnected_	6
153	DAD_1996	6
153	Leyna3	6
153	wezzzi	6
153	masskedman	6
153	The_slideV3	6
153	Nycteus_	6
153	GravitySaint	6
153	silverpopcorn	6
153	wwwwinnebagoooo	6
153	gusstationwerker	6
153	Skippeh	6
169	pZygh0st	5
169	Hpdinosaur	5
169	Franco093	5
169	ShedJr_	5
169	Polahbear	5
169	TheFlfthHorseman	5
169	SirMinza	5
169	_Dean_123	5
169	GLLogan2	5
169	Xalithia	5
169	r123moore	5
169	SpicyMeatballs	5
169	MEMES4_LIFE	5
169	Ecplosive	5
169	PeteO1995	5
169	Winklepicker279	5
169	KillerNekoRain	5
169	yulgur1	5
169	MustaLoordi	5
169	censorsheep	5
169	RedcatVII	5
169	babyjimmyneutron	5
169	layabout100	5
169	Strangemonkey71	5
169	Eraxa	5
169	SammiWolfGirl	5
169	K_a__a_n	5
169	Rainaldus	5
169	imaginek1d	5
198	Skyler_Diablo	4
198	livingdaydreams	4
198	Zaridey	4
198	Shiirazu	4
198	TheShyPig	4
198	ZA07	4
198	groofles	4
198	audiocracked	4
198	Barlycorn	4
198	MovingFish7	4
198	LordSpeed37	4
198	noodlesforbrains	4
198	tsitrawhy	4
198	Njensen7	4
198	TheOnlyRake	4
198	FGamerJ	4
198	Powowowow	4
215	SaltineDream	3
215	ewsophie	3
215	HazenBlazin	3
215	tramizu	3
215	rarrq	3
215	heckface	3
215	ratglock	3
215	TheThomas69	3
215	SteveCraftBlocks	3
215	Commander_Ange	3
215	theonlymagikarp	3
215	Covalents	3
215	pappaberg	3
215	Voxin2K	3
215	Kouridragon	3
215	Onennon	3
215	Rasmanden	3
215	Wowful	3
215	ogoa	3
215	Deathkob	3
215	JESS_THE_RERE	3
215	Lifedy	3
215	Deerfoot	3
215	Ashton1242	3
215	Cocoamallows	3
215	Fizznut909	3
215	NATE_the_HALO	3
215	CalebDHawk	3
215	Nargotah	3
215	jcool7	3
215	anbbang	3
215	BreadBacon	3
247	TheBiggestFeller	2
247	Bandito_Roamer	2
247	fanofbands101	2
247	Cowison	2
247	soundad	2
247	6king6colt6	2
247	ssleepless	2
247	LeDuctTape	2
247	BlancoFlaco	2
247	Incinere	2
247	seba070c	2
247	Batman922	2
247	CoffeeNoir	2
247	Simon_Lowell	2
247	Mahoose	2
247	301851	2
247	Ssor69	2
247	FirsTimeGamingTV	2
247	catandmoose	2
247	Jokerman369	2
247	Gingayy	2
247	Scathra	2
247	KGTV	2
247	purpolepickle	2
247	Windo_licker	2
247	__Fanda__	2
247	Donutt	2
247	CarryLine	2
247	Elastiq	2
247	Choco_Spy	2
247	gustarlep	2
247	NoChumpChange	2
247	_Bguette_	2
247	DemTechAlpha	2
247	ebanana	2
247	majlin16	2
247	Shogunite	2
247	Suraidu	2
247	_k2x	2
247	__Auspicious	2
247	__hinterland__	2
247	geekbird	2
247	OG_Songsee	2
247	IvarEXE	2
247	PabloGonza02	2
247	SvenskaHugo	2
247	__tomato	2
247	Dogcorn69420	2
247	MilleGrug	2
247	Hermanni__	2
247	tartanboy	2
247	mobunni	2
247	Wolverine4302	2
247	tompup	2
