rank	username	minecraft:dropped/minecraft:writable_book
188	Upstro10	1
188	NieToksikpl	1
188	jamesq133	1
188	m_be9	1
188	Tiberonus	1
188	ProfessorBee	1
188	Quark5075	1
188	potato292	1
188	DocZelenka	1
188	Masssonnn	1
188	mwrty	1
188	xXxSebastianLxXx	1
188	UnderKat	1
188	Awyrlas	1
188	Bobby808	1
188	VirusUploaded	1
188	himak1	1
188	Pineapplesugr	1
188	BlastoiseBabe	1
188	intropass	1
188	ROY4LE	1
188	_Paddydoo_	1
188	olliebollie48	1
188	platinumzero	1
188	XboxPanda	1
188	Mobstr	1
188	prizm_	1
188	legal_tax_evader	1
188	GOOBERGABE04	1
188	F_22_	1
188	AmbroseForLife	1
188	WET_WET_WET	1
188	UMosDiesIrae	1
188	Rebytre	1
188	ItsAki_	1
188	The11thDoctor	1
188	RobotMinion101	1
188	seramalen	1
188	Onennon	1
188	Zeezap	1
188	iElijah	1
188	738b4f65-6cbd-4ead-ba31-c14211abfb06	1
188	StabbyRoomba	1
188	dirtslug	1
188	Samificator	1
188	sammidk	1
188	thgrocks	1
188	Rasmanden	1
188	Elastiq	1
188	yulgur1	1
188	Inbefour	1
188	Deodorante	1
188	LexMakesHistory	1
188	Dakar_	1
188	Soap_Bender	1
188	RedcatVII	1
188	3_Solar_3	1
188	HairballHacker10	1
188	wwwwinnebagoooo	1
188	Warlord324	1
188	sleep444	1
188	Leithz6	1
188	geekbird	1
188	CheifJumbo	1
188	layabout100	1
188	Burge_r	1
188	Strangemonkey71	1
188	Sank34	1
188	sadvavilloso	1
188	tiktok_lystoxin	1
188	brofrickcheaters	1
188	snizv1	1
188	_Yonk_	1
188	Dogcorn69420	1
188	ZoomieZoomie	1
188	laron58	1
188	TheBananaKat	1
188	Skippeh	1
188	OfficerAnvil	1
188	youarefrench_	1
