rank	username	minecraft:dropped/minecraft:bamboo
206	0nly_sn1per	167
206	Zythose	167
208	ehunt54	163
208	yaboo88	163
210	set67	156
211	SaucyDark	152
212	Wowful	146
213	Rumpletaezer	145
214	IROMAKKEM	143
215	Silvo614	142
216	EdGalbraith	140
217	KarlKaek	137
218	Mr_Sun15	136
219	The11thDoctor	132
220	Euclidoris	129
220	InfernalMound	129
220	Bambuino	129
220	WYFYoyo	129
224	soundad	128
224	Lez_	128
224	Diavri	128
224	Bucscw24	128
224	Cruncy_	128
224	MeanTugger	128
224	kiluaemc	128
224	Dakar_	128
224	stavgod	128
233	Hoshi	127
234	Invisie	126
235	Eraxa	125
236	Rasmanden	123
237	Shiirazu	119
237	PortlyPete69	119
237	Legendosh	119
240	Shazzyling	115
240	Windo_licker	115
242	Tool_Ren	114
242	_Karmaa	114
242	dragonstalker21	114
245	Deerfoot	111
246	ori0le	110
246	Cocoamallows	110
248	Nicky_H225	108
249	thgrocks	107
250	Deu_Stew	106
251	John_Acacia	105
252	Celeste_121	101
253	Mistruth	99
254	LetsDoItLive	97
255	HoltGrim	95
255	msJabberwock	95
257	Swexti	91
257	ApophisNova	91
257	miramyu	91
257	MyNamaSheff	91
261	mattybeewrapss	90
262	titanlax	88
262	Spenduh	88
264	Xclax101	85
265	bitsplease	83
266	Ao_Ken	82
266	gamerlord1324	82
266	StarCookiees_	82
269	fade_emerge78823	80
269	Covalents	80
271	Voxin2K	78
271	monky_irl	78
273	CLG_Kata	77
273	Ssor69	77
273	marumochis	77
276	_flud	76
277	SkateboardR6	75
278	cletemo	74
278	Barjas	74
278	_MeowMix	74
281	Sleepy_Evelyn	73
281	NomadicRobin_	73
281	Bawbman	73
284	seanitoo	70
284	_Dean_123	70
284	lorpus	70
284	Groundler	70
288	Cowison	69
288	StinkyDiplomat	69
290	bloodbiter	68
290	Buuck_	68
290	stellarjay	68
293	gcaisawesome	66
293	KeruNatsema	66
293	Kferno	66
296	_stets	65
297	Krasnal1337	64
297	_Razaria	64
297	Furiuosbeast0404	64
297	lorywithay	64
