rank	username	minecraft:dropped/minecraft:egg
94	smogfrog	67
96	Awyrlas	66
96	censorsheep	66
96	RoboTramp7865	66
99	EcksD	65
100	Notta	64
100	AvaRosey	64
100	sp00ky_ghost977	64
103	YungMaki	61
103	Wanjibon	61
105	redikul	58
106	TheShyPig	57
106	The_slideV3	57
106	_KuruKuru	57
109	_Bguette_	56
110	Hiryu27	55
110	Legendosh	55
110	UrbanPlanningEx	55
113	ooga47	52
114	Esme_1	50
114	EveryonesUncle	50
116	BlankityMcBlank	49
116	FishisTTV	49
118	RebelAndroid	48
119	hm947	47
120	MadsNT	46
121	Ze_BaronKrigler	42
122	Huwulling	41
122	heckface	41
122	_Nuf	41
122	LilyNova	41
126	himak1	40
127	_Huge_Male_	39
128	TooManyDuck	38
129	MightyWertu	37
130	queenalina123	36
131	burbankbuilder28	35
131	AlexStrange	35
133	ratglock	34
133	ProfessorBee	34
133	El_Jalapeno	34
133	IAmTheWalrus910	34
137	Sabby65	33
137	SaintJosie	33
137	Xclax101	33
137	bruh072	33
137	PlzNoBM	33
137	xolstoi	33
143	youhjjhhhjj	32
143	jacxhadow	32
143	arcanemagic	32
143	geekbird	32
147	Quaintster	31
147	Groundler	31
147	UltraZombie	31
150	EMC_	29
151	parodypatient	28
152	T045RTY	27
152	TheSecondLord	27
152	crying_wolf_13	27
155	HollieDaNugget	26
156	CoffeeNoir	25
156	Lord_Jord	25
158	ImpavidArcher	24
158	bloodbiter	24
158	Tyrannosplart	24
158	Shin69	24
162	orxngejuice	23
162	Sheldor097	23
164	jessewegottacook	22
164	dopplexd	22
166	I_Am_Mushkin	21
166	BreadFruggis	21
166	GlitchyPlate810	21
166	HesDemonPants	21
170	SuperPooch06	20
170	Onennon	20
170	Eraxa	20
173	Pootis11	19
173	masskedman	19
173	SvenskaHugo	19
176	SyntheticSurgeon	18
176	_Dean_123	18
176	RealGroot	18
179	Natty	17
179	Devintronix	17
179	NieToksikpl	17
179	Steelynan	17
183	ProbablyNick	16
183	LavenderBi1ch	16
183	The_Fulgurator	16
183	Luminad3	16
183	fkGrim	16
183	Ragnar2105	16
183	ElectricDragon81	16
183	AltnumberF4	16
191	pZygh0st	15
191	set67	15
191	PortlyPete69	15
191	Enderxz3	15
195	lotarp	14
195	_Karmaa	14
195	stellarjay	14
195	Kateesaur	14
195	561cool	14
200	FirsTimeGamingTV	13
200	Kakolbus	13
200	Donutt	13
200	Nicserso	13
204	Merv__	12
204	SaucyDark	12
204	ShedJr_	12
204	Chromary	12
204	Rumpletaezer	12
204	MilleGrug	12
210	NatalieTW	11
210	Incinere	11
210	Zythose	11
210	Mattesco	11
210	Kynigito	11
210	MinerDec	11
210	binman420	11
210	BungalowBeet	11
218	BigBootyHudge	10
218	Secret_Canary	10
218	fw3xywashere	10
218	Moetis	10
218	2bolx_	10
223	SpaceGrenadier	9
223	stickymonkeyboy	9
223	TheDankPlatypus	9
223	weabis	9
223	EfficientC52	9
223	Yahir091	9
223	FelixPSY375	9
223	tompup	9
231	KarlKaek	8
231	BlancoFlaco	8
231	rarrq	8
231	MattieHD	8
231	500am	8
231	mimbo1211	8
231	valkam13	8
231	Sank34	8
231	Sral7	8
240	pintsizedrogue	7
240	soundad	7
240	Maenara	7
240	DarlaMeow	7
240	GravitySaint	7
240	wwwwinnebagoooo	7
240	SkateboardR6	7
240	Njensen7	7
240	jnp_gaming	7
249	q_wq	6
249	DinoDoctor_	6
249	KomputerDude	6
249	TheFlfthHorseman	6
249	SoftSix	6
249	Z3braYTIL	6
249	surfinggiraffejp	6
249	M_Patata	6
249	Jonafrog99	6
249	_8man	6
249	wrinkledpiglet	6
249	thgrocks	6
249	Wowful	6
249	NomadicRobin_	6
249	MasterNueve	6
249	CACTUSLAD	6
249	__tomato	6
249	gusstationwerker	6
249	krutas2000	6
249	CalebDHawk	6
249	CrazyPotater	6
270	Cowison	5
270	6king6colt6	5
270	bigstankyy	5
270	RoseLilyTV	5
270	12Magner05	5
270	fade_emerge78823	5
270	KowcioJr	5
270	dezxalo	5
270	AuroraSkies	5
270	Inbefour	5
270	DTwenty	5
270	Fuad_R	5
270	QueenShuvi	5
270	monky_irl	5
270	Rainaldus	5
285	SDW_Insanity	4
285	Sleek_Storm_721	4
285	Wooptey	4
285	w3nd3lbo3	4
285	AngalexikCZ	4
285	_Magdo_	4
285	emrekn	4
285	Inchef	4
285	olliebollie48	4
285	benediktine1	4
285	CharlieButt	4
285	CollinMH06	4
285	fr_ser	4
285	AJplaysMC_	4
285	Azmodan_246	4
285	groofles	4
