rank	username	minecraft:dropped/minecraft:grass_block
144	Lord_Jord	102
145	_Karmaa	101
146	Krasnal1337	96
146	SquadMonster	96
148	PlzNoBM	94
149	YungWali	93
150	m_be9	92
151	Hermanni__	86
152	PortlyPete69	83
153	jacxhadow	82
154	6king6colt6	81
155	00000000-0000-0000-0009-01f898304150	80
156	GlitchyPlate810	77
157	fred870d	74
157	HyperCave	74
159	KarlKaek	73
159	Comma__	73
161	XxCookiequeenxX	72
161	djancak	72
163	Quincannon	71
164	mariominejedi	70
165	WET_WET_WET	68
165	Sral7	68
167	Euclidoris	66
167	Megarboh	66
169	seanitoo	65
169	ayqq	65
169	Snowflowe	65
169	Warlord324	65
169	KG1999	65
174	BigBootyHudge	64
174	TheMilkerOfCats	64
174	eviltunix	64
174	xambsam	64
174	Billious	64
174	BruhBag	64
180	Hylo482y	63
181	burbankbuilder28	62
181	SammiWolfGirl	62
183	AuroraValkyrie	61
184	XboxPanda	58
185	Cocoamallows	57
186	PhantomsGhost_	56
186	ImpavidArcher	56
186	Powowowow	56
189	MangoTheFish	55
189	__Auspicious	55
191	Lutres_Torane	54
191	obzii	54
193	Dogcorn69420	50
194	MeetTheWollo	48
195	PlasticOtari	47
196	alderban107	44
197	gaziter10	42
198	__tomato	41
198	little_dUki	41
200	MyNameIsJobo	39
201	Iagoku	38
201	Skippeh	38
203	stellarjay	37
204	MousePlays	36
205	Upstro10	34
206	The_SlideV5	32
207	Hyugo	31
207	eposlul	31
207	Shiirazuku	31
210	MinttyFressh	29
210	TheDankPlatypus	29
210	Rumpletaezer	29
210	Hoid_the_Roamer	29
214	SlayerCrypto	28
215	mwrty	27
216	layabout100	26
216	stavgod	26
218	ElKaySVK	24
219	I_Am_Mushkin	23
219	yaboo88	23
219	yulgur1	23
222	Hpdinosaur	22
222	kinas45y5	22
224	masskedman	21
224	claivin	21
224	Typadopoulos	21
227	Ssor69	19
227	theofiel	19
227	TheTrueClipse	19
227	pixelviolin	19
231	RyuNeko932000	18
231	Nekomin0	18
233	GOOBERGABE04	17
233	whoaluv	17
233	RodSerlingCringe	17
233	TheOuterCore	17
237	hm947	16
237	titanlax	16
239	CoffeeNoir	15
239	M_Patata	15
239	Leyna3	15
239	MasterNueve	15
239	07shiny	15
244	mafiKiwi	14
245	leaf26	13
246	Shavrin	12
246	TheEnderman548	12
246	2blox	12
246	YoshikageBites	12
250	Fullut	11
250	slkiey	11
250	Nyxiom_	11
250	Kynigito	11
250	Katthaj	11
250	remmisrat	11
250	diggydog67	11
257	Jahara	10
257	CollinMH06	10
257	MyNameIsDakar	10
257	NotMeowMix	10
257	CSG_Haru	10
257	KingMatthew506	10
263	beeleg	9
263	benediktine1	9
263	__Fanda__	9
263	MovingFish7	9
263	SvenskaHugo	9
263	Kubeusz2010	9
269	Flores991	8
269	Fi11e	8
271	Kkanot	7
271	pappaberg	7
271	ese_wn_po	7
271	Deathkob	7
271	cog	7
271	robotemo	7
271	Kferno	7
271	cichy096	7
271	Teebone15	7
280	Tommhh	6
280	Sleek_Storm_721	6
280	Houstonion	6
280	pr33tu	6
280	the_russell1611	6
280	DarlaMeow	6
280	Dreamdbr14	6
287	Thaumatarge	5
287	ColeSnyder	5
287	Awyrlas	5
287	Hiryu27	5
287	Shogunite	5
287	Factoroni	5
287	monky_irl	5
287	MakeHistory157	5
295	Bandito_Roamer	4
295	JohnnyFyes	4
295	q_wq	4
295	MSK__	4
295	TheThomas69	4
295	Rasmanden	4
