rank	username	minecraft:dropped/minecraft:diamond_sword
109	Dogcorn69420	12
115	PhantomsGhost_	11
115	ColeSnyder	11
115	MattieHD	11
115	Jackattack53	11
115	HeraclesOGU	11
115	Lord_Zacler	11
115	GravitySaint	11
115	Spacewardharpy7	11
115	lordpipe	11
124	pintsizedrogue	10
124	SaucyDark	10
124	H72l9w	10
124	heckface	10
124	Scathra	10
124	SellyZ	10
124	ApophisNova	10
124	ILoveCarrot	10
124	yulgur1	10
124	luseis	10
124	stavgod	10
124	Soplight	10
124	MyNamaSheff	10
124	AdmiralSmoke	10
138	Merv__	9
138	Furiuosbeast0404	9
138	jushykins	9
138	intropass	9
138	Xalithia	9
138	Arceus1975	9
138	Truckoss	9
138	Mattesco	9
138	Deodorante	9
138	Quaintster	9
138	EfficientC52	9
138	fluddd	9
138	cog	9
138	TheDumbHuman	9
138	Cocoamallows	9
138	SSytex_X	9
138	LeEricc	9
138	Kateesaur	9
138	FishisTTV	9
157	Bandito_Roamer	8
157	CloroxBleach385	8
157	diamondgolem35	8
157	ccwildfire1	8
157	SoftSix	8
157	Jonafrog99	8
157	wTXop	8
157	HyperCave	8
157	Rasmanden	8
157	EveryonesUncle	8
157	Deathkob	8
157	Soap_Bender	8
157	weabis	8
157	ATurtle4936	8
157	MustaLoordi	8
157	SexcMf	8
157	_i_ERROR_i_	8
157	Nicserso	8
157	Zoeyfortnite	8
176	seanitoo	7
176	CLG_Kata	7
176	AuroraValkyrie	7
176	TooManyDuck	7
176	MoistMicrowave	7
176	tsohomie	7
176	titanlax	7
176	Z3braYTIL	7
176	xxPipperDipperxx	7
176	CollinMH06	7
176	Windo_licker	7
176	SuperPooch06	7
176	Rumpletaezer	7
176	Bumpy419	7
176	RobotMinion101	7
176	Onennon	7
176	TJawesome09	7
176	NomadicRobin_	7
176	masskedman	7
176	Gryglu583	7
176	Toriankel	7
176	Hisiste	7
176	rejenita	7
176	Zetsey	7
176	EtherealEspresso	7
176	UltraZombie	7
176	jcool7	7
176	Skippeh	7
176	Legendosh	7
176	561cool	7
206	Cowison	6
206	Badenbeele	6
206	Batman922	6
206	Mahoose	6
206	Euclidoris	6
206	Secret_Canary	6
206	boog4loo	6
206	Kamflame10	6
206	eviltunix	6
206	mariominejedi	6
206	burbankbuilder28	6
206	pappaberg	6
206	Skylord_Luke	6
206	J4k__	6
206	Meatlaugh	6
206	Quincannon	6
206	NameGenerat0r	6
206	DarkLawD	6
206	33sudo	6
206	Burge_r	6
206	Kijiki	6
206	MrTentacles2169	6
206	Kubeusz2010	6
206	Iamthejo	6
206	BreadBacon	6
206	Enderxz3	6
206	MandenR1	6
233	H0UNDFRMH3LL	5
233	k_ce	5
233	_Virify_	5
233	heysushii	5
233	TrNrGhost	5
233	gren_ben	5
233	ssleepless	5
233	Isaac70096	5
233	_Razaria	5
233	SyntheticSurgeon	5
233	fr0stss	5
233	Swexti	5
233	tramizu	5
233	Ssor69	5
233	FirsTimeGamingTV	5
233	Notta	5
233	bmac2718	5
233	G1ldor	5
233	Smashic	5
233	UncreativeArtist	5
233	lorpus	5
233	Motsaro	5
233	emrekn	5
233	Mewar	5
233	Dyosy	5
233	TheDankPlatypus	5
233	Ecplosive	5
233	tobinwilliams	5
233	DAD_1996	5
233	Voxin2K	5
233	cedric72	5
233	Ender_Souls	5
233	sammidk	5
233	zToasty69z	5
233	OverallConcept	5
233	DarlaMeow	5
233	shrimp_flips	5
233	BigCronkin	5
233	El_Jalapeno	5
233	SUN_DREAM	5
233	ItsDeltaMC	5
233	Shin69	5
233	Segotep999	5
233	SpacesickPrism	5
233	Powowowow	5
233	calamariclam_I	5
233	00000000-0000-0000-0009-01ff0c3e5e4f	5
280	TheBiggestFeller	4
280	Tobinator_007	4
280	Elprone266	4
280	JohnnyFyes	4
280	chipklip	4
280	fanofbands101	4
280	SoosAmongus	4
280	PazinGaming	4
280	SmashingPump	4
280	itburb	4
280	hm947	4
280	Killercatty78	4
280	livingdaydreams	4
280	KomputerDude	4
280	Reamdin	4
280	Lez_	4
280	SpaceGrenadier	4
280	Da_Boss_Rani	4
280	Auseawesome	4
280	_Nat666	4
280	ProfessorBee	4
