rank	username	minecraft:dropped/minecraft:poisonous_potato
106	AngalexikCZ	5
106	mariominejedi	5
106	Leyna3	5
106	Joestra	5
106	Inbefour	5
106	Cocoamallows	5
106	Steelynan	5
106	OfficerAnvil	5
118	_Virify_	4
118	Cowison	4
118	Frozil20	4
118	TheMilkerOfCats	4
118	Lukeee33	4
118	_Razar	4
118	livingdaydreams	4
118	Blackberry1310	4
118	ProfessorBee	4
118	_Nuf	4
118	mwrty	4
118	ItzYaBoiPicard	4
118	Noah_Bez	4
118	TableTim	4
118	MyNameIsJobo	4
118	Donutt	4
118	Hiryu27	4
118	Dan_Scha	4
118	natajimi	4
118	Russiancat1	4
118	Jiminie	4
118	MovingFish7	4
118	stahouo	4
118	stellarjay	4
118	KingMatthew506	4
118	cichy096	4
118	BiggieDawg	4
145	ItsColin11	3
145	6king6colt6	3
145	Incinere	3
145	FirsTimeGamingTV	3
145	CliffEmAll	3
145	shdesolt	3
145	MattieHD	3
145	UncreativeArtist	3
145	emrekn	3
145	Inchef	3
145	r123moore	3
145	BigMoneyH	3
145	Arceus1975	3
145	SokaOtaku	3
145	Skomo	3
145	MousePlays	3
145	lizardfightclub	3
145	Gryglu583	3
145	Deathkob	3
145	_Bguette_	3
145	Blu3beast	3
145	lordpipe	3
145	AvaRosey	3
145	stavgod	3
145	Jij0	3
145	ediballbearings	3
145	SSytex_X	3
145	_TCARREIRA_	3
145	Vellu21	3
145	BreadBacon	3
145	jnp_gaming	3
145	WYFYoyo	3
177	Noxium_	2
177	heysushii	2
177	diamondgolem35	2
177	Bad_At_Names_Guy	2
177	Rasaq	2
177	BodaciousCake	2
177	TAKrules	2
177	Butternutsquatch	2
177	Shadoko_	2
177	jushykins	2
177	Ravenbie	2
177	Mariopreeet	2
177	Bobby808	2
177	ketaminmann	2
177	JoshCranlet	2
177	LeauVox4921	2
177	xxPipperDipperxx	2
177	Zaridey	2
177	fallingemma	2
177	ImDisconnected_	2
177	domagawha	2
177	MeanTugger	2
177	Akoot_	2
177	yulgur1	2
177	TheSeismicDuck	2
177	sufjanlover	2
177	SolicitedPuma101	2
177	DrGrant	2
177	KSI	2
177	StinkyDiplomat	2
177	iHuntWeeaboos	2
177	marumochis	2
177	BumbleBeever	2
177	DeGodz4life	2
177	Spacewardharpy7	2
177	JosephCW	2
177	Phoenix_Diacou	2
177	CoryJJ	2
177	HAruSAme14	2
177	LeeMcGee30	2
177	Skippeh	2
177	FGamerJ	2
177	Powowowow	2
177	calamariclam_I	2
221	jojo1515151	1
221	prodby_Lyka	1
221	dudcreeper	1
221	dabloons	1
221	pZygh0st	1
221	burpboypower	1
221	Merv__	1
221	AuroraValkyrie	1
221	I_Am_Mushkin	1
221	bigstankyy	1
221	Hyugo	1
221	Alteriity	1
221	Natty	1
221	Unitas_isa	1
221	nocturne78	1
221	heckface	1
221	Rorrofighter	1
221	dopplexd	1
221	Mercadies	1
221	Devintronix	1
221	ratglock	1
221	TheSecondLord	1
221	DarkDescent2392	1
221	_mariio	1
221	Megarboh	1
221	_Dean_123	1
221	boog4loo	1
221	Mewar	1
221	SLASHZEERA	1
221	pumpfonzo	1
221	BlueZabu	1
221	PeteO1995	1
221	Doom_melon	1
221	SuperPooch06	1
221	WET_WET_WET	1
221	RefluxRatio	1
221	wTXop	1
221	AnnieBathory	1
221	NarwhalTaco	1
221	Fast_Turtle	1
221	ApophisNova	1
221	Kouridragon	1
221	seramalen	1
221	Kynigito	1
221	Ender_Souls	1
221	ToastedGamingYT	1
221	Kim_Jong_eel	1
221	HolyVenom	1
221	sxc_	1
221	RodSerlingCringe	1
221	cosq	1
221	ExploreMyBow	1
221	ChrisKyleST3	1
221	EveryonesUncle	1
221	StitchCrashes	1
221	Meatlaugh	1
221	KermitTheKripple	1
221	the__Reaper4999	1
221	KatieBelle04	1
221	Barlycorn	1
221	__Auspicious	1
221	Typadopoulos	1
221	silverpopcorn	1
221	mihimihimihi	1
221	SUN_DREAM	1
221	geekbird	1
221	Xovalt_	1
221	Ze_BaronKrigler	1
221	Kyrum2169	1
221	djancak	1
221	Professor_x8	1
221	SammiWolfGirl	1
221	a_smol_bean	1
221	PortlyPete69	1
221	SpacesickPrism	1
221	Whitecker	1
221	Deguns123	1
221	Sheldor097	1
221	gaming4Naming	1
221	Quotary	1
