rank	username	minecraft:dropped/minecraft:spruce_planks
118	_Cloverbelle_	103
118	NomadicRobin_	103
121	dabloons	101
121	Steve897	101
121	RedcatVII	101
124	Nach0Bear	100
124	LeGold	100
124	obzii	100
127	John6970	99
128	Zoeyfortnite	98
129	Soap_Bender	97
130	BlancoFlaco	96
131	ImpavidArcher	95
132	xolstoi	93
133	thescout7	92
134	SaltineDream	90
134	BlueZabu	90
136	Rumpletaezer	89
137	CliffEmAll	87
138	Kkanot	86
138	MandenR1	86
140	AuroraSkies	84
141	I_Am_Mushkin	82
141	WET_WET_WET	82
143	pintsizedrogue	81
143	Incinere	81
143	ChampPog_	81
143	Jokerman369	81
143	OffWithTheirHead	81
148	SvenskaHugo	79
149	Bumpy419	78
149	VentiHilton	78
151	Steelynan	77
152	KarlKaek	76
152	prizm_	76
152	Roikdean	76
152	StarCookiees_	76
156	fluddd	75
156	krutas2000	75
158	privatemeekly	73
159	Fuad_R	72
159	StinkyDiplomat	72
159	Biites	72
162	Marbz_	71
162	yheece	71
162	CornOnTheCobalt	71
165	lorpus	70
165	The_Quack_Dealer	70
167	Swexti	69
167	anbbang	69
169	jessewegottacook	68
169	Billious	68
171	Lord_Jord	67
171	Inbefour	67
173	thgrocks	66
174	Silvo614	65
175	Mr_Worthless	64
175	w3nd3lbo3	64
175	al626win52	64
175	_Dri_	64
175	JayShroomie	64
180	JoeSaysBingBong	62
180	alderban107	62
180	Smaldo	62
183	Jellybean1312	61
183	Dakar_	61
183	jnp_gaming	61
186	MustaLoordi	60
186	Enderxz3	60
186	00000000-0000-0000-0009-01ff0c3e5e4f	60
189	whoaluv	59
189	Hermanni__	59
191	MoistMicrowave	58
191	Maenara	58
191	TheImperial	58
191	Groundler	58
195	jspwn	57
195	Rasmanden	57
195	NATE_the_HALO	57
198	Ravenbie	56
198	2_young_2_die	56
198	autisticcupcake	56
201	_Virify_	55
201	Celeste_121	55
201	2blox_	55
204	shadowthemonkey	54
204	oscminus	54
204	jambvds	54
204	TheEnderMan548	54
208	Tiberonus	53
208	ROY4LE	53
208	groofles	53
208	QuacksonThe3rd	53
212	NieToksikpl	52
212	seramalen	52
212	fw3xy74	52
212	claivin	52
216	Orcus113	51
217	Paintz	50
218	Masssonnn	49
218	Werbe	49
220	IcyUzi	48
220	Snowflowe	48
220	thebaddruid	48
220	Sank34	48
224	Crowman1	47
225	squigglybones	46
225	fallingemma	46
225	0Vyp_	46
225	ElectricDragon81	46
225	CalebDHawk	46
225	Powowowow	46
231	joethahobo	45
231	Arceus1975	45
231	IAmTheWalrus910	45
234	FGamerJ	44
235	DinoDoctor_	43
235	CoffeeNoir	43
237	SquadMonster	42
237	jedi_george	42
239	Jovaphobic	41
239	willowcherrytree	41
239	IamCL4SSY	41
239	DarkS0L	41
239	Quotary	41
244	Ryker	40
244	Valoth	40
244	LeauVox4921	40
244	Nadflah	40
244	NebulousBadger	40
244	yatsuta	40
250	SmashingPump	39
250	wTXop	39
250	NameGenerat0r	39
250	__tomato	39
250	JohnPrice	39
255	aruzs	38
255	YungMaki	38
255	SSytex_X	38
258	PlasticOtari	37
259	seanitoo	34
259	TheMilkerOfCats	34
259	fr0stss	34
259	Comma__	34
259	okCrypto	34
259	Onennon	34
259	ougstur	34
259	WYFYoyo	34
267	_stets	33
267	Pelbo	33
267	BreadFruggis	33
267	ScootOfBoot	33
267	lizardfightclub	33
272	MuffinManzz	32
272	MattieHD	32
272	UncleDanDan	32
272	impossibleteapot	32
272	drumine	32
272	FreakGenius	32
272	Soplight	32
279	diggydog67	31
280	Ecplosive	30
280	PortlyPete69	30
280	Detrov	30
283	UrbanPlanningEx	29
284	Tommhh	28
284	Flapjacker687	28
284	_Boipl_	28
287	Secret_Canary	27
287	CollinMH06	27
287	Sqwishy	27
287	Strangemonkey71	27
287	SammiWolfGirl	27
287	_i_ERROR_i_	27
287	BreadBacon	27
294	Bandito_Roamer	26
294	NoHaHeHa	26
294	_lildarki3	26
294	Krowuss	26
294	HolyVenom	26
294	wezzzi	26
294	Nargotah	26
