rank	username	minecraft:crafted/minecraft:flint_and_steel
108	RadarHz	5
108	2blox	5
108	h2p_emrld	5
136	Paint	4
136	RebelAndroid	4
136	livingdaydreams	4
136	Swexti	4
136	Da_Boss_Rani	4
136	titanlax	4
136	Malorn_Aetherius	4
136	jushykins	4
136	MinttyFressh	4
136	MattieHD	4
136	Z3braYTIL	4
136	emrekn	4
136	SellyZ	4
136	TheDankPlatypus	4
136	Zaridey	4
136	mariominejedi	4
136	CollinMH06	4
136	Windo_licker	4
136	_Boipl_	4
136	CruncyIsTaken	4
136	Maenara	4
136	_Bguette_	4
136	JESS_THE_RERE	4
136	DarlaMeow	4
136	_Karmaa	4
136	Soplight	4
136	Skippeh	4
136	zmpeg	4
164	seanitoo	3
164	Menthas	3
164	Cowison	3
164	JEWISHBadenBeele	3
164	Merv__	3
164	EMC_	3
164	ImpavidArcher	3
164	hm947	3
164	Incinere	3
164	Alteriity	3
164	lotarp	3
164	CoffeeNoir	3
164	Historical_Sand	3
164	FirsTimeGamingTV	3
164	LoboTheLobster	3
164	Euclidoris	3
164	picardred	3
164	CliffEmAll	3
164	_Dean_123	3
164	Kamflame10	3
164	egglapras	3
164	himak1	3
164	r123moore	3
164	PeteO1995	3
164	MyNameIsJobo	3
164	Arceus1975	3
164	burbankbuilder28	3
164	Nyxiom_	3
164	pappaberg	3
164	RobotMinion101	3
164	ooga47	3
164	Truckoss	3
164	fred870d	3
164	FishyBoy3811	3
164	ClemenPine	3
164	fw3xywashere	3
164	TheSeismicDuck	3
164	NoChumpChange	3
164	XxCookiequeenxX	3
164	Deathkob	3
164	wobn	3
164	MAns_44	3
164	SwooshBoi	3
164	Groundler	3
164	SingedBread	3
164	Typadopoulos	3
164	Hisiste	3
164	ItsDeltaMC	3
164	stavgod	3
164	ayamefag	3
164	Eraxa	3
164	Jij0	3
164	AssFullaCum	3
164	starbits140	3
164	SSytex_X	3
164	SammiWolfGirl	3
164	Poppy235	3
164	CalebDHawk	3
164	little_dUki	3
164	Powowowow	3
164	vandmanden	3
164	TechnoNinja64	3
164	camando92	3
227	rats_life	2
227	Jovaphobic	2
227	Travasaur	2
227	nataliecool	2
227	MixerDixer	2
227	RoskobiOne	2
227	soundad	2
227	teslawolf38	2
227	SlowMoNinja1994	2
227	6king6colt6	2
227	chimpmunker	2
227	diamondgolem35	2
227	ssleepless	2
227	BlancoFlaco	2
227	Lukeee33	2
227	_Razar	2
227	tuckerdoodle	2
227	Ryker	2
227	Filborg	2
227	Natty	2
227	AlazelTheReal	2
227	MOSS000	2
227	Myszoaz	2
227	301851	2
227	IWorkAtIkea	2
227	SquadMonster	2
227	ccwildfire1	2
227	Ssor69	2
227	Vizzoid	2
227	BobDeBouwer1337	2
227	Ardennes	2
227	Megarboh	2
227	_Nuf	2
227	noodlepack	2
227	minersam1	2
227	boog4loo	2
227	Smashic	2
227	Motsaro	2
227	Mewar	2
227	Xalithia	2
227	__TheNorseMan__	2
227	Noah_Bez	2
227	Kubelz	2
227	platinumzero	2
227	arcanemagic	2
227	Mobstr	2
227	prizm_	2
227	IronyMan69	2
227	Marbz_	2
227	loveseeker	2
227	SuperPooch06	2
227	AJplaysMC_	2
227	whoaluv	2
227	FlashingDemon	2
227	dedgt	2
227	WET_WET_WET	2
227	RefluxRatio	2
227	ibarker21	2
227	DaviusMaximoose	2
227	CrateOfBoxes	2
227	Rocco_Lane	2
227	MustardDrinker	2
227	Hiryu27	2
227	Corbsman	2
227	Kouridragon	2
227	Shiirazuku	2
227	Mattesco	2
227	epiksk8erduck	2
227	_Cloverbelle_	2
227	Skomo	2
227	Jonte0599	2
227	HolyVenom	2
227	aa2x_	2
227	RodSerlingCringe	2
