rank	username	minecraft:crafted/minecraft:writable_book
119	KingMatthew506	4
119	Vellu21	4
119	youarefrench_	4
119	MyNamaSheff	4
119	xolstoi	4
137	MuffinManzz	3
137	KarlKaek	3
137	nattybears	3
137	lotarp	3
137	ShedJr_	3
137	Myszoaz	3
137	Historical_Sand	3
137	rarrq	3
137	Xalithia	3
137	_Boipl_	3
137	tobinwilliams	3
137	sammidk	3
137	Huic_ostiarius	3
137	DarlaMeow	3
137	BungalowBeet	3
137	calamariclam_I	3
153	Bandito_Roamer	2
153	Mr_Byzantine	2
153	FazeObama69	2
153	chipklip	2
153	teslawolf38	2
153	SlowMoNinja1994	2
153	TAKrules	2
153	Prismyst	2
153	Shazzyling	2
153	Ssor69	2
153	paranoid_plant	2
153	thescout7	2
153	himak1	2
153	ROY4LE	2
153	stickymonkeyboy	2
153	Rumpletaezer	2
153	corpsecity	2
153	burbankbuilder28	2
153	Hoid_the_Roamer	2
153	RobotMinion101	2
153	ooga47	2
153	seramalen	2
153	Mr_Sun15	2
153	Maenara	2
153	parodypatient	2
153	_Karmaa	2
153	NameGenerat0r	2
153	Quaintster	2
153	ReflexCode	2
153	Blu3beast	2
153	Racengan	2
153	Burge_r	2
153	Mythic1130	2
153	Poppy235	2
153	fffMike	2
153	bagel980	2
153	cichy096	2
153	Nicserso	2
153	HesDemonPants	2
153	2bolx_	2
193	heysushii	1
193	Apollo_993	1
193	Paint	1
193	salemrip	1
193	DepressedCubic	1
193	Creativebuilder2	1
193	Lukeee33	1
193	Wooptey	1
193	RebelAndroid	1
193	Alteriity	1
193	jessewegottacook	1
193	Ozixar	1
193	John_Acacia	1
193	titanlax	1
193	Upstro10	1
193	Malorn_Aetherius	1
193	Crowman1	1
193	Auseawesome	1
193	CliffEmAll	1
193	shdesolt	1
193	Ardennes	1
193	MattieHD	1
193	redikul	1
193	Kamflame10	1
193	UncreativeArtist	1
193	Yirtle	1
193	a24680	1
193	Bobby808	1
193	eviltunix	1
193	LeauVox4921	1
193	2Stout	1
193	Touched_Bread	1
193	CaptainBadKid	1
193	XboxPanda	1
193	Gamergirl420628	1
193	CharlieButt	1
193	M_Patata	1
193	Zaridey	1
193	Kakolbus	1
193	BlueZabu	1
193	gabriels543	1
193	MyNameIsJobo	1
193	Chromary	1
193	F_22_	1
193	popcanter	1
193	Zythose	1
193	AlexStrange	1
193	MangoTheFish	1
193	CrateOfBoxes	1
193	SvenskaSara	1
193	Rebytre	1
193	Hiryu27	1
193	Skylord_Luke	1
193	ItsAki_	1
193	bee_gorl	1
193	Shiirazu	1
193	Kynigito	1
193	AlexxO_o	1
193	KeruNatsema	1
193	Drewen24	1
193	AuroraSkies	1
193	AlphaWolfPlaysMC	1
193	_Crimson_Legate	1
193	gustarlep	1
193	masskedman	1
193	Inbefour	1
193	Lord_Zacler	1
193	XxCookiequeenxX	1
193	Fuhrer_Teemo	1
193	MinuteMira	1
193	Lutres_Torane	1
193	DemTechAlpha	1
193	Karbl	1
193	El_Jalapeno	1
193	GoofySilly	1
193	GravitySaint	1
193	MasterNueve	1
193	iSammael	1
193	IAmTheWalrus910	1
193	sp00ky_ghost977	1
193	layabout100	1
193	SexcMf	1
193	LordSpeed37	1
193	pixelviolin	1
193	yatsuta	1
193	BlankityMcBlank	1
193	__tomato	1
193	SSytex_X	1
193	snizv1	1
193	SpacesickPrism	1
193	MilleGrug	1
193	ThisUserIsStump	1
193	Steelynan	1
193	Kubeusz2010	1
193	Skippeh	1
193	Quotary	1
193	BreadBacon	1
193	AstroLightz_	1
193	FishisTTV	1
