rank	username	minecraft:crafted/minecraft:redstone_block
124	DaviusMaximoose	394
124	Corbsman	394
124	Razzgriz	394
127	censorsheep	384
128	set67	383
129	SlayerCrypto	379
130	Smiguli_	376
130	SvenskaHugo	376
132	Barlycorn	373
133	Vizzoid	371
133	ApophisNova	371
133	MyNamaSheff	371
136	Houstonion	369
136	bloodbiter	369
138	ElectricDragon81	367
139	MightyWertu	366
140	Skylord_Luke	364
141	Comma__	356
141	Skomo	356
143	Rumpletaezer	354
144	eiC_	345
145	Kamflame10	344
146	LexMakesHistory	341
146	kinas45y5	341
148	audiocracked	339
149	AuroraValkyrie	338
150	Dreamdbr14	337
151	Iagoku	336
151	ClemenPine	336
153	Rocco_Lane	328
153	Hermanni__	328
155	Reamdin	325
156	07shiny	323
157	Frozil12	322
158	Dogcorn69420	320
159	__Fanda__	318
160	Z3braYTIL	313
161	anbbang	312
162	BobDeBouwer1337	311
163	EveryonesUncle	310
164	picardred	304
165	Steelynan	299
166	Stynxy	298
166	Shogunite	298
168	toj__	296
168	FreddyFart	296
170	BlankityMcBlank	295
171	leaf26	294
172	balin55	292
173	ImDisconnected_	290
174	Giannism	289
175	ssleepless	288
175	hcb238	288
177	Lukeee33	287
178	RedcatVII	280
179	XboxPanda	273
180	GravitySaint	270
181	Bumpy419	268
182	Merv__	264
183	r123moore	261
184	Scathra	259
185	Kim_Jong_eel	256
186	lillips	252
187	M_Patata	251
187	1442	251
189	Wooptey	249
190	TheTrueClipse	248
190	MasterNueve	248
190	ItsJunoIGuess	248
193	loveseeker	246
194	_czarny	245
195	PortlyPete69	243
196	Froste131	240
196	dedgt	240
196	Creeper_ez	240
199	BlancoFlaco	234
199	SingedBread	234
201	Leyna3	228
202	Sleek_Storm_721	226
202	Euclidoris	226
202	CoryJJ	226
205	Winklepicker279	225
206	layabout100	222
207	gabriels543	220
208	MOSS000	219
208	DirtyDalle	219
210	awesomeoneme	218
211	Valoth	217
212	shyshyannne	215
213	JayToe	214
214	KlausVonStiglitz	213
215	mariominejedi	207
216	KarlKaek	206
217	DennyKai	205
218	MilleGrug	204
219	Lutres_Torane	203
220	SLASHZEERA	198
220	master9067	198
222	DemTechAlpha	197
222	MovingFish7	197
224	Swexti	196
225	BodaciousCake	195
225	underscore_2	195
227	Kegradigm	193
227	OverallConcept	193
229	MattieHD	192
229	DarlaMeow	192
231	MustaLoordi	191
232	2Stout	190
233	Fuhrer_Teemo	189
233	Jij0	189
235	djancak	188
236	Tolhart	187
236	Flores991	187
236	Invisie	187
236	Karbl	187
240	Jovaphobic	183
240	ZeroKraken	183
242	RefluxRatio	179
243	Jimi7hits	178
244	The_Thund	177
245	NomadicRobin_	176
246	Eraxa	175
247	Mariopreeet	173
248	AvaRosey	170
249	Donutt	169
250	ImpavidArcher	168
250	DanTheBuilderino	168
250	SexcMf	168
253	elicobnoah	167
253	ProbablyNick	167
253	tartanboy	167
256	Kouridragon	166
256	NotMeowMix	166
256	radioactv_jelly	166
259	El_Jalapeno	164
260	OfficerAnvil	163
261	Nyxiom_	162
262	Marbz_	161
262	Afinnity	161
262	sxc_	161
262	KnightmareD	161
266	potatocan	160
267	SuperStreetCat	159
267	CaptainDeadBread	159
269	lotarp	158
269	PabloGonza02	158
271	Truckoss	157
271	Deathkob	157
273	FishyBoy3811	156
273	SkateboardR6	156
275	TheOnlyRake	152
276	SuperPooch06	151
277	Healthing	150
278	drumine	149
278	Quincannon	149
280	IdeallyGrey	148
281	pixelviolin	146
282	selectrix	145
283	Steven1282598	144
284	RoskobiOne	143
284	valiSW	143
286	roxycherry	141
287	claivin	138
288	MixerDixer	136
288	ayqq	136
288	AnnieBathory	136
288	Muffindrake	136
292	surfinggiraffejp	135
293	Vorlice	134
293	adiccting01	134
295	Winston_Ingram	133
296	fw3xywashere	130
297	jacxhadow	129
297	Shiirazuku	129
299	fanofbands101	128
299	NLKBuilder	128
