rank	username	minecraft:crafted/minecraft:jungle_planks
84	Akoot_	1384
85	Quaintster	1332
86	ImpavidArcher	1320
87	tuckerdoodle	1308
88	ROY4LE	1292
89	jnp_gaming	1284
90	Bandito_Roamer	1280
90	MOSS000	1280
92	IWorkAtIkea	1256
93	Cryptacity	1224
94	_Karmaa	1192
95	Toiton	1172
95	Njensen7	1172
97	FreakGenius	1138
98	SvenskaAlvar	1132
99	Historical_Sand	1092
100	FreddyFart	1088
101	Kowcio_	1072
102	dimondking777	1024
102	Comma__	1024
104	07shiny	988
105	Lekol	936
106	Zythose	932
107	Kim_Jong_eel	928
108	Kamflame10	900
109	Deathkob	884
110	Onennon	876
111	ShedJr_	852
111	zemey	852
113	GoofySilly	848
114	MixerDixer	836
114	_Nuf	836
116	SpacesickPrism	804
117	Swexti	788
117	QuiCreans	788
119	Skippeh	780
120	coobert42	776
121	Aezekial	772
121	iSammael	772
123	4774	768
123	Sheldor097	768
125	benediktine1	744
126	LeeMcGee30	740
127	Nycteus_	736
128	Mr_Byzantine	732
129	anbbang	706
130	Frozil20	672
131	_TCARREIRA_	668
132	Groundler	652
133	Mattesco	640
134	THEKINGLyric10	628
135	luseis	616
136	WhyTho_1	612
137	Fullut	604
138	Stiar	600
139	set67	592
139	MovingFish7	592
141	Barlycorn	584
141	KingMatthew506	584
143	RefluxRatio	572
144	H72l9w	564
145	Nicserso	560
146	Maenara	552
147	Kukkelikuk	548
148	ItsDeltaMC	536
148	tsitrawhy	536
150	drunkeeez	524
150	binman420	524
152	little_dUki	512
153	KarlKaek	508
154	Dabatha	496
155	gcaisawesome	476
156	Ecplosive	472
157	Tyrannosplart	460
157	Fuad_R	460
159	jessemgaming	456
159	Hpdinosaur	456
161	OfficerAnvil	448
162	Bumpy419	428
163	Deerfoot	420
164	Jackattack53	404
165	Da_Boss_Rani	396
165	_Hayt	396
165	Toriankel	396
168	fffMike	380
168	KASAN420	380
170	sxc_	368
170	JESS_THE_RERE	368
172	Aangezet	360
173	PegLegPete93	348
174	Notta	344
174	_Crimson_Legate	344
174	SammiWolfGirl	344
177	RebelAndroid	340
178	Bazongoman	336
178	2bolx_	336
180	SeverianTheLame	320
181	Azorathum	316
182	chrolus	312
183	TheSecondLord	304
184	Touched_Bread	300
184	Eraxa	300
186	abramgray	284
186	AlexxO_o	284
188	calamariclam_I	276
189	CryoInferno_	264
189	Cavetorch	264
191	Rahikeru	260
191	JayToe	260
193	hollowww	256
193	Inchef	256
193	Cocoamallows	256
193	xzvu	256
193	ThisUserIsStump	256
198	boog4loo	252
198	DarlaMeow	252
200	PeteO1995	248
200	lillips	248
202	Ssor69	244
203	_Dean_123	242
204	__tomato	240
204	KujikawaRisechi	240
206	Afinnity	236
207	Kubelz	232
207	ooga47	232
209	teslawolf38	224
209	LilLizardWizard	224
209	Racengan	224
209	00000000-0000-0000-0009-01f9013b764e	224
213	RobotMinion101	220
214	switchNat	208
214	r123moore	208
216	ese_wn_po	200
217	Hermanni__	192
217	Aryamanee	192
219	NatrixxddxYT	184
219	KeruNatsema	184
221	breadbowlgamer	176
221	CarryLine	176
223	Harotio	168
224	Huwulling	160
224	nocturne78	160
224	ProfessorBee	160
224	noodlepack	160
224	AnnieBathory	160
224	TheWildMateo	160
224	F_Uhre	160
231	Reamdin	156
231	ItsJunoIGuess	156
233	Mowelan	152
233	MLG_Kirby69	152
233	eviltunix	152
233	underscore_2	152
237	Jij0	144
237	yatsuta	144
239	Alteriity	140
240	Esme_1	136
241	sp00ky_ghost977	132
242	Useless_Relic	128
242	ApophisNova	128
242	LargeCarl	128
242	MyNamaSheff	128
246	wateo	126
247	SmashingPump	124
247	Cats_Fly	124
247	olliebollie48	124
247	WyngGoy	124
251	Xclax101	120
251	ElectricDragon81	120
253	peachfuzz1267	116
254	TableTim	112
255	Felenov	108
256	33sudo	104
257	weabis	100
257	gusstationwerker	100
259	Soul_Atreus	96
259	Legendosh	96
261	livingdaydreams	92
261	Avrelion	92
261	natajimi	92
261	Ezekson	92
265	BlancoFlaco	88
265	InfernalMound	88
265	IronicUwU1	88
268	Eraza	84
269	Rebytre	80
269	striker90333	80
271	ITDV	76
271	Sagaram	76
271	fkGrim	76
274	Houstonion	72
274	Creativebuilder2	72
274	Yirtle	72
274	SuperPooch06	72
274	seramalen	72
274	Jonte0599	72
274	CalebDHawk	72
281	Sleek_Storm_721	68
281	12Magner05	68
281	MyNameIsDakar	68
284	TylerDupree	64
284	M_Patata	64
284	CarltheCuck	64
284	Corbsman	64
284	MasterNueve	64
284	Chayula	64
290	capn__crunch	62
291	aikabot	60
292	NNikitas	56
292	XxCookiequeenxX	56
292	MineMaster0012	56
292	HesDemonPants	56
292	xolstoi	56
297	Jakobo1337	52
298	6king6colt6	48
298	FirsTimeGamingTV	48
298	msJabberwock	48
