rank	username	minecraft:crafted/minecraft:stick
91	Huwulling	6962
92	Alteriity	6944
93	Deathkob	6860
94	00000000-0000-0000-0009-01ff0c3e5e4f	6621
95	Snowflowe	6619
96	Shogunite	6448
97	Vizzoid	6383
98	Koalander	6260
99	LeeMcGee30	6211
100	EngagedGrub41	6180
101	Fullut	6072
102	Z3braYTIL	6032
103	T045RTY	5985
104	cedric72	5959
105	MightyWertu	5943
106	Segotep999	5935
107	MattieHD	5887
108	Groovy_MoonBird	5828
109	Chromary	5816
110	Inbefour	5793
111	MAns_44	5768
112	wx4z	5728
113	shineh10	5680
114	fffMike	5672
115	ApophisNova	5648
116	MyNamaSheff	5644
117	MyNameIsJobo	5556
118	FreakGenius	5480
119	SvenskaHugo	5472
120	TheWickedBird	5435
121	PazinGaming	5384
122	jcool7	5328
123	SaucyDark	5292
124	LordSpeed37	5288
125	Paintz	5248
126	_flud	5224
127	set67	5156
128	Bumpy419	5140
129	Jimi7hits	5094
130	Marbz_	4961
131	Onennon	4946
132	NatalieTW	4928
132	Ryan_GEMS	4928
134	Xclax101	4902
135	Racengan	4894
136	_witch_craft_	4873
137	Eraxa	4680
138	Skippeh	4569
139	UrbanPlanningEx	4557
140	wwwwinnebagoooo	4556
141	RebelAndroid	4548
142	teslawolf38	4420
143	TechnoNinja64	4329
144	Jimb0nat0r	4217
145	Xalithia	4180
146	__tomato	4160
147	Hoid_the_Roamer	4158
148	Paguz01	4152
149	Groundler	4126
150	Comma__	4101
151	Apollo_993	4024
152	H0UNDFRMH3LL	4004
153	hanaryheatwave	4002
154	Manaateee	3984
155	Windo_licker	3952
156	CattSoup	3940
157	U_Mos_	3888
158	corvidpartyfor6	3868
159	excelsionprime	3864
160	CoffeeNoir	3846
161	Studio4x32	3812
162	titanlax	3768
163	robertsnose	3748
164	Rani_R	3739
165	Arceus1975	3688
166	PaperCanvas	3674
167	Smashic	3648
168	WyngGoy	3644
169	ImpavidArcher	3629
170	smogfrog	3621
171	livingdaydreams	3612
172	burbankbuilder28	3524
173	Barlycorn	3488
174	masskedman	3479
175	FishyBoy3811	3456
176	UncreativeArtist	3436
177	Spenduh	3420
178	hermmm_	3364
179	AuroraValkyrie	3360
180	2Stout	3308
181	Rumpletaezer	3296
182	taengoos	3268
183	StinkyDiplomat	3258
184	miramyu	3240
185	SuperPooch06	3226
186	wezzzi	3220
187	cuddlyMonster	3219
188	_Nuf	3218
189	jacxhadow	3187
190	M_Patata	3184
191	eviltunix	3169
192	theonlymagikarp	3161
193	Jackster03	3156
194	Druid95	3149
195	11Brewer	3138
196	Winklepicker279	3112
197	emreknugrlu	3107
198	Hisiste	3080
198	MasterNueve	3080
200	Blu3beast	3076
201	yheece	3040
202	MonitorLizards	3031
203	Gundam_Steven	3024
204	ARandomHedge	3012
205	NomadicRobin_	2960
206	MilleGrug	2956
207	PortlyPete69	2928
208	TheThomas69	2916
209	TheDankPlatypus	2897
210	Franco093	2858
211	Lutres_	2852
212	Literally_Rat	2826
213	The11thDoctor	2791
214	NameGenerat0r	2780
215	non089	2777
216	Tyrannosplart	2764
217	mariominejedi	2738
218	Airem_Core	2737
219	xzvu	2736
220	diamondgolem35	2732
221	Touched_Bread	2720
222	shrimp_flips	2713
223	WET_WET_WET	2700
224	tuckerdoodle	2667
225	Fuad_R	2663
226	Cowison	2656
226	Vorlice	2656
226	djancak	2656
229	XxCookiequeenxX	2651
230	_Virify_	2647
231	_Karmaa	2612
232	07shiny	2599
233	Megarboh	2592
233	Myntsys	2592
235	SlayerCrypto	2587
236	Gzrdy	2572
236	claivin	2572
238	Jovaphobic	2562
239	SpacesickPrism	2529
240	bloodbiter	2516
241	skroobiez	2500
242	Buuck_	2483
243	Sheldor097	2481
244	obzii	2452
245	QuiCreans	2448
246	Tommhh	2433
247	fade_emerge78823	2426
248	vandmanden	2416
249	SSytex_X	2392
250	TheSeismicDuck	2380
250	diggydog67	2380
252	TwinTowerV2	2367
253	bigstankyy	2359
254	Factoroni	2354
255	es0th	2353
256	Notta	2352
256	Vetral1	2352
258	RoskobiOne	2336
259	Jekyll	2284
260	benediktine1	2265
261	SkateboardR6	2232
262	TheKingK_	2230
263	Blammm	2180
264	Dakar_	2152
264	RoBe__	2152
266	DanTheBuilderino	2148
267	audiocracked	2104
267	Kferno	2104
269	_stets	2101
270	zToasty69z	2094
271	EdGalbraith	2084
271	Cocoamallows	2084
273	SammiWolfGirl	2076
274	ooga47	2072
275	AlexxO_o	2068
276	Rebytre	2047
277	Bandito_Roamer	2043
278	SDMNAEK	2040
278	Mewar	2040
280	Stiar	2037
281	CharlieButt	2032
282	RatatJuice	2020
283	Syropatathe	2008
284	Tersea_	1988
285	BlancoFlaco	1976
285	Hiryu27	1976
285	PlzNoBM	1976
288	Toriankel	1974
289	legal_tax_evader	1973
290	picardred	1968
291	IAmTheWalrus910	1956
292	Archsam	1953
293	censorsheep	1944
294	Moofyman	1940
295	Reneedium	1932
296	Fildyr	1924
296	robonya_	1924
298	starbits140	1920
299	Fuhrer_Teemo	1916
299	UltraZombie	1916
