rank	username	minecraft:crafted/minecraft:cobblestone_stairs
151	andy_rex	176
151	AuroraSkies	176
155	richerbat	172
155	Kubelz	172
155	Fildyr	172
158	THExMuffinx	168
158	Froste131	168
158	chlorinex	168
158	breadbowlgamer	168
158	seramalen	168
163	Prodiginus	166
164	grislgrobl	164
164	Freedrik	164
166	KiRemon77	160
166	Meatlaugh	160
166	JohnPrice	160
169	CaptainSteve345	158
170	CrateOfBoxes	157
171	eiC_	156
171	sammidk	156
171	CSG_Haru	156
174	falcn15	152
174	Avermu	152
174	MyNameIsJobo	152
174	curterr	152
174	CHUUUBZZ_99	152
174	gloryoftherain	152
174	Ajax6	152
174	wirelesstree	152
174	OreoPenguin_	152
183	Covalents	148
183	SpouHn	148
183	_k2x	148
183	lordpipe	148
183	Pickel_Lord	148
188	jushykins	144
188	EcksD	144
190	Katsuragi0243218	140
190	Decaying_Lotus	140
192	Groovy_MoonBird	136
192	awesomeoneme	136
192	ThePoliteG	136
192	brycepants	136
192	Drewen24	136
192	MovingFish7	136
198	BreadFruggis	132
198	Bazongoman	132
198	nitram49b	132
198	aec9	132
198	rotten_mango	132
198	ProfessorDiaper	132
198	OG_Songsee	132
205	lewieinnit	128
205	SaucyDark	128
205	TooManyDuck	128
205	Windo_licker	128
205	Truckoss	128
205	fred870d	128
205	yulgur1	128
205	masskedman	128
205	_Bguette_	128
205	wwwwinnebagoooo	128
205	Slovitypagus	128
205	Catharsist	128
205	Soffbord	128
205	bitsplease	128
205	Serval2000	128
220	MinttyFressh	125
221	Lukeee33	124
221	Notta	124
221	CaptainDeadBread	124
221	CruncyIsTaken	124
221	MinerDec	124
221	560cool	124
221	CalebDHawk	124
228	jpoxman	120
228	Malorn_Aetherius	120
228	jiggywraps	120
228	Mouse74	120
228	Razzgriz	120
233	DarkS0L	118
234	fanofbands101	116
234	Swexti	116
234	Alphanzt99	116
234	Scattman_	116
234	BlossomOwO	116
234	Juh1s	116
234	jcool7	116
234	Skippeh	116
234	Apicomplexa	116
243	fingerguns__	112
243	fr0stss	112
243	MattieHD	112
243	Vetral1	112
243	SolicitedPuma101	112
243	Chaotic1s	112
243	coobert42	112
243	KASAN420	112
251	ROY4LE	108
251	gcaisawesome	108
251	Sh4bby	108
251	ewpunk	108
255	PhantomsGhost_	104
255	GingerNeutron	104
255	TheDefiantDragon	104
255	Snowflowe	104
255	BurgerKnight	104
260	CollinMH06	103
261	rats_life	100
261	squigglybones	100
261	maliraspberry	100
261	bloodbiter	100
261	boog4loo	100
261	toj__	100
261	Blaiku	100
261	PlzNoBM	100
261	diggydog67	100
270	dimitri0s	96
270	picardred	96
270	TheThomas69	96
270	stickwhiskers	96
270	_naturell	96
270	ElectricDragon81	96
270	Ripzch	96
270	561cool	96
278	jspwn	92
278	NanoShot	92
278	Kamflame10	92
278	eviltunix	92
278	avalan64	92
278	MAns_44	92
278	sheebeep	92
278	jaimshae	92
286	bigstankyy	88
286	AngalexikCZ	88
286	balin55	88
286	Kferno	88
290	MunkaKris	84
290	seanitoo	84
290	Ailmast	84
290	DepressedCubic	84
290	CoffeeNoir	84
290	_Nuf	84
290	Jokerman369	84
290	Robby_Cream	84
290	kars0n	84
290	FishyBoy3811	84
290	Choco_Spy	84
