rank	username	minecraft:crafted/minecraft:cooked_cod
250	IronicUwU1	4
270	Batoser	3
270	Jalvajar	3
270	lilsay	3
270	CaptainDeadBread	3
270	Cattoh	3
270	censorsheep	3
270	robotemo	3
270	SSytex_X	3
270	Kferno	3
270	KingMatthew506	3
280	TooManyDuck	2
280	Ozixar	2
280	Z3braYTIL	2
280	Inconvenionce	2
280	wrinkledpiglet	2
280	TiborSterle	2
280	El_Jalapeno	2
280	MovingFish7	2
280	starbits140	2
280	Nekomin0	2
280	Western_1	2
280	Moetis	2
280	DennyKai	2
280	krutas2000	2
280	Nargotah	2
295	No_Bena	1
295	Elprone266	1
295	ewsophie	1
295	CoffeeNoir	1
295	Vizzoid	1
295	CompoundMedic	1
