rank	username	minecraft:crafted/minecraft:cooked_chicken
275	picardred	6
275	mcFarty	6
275	VanJosh	6
275	IceYoung	6
275	UncleDanDan	6
275	impossibleteapot	6
275	Austinizzle	6
275	Lord_Jord	6
275	comjosh64	6
275	cytotoxaint	6
275	Vorlice	6
275	LordSpeed37	6
275	SammiWolfGirl	6
275	obzii	6
275	Mintperson	6
275	HuangMeiHua	6
275	Haadrada	6
275	NoxXIV	6
296	Froste131	5
296	CueMix	5
296	SlavBylat	5
296	Slinkyy7071	5
296	Euclidoris	5
