rank	username	minecraft:crafted/minecraft:iron_door
138	SkateboardR6	3
138	Vorlice	3
138	Leithz6	3
138	MasterNueve	3
138	iSammael	3
138	Cocoamallows	3
138	Soul_Atreus	3
138	_Mythic____	3
138	Shin69	3
138	Zetsey	3
138	yatsuta	3
138	__tomato	3
