rank	username	minecraft:crafted/minecraft:oak_planks
185	Kubeusz2010	3324
186	TechnoNinja64	3310
187	Heisenbberrg	3304
187	Kferno	3304
189	catandmoose	3284
190	NameGenerat0r	3261
191	Powowowow	3234
192	The11thDoctor	3220
193	picardred	3216
194	q_wq	3200
194	SlayerCrypto	3200
196	Vorlice	3156
197	Nicserso	3136
198	lcvezra	3127
199	Ozixar	3124
200	prizm_	3112
201	2bolx_	3100
202	MustaLoordi	3096
203	MyNameIsJobo	3092
204	r123moore	3068
205	Fildyr	3060
206	SteveCraftBlocks	3028
207	BPTY4618	3023
208	Shogunite	3008
209	fkGrim	3000
210	gabriels543	2968
211	Soap_Bender	2916
212	ori0le	2900
213	PortlyPete69	2876
214	Fuhrer_Teemo	2840
215	diggydog67	2792
216	Matemax	2752
217	livingdaydreams	2738
218	hcb238	2732
219	ImpavidArcher	2719
220	Incinere	2712
220	BronkerBrum	2712
222	FishyBoy3811	2704
223	sp00ky_ghost977	2656
224	benediktine1	2642
225	TheFlfthHorseman	2632
226	SSytex_X	2608
227	epiksk8erduck	2592
228	calamariclam_I	2572
229	Kouridragon	2560
230	bladeefan2009	2536
231	fenkuu	2512
232	RoofTyler	2500
233	Luigipunch989	2484
234	DarkS0L	2472
234	Skippeh	2472
236	ZA07	2460
237	ooga47	2448
238	fade_emerge78823	2432
238	GravitySaint	2432
240	stavgod	2417
241	ougstur	2416
242	zToasty69z	2396
243	FroggoTheDoggo	2384
244	_8man	2380
245	301851	2376
246	pixelviolin	2361
247	seanitoo	2356
248	Comma__	2330
249	Zythose	2264
250	slkiey	2244
251	SexcMf	2236
252	diamondgolem35	2232
253	TableTim	2204
254	cedric72	2184
255	Quotary	2176
256	weezygator	2152
257	ITDV	2136
258	BlankityMcBlank	2124
259	Mattesco	2116
260	xzvu	2104
261	KarlKaek	2100
262	MovingFish7	2096
263	fw3xywashere	2088
264	Nicky19	2064
265	ivorico	2060
266	Creativebuilder2	2036
267	RatatJuice	2032
267	titanlax	2032
267	kyouma777	2032
270	OfficerAnvil	2008
271	parodypatient	2000
272	ewsophie	1992
273	UCP_TheKingK	1972
274	radioactv_jelly	1969
275	ProfessorDiaper	1968
276	toj__	1956
277	shineh10	1948
278	Paleshield	1936
278	Nicky_H225	1936
280	BodaciousCake	1928
280	Gryglu583	1928
282	bigstankyy	1920
283	ElderRifken	1900
284	_Huge_Male_	1884
285	wobn	1877
286	valkam13	1860
287	SvenskaHugo	1856
288	KingFaenor	1852
289	legal_tax_evader	1848
290	RobotMinion101	1842
291	Swexti	1832
292	Katsuragi0243218	1824
293	groofles	1820
293	Eraxa	1820
295	BunkeredTree	1816
296	AuroraValkyrie	1812
297	Quaintster	1804
298	MattieHD	1788
299	aec9	1784
300	DaviusMaximoose	1780
