rank	username	minecraft:crafted/minecraft:brick
266	poopybh	84
266	MangoSalad316	84
268	Argraol	80
268	Ssor69	80
268	12Magner05	80
268	Zoeyfortnite	80
272	SSytex_X	77
273	laron58	74
274	theonlymagikarp	72
274	whoaluv	72
274	Rebytre	72
277	Xalithia	71
278	fw3xy74	70
279	Prismyst	68
280	Foof13	64
280	CliffEmAll	64
280	purpolepickle	64
280	cum_chalice	64
284	roxycherry	63
285	BlancoFlaco	61
286	_darky1_	60
286	Bucscw24	60
286	monky_irl	60
286	Biites	60
290	CattSoup	57
290	00000000-0000-0000-0009-01f16526f034	57
292	Swexti	56
292	fade_emerge78823	56
292	Zaridey	56
292	Steve897	56
296	Thaumatarge	52
296	jimintyy	52
296	toj__	52
296	Arceus1975	52
296	AnnieBathory	52
