rank	username	minecraft:crafted/minecraft:coal
158	radioactv_jelly	721
159	_NieToksikpl_	702
159	hcb238	702
159	Spenduh	702
159	Jordan_R	702
163	Dogcorn69420	693
164	El_Jalapeno	684
165	SingedBread	675
166	H72l9w	666
166	Kyrum2169	666
168	Scathra	651
169	set67	640
170	MyNameIsDakar	639
171	XboxPanda	637
172	cytotoxaint	630
173	07shiny	603
173	SvenskaHugo	603
175	Euclidoris	587
176	Drewen24	585
176	h2p_emrld	585
178	Groovy_MoonBird	576
178	Matemaks2137	576
178	ProbablyNick	576
178	RoskobiOne	576
178	jacxhadow	576
178	King_Pancake1	576
178	FishyBoy3811	576
178	Lutres_Torane	576
178	Optiprimus	576
187	ratglock	567
188	ROY4LE	558
189	mobunni	554
190	ooga47	549
191	masskedman	532
192	TAKrules	530
193	mariominejedi	522
193	pixelviolin	522
195	djancak	513
196	CrateOfBoxes	504
196	Donutt	504
196	tartanboy	504
199	MangoTheFish	495
200	boog4loo	486
200	Nyxiom_	486
200	aec9	486
200	FelixPSY375	486
204	Arceus1975	469
205	Invisie	468
205	OfficerAnvil	468
207	CoffeeNoir	450
208	Cowison	441
208	Hoid_the_Roamer	441
208	DemTechAlpha	441
208	Omar_Alone	441
208	Skippeh	441
213	bigstankyy	435
214	fanofbands101	432
214	xPixelRainx	432
214	GravitySaint	432
214	Steelynan	432
218	Harotio	423
219	_Virify_	419
220	dedgt	414
220	RobotMinion101	414
220	layabout100	414
223	MAns_44	396
224	Mattesco	394
225	AuroraValkyrie	387
226	theonlymagikarp	378
226	stellarjay	378
226	UrbanPlanner1978	378
229	CrookedKaptain	369
230	Windo_licker	360
231	loveseeker	351
231	MilleGrug	351
233	SeverianTheLame	342
234	avalan64	338
235	Hyugo	324
235	Chromary	324
235	Kouridragon	324
235	Smiguli_	324
239	ImpavidArcher	315
239	Maenara	315
241	Mr_Byzantine	306
241	Xovalt_	306
241	PlzNoBM	306
244	EcksDofficial	300
245	Rocco_Lane	297
245	Rebytre	297
245	KnightmareD	297
245	CalebDHawk	297
245	EcksD	297
250	Arteriana	288
250	Patwannabegamer	288
250	DaviusMaximoose	288
250	pappaberg	288
250	LilyNova	288
255	claivin	280
256	Valoth	279
256	blockgamer_69	279
256	toj__	279
256	Afinnity	279
256	CoryJJ	279
256	JayToe	279
262	underscore_2	275
263	picardred	271
264	NotKaden_	270
264	purpolepickle	270
264	TheTrueClipse	270
264	Juk3b0x	270
268	AlphaWolfPlaysMC	265
269	TooManyDuck	261
269	Xalithia	261
269	SkateboardR6	261
272	Ailmast	252
272	ogoa	252
272	Soap_Bender	252
272	cringenaynaybaby	252
272	Vellu21	252
277	titanlax	248
278	Fuhrer_Teemo	243
278	Luigipunch989	243
280	Myszoaz	225
280	M_Patata	225
280	The_slideV3	225
280	Dooinfe	225
280	Jij0	225
280	diggydog67	225
286	Nesquiczek	216
286	Stynxy	216
286	surfinggiraffejp	216
286	SuperPooch06	216
286	Corbsman	216
286	RodSerlingCringe	216
286	SpookyDraggin	216
293	Allanon1235	207
293	fw3xywashere	207
293	Cocoamallows	207
293	potatocan	207
297	_Bguette_	203
297	IdeallyGrey	203
299	xxPipperDipperxx	198
299	Jimi7hits	198
