rank	username	minecraft:crafted/minecraft:arrow
133	12Magner05	112
133	valiSW	112
133	SirPiccardo	112
133	tobinwilliams	112
133	ADEXTV	112
133	Fuhrer_Teemo	112
133	Deathkob	112
133	geekbird	112
133	Skippeh	112
142	Groovy_MoonBird	108
143	6king6colt6	104
143	I_Am_Mushkin	104
143	BlancoFlaco	104
146	Tiberonus	96
146	ARandomHedge	96
146	epiksk8erduck	96
146	Luigipunch989	96
150	Blu3beast	92
150	mobunni	92
152	M_Patata	88
152	MasterNueve	88
154	MAns_44	84
154	coobert42	84
156	_Razaria	80
156	__tomato	80
158	cyrusisntgay	76
158	Krowuss	76
158	SonicRainBow_	76
161	ProbsNotNova	70
162	ItsAki_	68
163	Sleek_Storm_721	64
163	set67	64
163	himak1	64
163	Kubelz	64
163	faulder	64
163	DadWorksForSega	64
163	emreknugrlu	64
163	Majonezzon	64
163	legoclone09	64
163	ItsJunoIGuess	64
163	erkada	64
163	MandenR1	64
175	lcn	60
175	ILoveCarrot	60
175	Shin69	60
178	Natty	52
178	wrinkledpiglet	52
178	_Tilariel_	52
178	elliebelle107	52
182	Paint	48
182	SHAOBADMAN	48
182	fkGrim	48
182	Kijiki	48
182	FormulaNewt3627	48
182	TheOnlyRake	48
188	jewbacaman	46
189	squigglybones	44
190	fanofbands101	40
190	DinoDoctor_	40
190	Sparky_KT	40
190	Project_MKBRD	40
190	dnlksl	40
190	DarkS0L	40
190	Moetis	40
190	fffMike	40
190	EngagedGrub41	40
199	Smashic	39
200	Saucepeh	36
200	ashetrays	36
200	NotoriousNina	36
203	Nicky_H225	32
203	decay_elf	32
203	VanJosh	32
203	Voxin2K	32
203	TheWildMateo	32
203	NNikitas	32
203	420BreadLizard	32
203	valkam13	32
203	El_Jalapeno	32
203	LordSpeed37	32
203	NoxXIV	32
214	Silvo614	28
214	ogoa	28
214	radioactv_jelly	28
214	TheDumbHuman	28
214	_TCARREIRA_	28
214	trexgb	28
220	SOA1RR	24
220	DrBalloon	24
220	impossibleteapot	24
220	XxCookiequeenxX	24
220	AvaRosey	24
220	bloomkieren	24
220	BlankityMcBlank	24
220	ConnorDanky_	24
228	Ryan_GEMS	20
228	500am	20
228	Ecplosive	20
228	Charmyboi	20
228	Mister3z	20
228	marumochis	20
228	BlighterSupreme	20
228	_Meow_Mix	20
228	Gustavo64	20
228	therobo300	20
228	Glumb0	20
228	mawileite	20
228	HuangMeiHua	20
228	MusicMe1005	20
228	Jordan_R	20
243	SugarMyNuggets	16
243	CueMix	16
243	Hpdinosaur	16
243	CoffeeNoir	16
243	Cats_Fly	16
243	Rich_Kat	16
243	IceYoung	16
243	RustyKedel	16
243	ApophisNova	16
243	Mattesco	16
243	privatemeekly	16
243	obzii	16
243	nonarso	16
243	MyNamaSheff	16
243	momis24	16
258	123louis456	12
258	Killercatty78	12
258	lotarp	12
258	gaziter10	12
258	TheFlfthHorseman	12
258	wiqor	12
258	drunkeeez	12
258	grislgrobl	12
258	DeeDeeThonk	12
258	Darkgon	12
258	Karbl	12
258	majlin16	12
258	BigCronkin	12
258	MelodyGaysharks	12
258	Deliriohm	12
273	H0UNDFRMH3LL	8
273	Lorcout	8
273	SyK7	8
273	Jalvajar	8
273	heckface	8
273	o0z	8
273	SharpDev	8
273	shadowthemonkey	8
273	ImDisconnected_	8
273	F_Uhre	8
273	cedric72	8
273	Cattoh	8
273	Akoot_	8
273	rii1efnaki	8
273	Kura2218	8
273	Dreamdbr14	8
273	Ezekson	8
273	Yahrto	8
291	ECstardust	4
291	Myrosia	4
291	xXTheWolfmanXx	4
291	CryoInferno_	4
291	Incinere	4
291	_themselves	4
291	SUSUGAM	4
291	Covalents	4
291	UncleDanDan	4
291	mimbo1211	4
