rank	username	minecraft:crafted/minecraft:enchanted_book
171	yulgur1	11
171	KlausVonStiglitz	11
171	ItsJWolff	11
171	33sudo	11
171	ReyTheLegend	11
181	TheMilkerOfCats	10
181	Vizzoid	10
181	remmisrat	10
184	JohnnyFyes	9
184	Cowison	9
184	Tommhh	9
184	ImpavidArcher	9
184	Quotary	9
184	_AAZAR	9
184	WYFYoyo	9
191	Groovy_MoonBird	8
191	G1ldor	8
191	TheDankPlatypus	8
191	Jiminbub	8
191	Nagasaki_Riku	8
191	obzii	8
191	UltraZombie	8
191	sebastiensaborio	8
191	Legendosh	8
200	Matemaks2137	7
200	KarlKaek	7
200	Incinere	7
200	awesomeoneme	7
200	BobDeBouwer1337	7
200	xxPipperDipperxx	7
200	Marbz_	7
200	MangoTheFish	7
200	FreddyFart	7
200	DarlaMeow	7
200	NameGenerat0r	7
200	GravitySaint	7
200	anbbang	7
200	Enderslayerxz3	7
200	Kateesaur	7
215	Awyrlas	6
215	Kim_Jong_eel	6
215	lillips	6
215	_Karmaa	6
215	Dr0xzy	6
215	2blox	6
221	THExMuffinx	5
221	Ailmast	5
221	ZaneABrain	5
221	fr0stss	5
221	crying_wolf_13	5
221	Zaridey	5
221	Leyna3	5
221	Gab4101	5
221	Lord_Zacler	5
221	Templar_David	5
221	MineMaster0012	5
221	ediballbearings	5
221	GlitchyPlate810	5
234	SaltineDream	4
234	Ze1ig	4
234	numbra	4
234	6king6colt6	4
234	Frxnkz	4
234	m_be9	4
234	2Stout	4
234	Blamphe	4
234	Gryglu583	4
234	ProfessorDiaper	4
234	stavgod	4
234	Juh1s	4
234	KingMatthew506	4
234	2r_	4
234	erkada	4
249	TAKrules	3
249	Jackster03	3
249	Euclidoris	3
249	zorin123	3
249	xX_HaroldHolt_Xx	3
249	redikul	3
249	ayqq	3
249	Jackattack53	3
249	burbankbuilder28	3
249	andy_rex	3
249	Hiryu27	3
249	Aangezet	3
249	LexMakesHistory	3
249	CookTheChef3	3
249	Xclax101	3
249	cog	3
249	VilsSwag	3
249	ElKaySVK	3
249	Cocoamallows	3
249	SvenskaHugo	3
249	ProbsNotNova	3
249	K_a__a_n	3
249	FGamerJ	3
249	Lowjinx	3
273	MunkaKris	2
273	PhantomsGhost_	2
273	Sleek_Storm_721	2
273	Hyugo	2
273	Tolhart	2
273	Natofthese	2
273	Jahara	2
273	peach0s	2
273	gaziter10	2
273	SquadMonster	2
273	heckface	2
273	Blackberry1310	2
273	M_Patata	2
273	Winklepicker279	2
273	SuperPooch06	2
273	SamZombie	2
273	LAVA129	2
273	Fast_Turtle	2
273	RobotMinion101	2
273	Onennon	2
273	OtariCharlie	2
273	SvenskaAlvar	2
273	RodSerlingCringe	2
273	El_Jalapeno	2
273	Nycteus_	2
273	_ritter	2
273	MasterNueve	2
273	ElectricDragon81	2
