rank	username	minecraft:crafted/minecraft:dark_oak_door
123	Hyp3rion_	6
123	selectrix	6
123	Onennon	6
123	F_Uhre	6
123	Kynigito	6
123	thgrocks	6
123	ADEXTV	6
123	binman420	6
123	luseis	6
123	cringenaynaybaby	6
123	SkateboardR6	6
123	_Goatt	6
123	lordpipe	6
123	MasterNueve	6
123	MakeHistory157	6
123	sp00ky_ghost977	6
123	Zetsey	6
123	tsitrawhy	6
123	Deguns123	6
123	CalebDHawk	6
123	laron58	6
123	JasmineGK	6
123	Lowjinx	6
123	2bolx_	6
123	bladeefan2009	6
123	Biites	6
123	fastPREDATOR	6
123	00000000-0000-0000-0009-01ff0c3e5e4f	6
177	MuffinManzz	3
177	ProbablyNick	3
177	Ganongeek	3
177	Jalvajar	3
177	dudcreeper	3
177	Lotheburgh	3
177	SmashingPump	3
177	Healthing	3
177	AshleeCW	3
177	Frozil20	3
177	ImNotYuqii	3
177	Sleek_Storm_721	3
177	I_Am_Mushkin	3
177	KarlKaek	3
177	Jindong	3
177	bigstankyy	3
177	Hyugo	3
177	La_Conne	3
177	dongli	3
177	Hpdinosaur	3
177	_Razaria	3
177	Incinere	3
177	eitanzaki	3
177	maliraspberry	3
177	T045RTY	3
177	SyntheticSurgeon	3
177	Zlatovlas	3
177	Alteriity	3
177	ZaneABrain	3
177	Huwulling	3
177	spaece	3
177	buss081	3
177	PhantomBionic	3
177	Ao_Ken	3
177	SpaceGrenadier	3
177	CantinaTaco	3
177	nocturne78	3
177	ccwildfire1	3
177	Atroxes	3
177	heckface	3
177	Ozixar	3
177	Mercadies	3
177	Khelvoryk	3
177	Koffeeinz	3
177	ATrojansLegend	3
177	ratglock	3
177	CliffEmAll	3
177	ThePoliteG	3
177	joppen12	3
177	MattieHD	3
177	ProfessorBee	3
177	ArdaAslan02	3
177	zorin123	3
177	_HoneySlime_	3
177	Lumien_	3
177	shyshyannne	3
177	_Dean_123	3
177	TheDiamondCG	3
177	Austine6698	3
177	UncreativeArtist	3
177	Scathra	3
177	lorpus	3
177	Motsaro	3
177	Mookle96	3
177	emrekn	3
177	intropass	3
177	Tjhodskins19	3
177	n2ckn2ck	3
177	SPUDonSTEROIDS	3
177	Stiar	3
177	gcaisawesome	3
177	Noah_Bez	3
177	XboxPanda	3
177	Gamergirl420628	3
177	mimbo1211	3
177	type11	3
177	Zaridey	3
177	ZeroAbyssTTV	3
177	Purplehere	3
177	Ch4osDoom64	3
177	MethylRadical	3
177	ImDisconnected_	3
177	CollinMH06	3
177	gabriels543	3
177	Zythose	3
177	LAVA129	3
177	CranialBlowout	3
177	SourPapaSmurf	3
177	moonman169	3
177	Bumpy419	3
177	ApophisNova	3
177	RohnJosin	3
177	ooga47	3
177	Hyperphoenix42	3
177	ougstur	3
177	FishyBoy3811	3
177	theofiel	3
177	Jimi7hits	3
177	groofles	3
177	Leyna3	3
177	KliBeast21	3
177	wirelesstree	3
177	yulgur1	3
177	NomadicRobin_	3
177	audiocracked	3
177	Lord_Zacler	3
177	ese_wn_po	3
177	Jiminbub	3
177	NYJ	3
177	Deathkob	3
177	madderfall	3
177	DarkS0L	3
177	Toiton	3
177	Meatlaugh	3
177	Karbl	3
177	Beagle_Boy	3
177	DarlaMeow	3
177	Fuad_R	3
177	Soap_Bender	3
177	1442	3
177	Dooinfe	3
177	comjosh64	3
177	NameGenerat0r	3
177	weabis	3
